family,group,K,N,BS,isl,ship_us,qr2_us,qr1_us,ship_qr2,ship_qr1,exact_ship,exact_qr2,exact_qr1
real,flash,512,1027,1,4k,8.55,8.31,8.20,1.0289,1.0426,True,True,True
real,flash,512,2051,1,8k,8.41,8.66,8.52,0.9716,0.9878,True,True,True
real,flash,512,4099,1,16k,8.86,9.15,9.01,0.9682,0.9833,True,True,True
real,flash,512,8195,1,32k,9.84,10.18,9.96,0.9667,0.9879,True,True,True
real,flash,512,16387,1,64k,12.44,12.85,12.51,0.9681,0.9941,True,True,True
real,flash,512,32771,1,128k,12.19,13.06,12.54,0.9331,0.9719,True,True,True
real,flash,512,65538,1,256k,14.03,14.54,14.08,0.9650,0.9964,True,True,True
real,flash,512,131075,1,512k,21.19,22.02,20.75,0.9621,1.0209,True,True,True
real,flash,512,262127,1,1024k,18.40,19.85,18.32,0.9272,1.0047,True,True,True
real,pro,1024,1027,1,4k,9.68,9.62,9.44,1.0055,1.0251,True,True,True
real,pro,1024,2051,1,8k,8.90,9.13,8.91,0.9744,0.9980,True,True,True
real,pro,1024,4099,1,16k,9.22,9.72,9.48,0.9486,0.9731,True,True,True
real,pro,1024,8195,1,32k,10.92,9.86,11.95,1.1076,0.9137,True,True,True
real,pro,1024,16387,1,64k,11.53,11.66,11.24,0.9888,1.0252,True,True,True
real,pro,1024,32771,1,128k,13.33,13.51,13.01,0.9867,1.0250,True,True,True
real,pro,1024,65539,1,256k,14.53,15.08,14.56,0.9631,0.9980,True,True,True
real,pro,1024,131075,1,512k,21.71,22.89,23.27,0.9484,0.9331,True,True,True
real,pro,1024,262127,1,1024k,19.37,20.07,19.84,0.9651,0.9765,True,True,True
real,v32,2048,4111,1,4k,12.17,11.91,11.94,1.0220,1.0194,True,True,True
real,v32,2048,8207,1,8k,14.30,12.82,12.88,1.1157,1.1099,True,True,True
real,v32,2048,16399,1,16k,14.37,14.33,14.32,1.0025,1.0036,True,True,True
real,v32,2048,32783,1,32k,17.42,17.41,17.42,1.0006,1.0002,True,True,True
real,v32,2048,65551,1,64k,20.85,20.86,20.86,0.9995,0.9995,True,True,True
real,v32,2048,131087,1,128k,18.98,18.74,18.77,1.0131,1.0114,True,True,True
real,v32,2048,163775,1,256k,19.93,19.63,19.68,1.0155,1.0127,True,True,True
synth,best,512,4096,1,,10.09,10.62,10.55,0.9503,0.9566,True,True,True
synth,best,512,8192,1,,10.29,10.53,10.13,0.9772,1.0156,True,True,True
synth,best,512,16384,1,,10.80,11.84,11.42,0.9126,0.9465,True,True,True
synth,best,512,32768,1,,12.61,13.56,13.02,0.9299,0.9683,True,True,True
synth,best,512,65536,1,,13.45,14.43,13.89,0.9323,0.9682,True,True,True
synth,best,512,131072,1,,14.83,15.79,15.25,0.9396,0.9724,True,True,True
synth,best,512,262144,1,,16.28,17.20,16.47,0.9467,0.9885,True,True,True
synth,best,512,524288,1,,20.15,21.23,20.02,0.9491,1.0063,True,True,True
synth,best,512,1048576,1,,26.39,28.52,26.43,0.9256,0.9986,True,True,True
synth,best,1024,4096,1,,10.09,9.72,10.01,1.0382,1.0075,True,True,True
synth,best,1024,8192,1,,10.72,10.26,10.86,1.0448,0.9864,True,True,True
synth,best,1024,16384,1,,11.59,11.16,12.67,1.0387,0.9144,True,True,True
synth,best,1024,32768,1,,12.76,13.41,13.06,0.9518,0.9772,True,True,True
synth,best,1024,65536,1,,14.66,14.14,16.79,1.0365,0.8731,True,True,True
synth,best,1024,131072,1,,15.35,15.17,15.77,1.0122,0.9737,True,True,True
synth,best,1024,262144,1,,17.53,18.33,17.44,0.9564,1.0052,True,True,True
synth,best,1024,524288,1,,21.05,22.28,21.20,0.9446,0.9929,True,True,True
synth,best,1024,1048576,1,,27.14,29.26,27.20,0.9275,0.9979,True,True,True
synth,best,2048,8192,1,,12.56,11.91,11.94,1.0545,1.0516,True,True,True
synth,best,2048,16384,1,,13.73,13.08,13.19,1.0497,1.0410,True,True,True
synth,best,2048,32768,1,,16.74,15.68,15.71,1.0681,1.0657,True,True,True
synth,best,2048,65536,1,,19.34,16.34,16.80,1.1838,1.1511,True,True,True
synth,best,2048,131072,1,,20.58,17.69,17.70,1.1629,1.1628,True,True,True
synth,best,2048,262144,1,,22.75,20.14,20.03,1.1297,1.1359,True,True,True
synth,best,2048,524288,1,,23.32,23.40,23.24,0.9964,1.0032,True,True,True
synth,best,2048,1048576,1,,34.96,30.67,30.57,1.1397,1.1435,True,True,True
synth,worst,512,4096,1,,10.12,9.47,9.80,1.0689,1.0330,True,True,True
