family,group,K,N,BS,isl,ship_us,h1_us,kb_us,full_us,ship_h1,ship_kb,ship_full,exact_all
real,flash,512,1027,1,4k,8.62,8.47,8.36,8.48,1.0181,1.0314,1.0174,T/T/T/T
real,flash,512,2051,1,8k,8.84,8.94,8.91,9.04,0.9894,0.9925,0.9784,T/T/T/T
real,flash,512,4099,1,16k,9.15,9.20,9.12,9.17,0.9953,1.0042,0.9984,T/T/T/T
real,flash,512,8195,1,32k,9.92,9.89,9.90,9.87,1.0026,1.0011,1.0045,T/T/T/T
real,flash,512,16387,1,64k,12.67,12.76,12.71,12.70,0.9928,0.9969,0.9974,T/T/T/T
real,flash,512,32771,1,128k,12.81,12.74,12.73,12.79,1.0050,1.0059,1.0015,T/T/T/T
real,flash,512,65538,1,256k,14.28,14.27,14.28,14.19,1.0004,0.9996,1.0060,T/T/T/T
real,flash,512,131075,1,512k,20.79,20.70,20.68,20.80,1.0044,1.0050,0.9995,T/T/T/T
real,flash,512,262127,1,1024k,18.39,18.24,18.39,18.22,1.0078,0.9999,1.0091,T/T/T/T
real,pro,1024,1027,1,4k,9.95,9.69,9.73,9.62,1.0261,1.0220,1.0343,T/T/T/T
real,pro,1024,2051,1,8k,9.17,9.16,9.15,9.19,1.0003,1.0017,0.9981,T/T/T/T
real,pro,1024,4099,1,16k,9.82,9.87,9.82,9.87,0.9950,1.0002,0.9950,T/T/T/T
real,pro,1024,8195,1,32k,11.47,11.57,11.49,11.54,0.9907,0.9982,0.9938,T/T/T/T
real,pro,1024,16387,1,64k,11.64,11.70,11.73,11.71,0.9947,0.9921,0.9941,T/T/T/T
real,pro,1024,32771,1,128k,13.44,13.41,13.39,13.37,1.0022,1.0031,1.0046,T/T/T/T
real,pro,1024,65539,1,256k,14.87,14.78,14.85,14.82,1.0063,1.0014,1.0034,T/T/T/T
real,pro,1024,131075,1,512k,22.60,23.37,22.61,23.37,0.9671,0.9994,0.9669,T/T/T/T
real,pro,1024,262127,1,1024k,19.95,20.16,19.91,20.13,0.9894,1.0015,0.9908,T/T/T/T
real,v32,2048,4111,1,4k,11.95,11.91,10.74,10.76,1.0028,1.1122,1.1107,T/T/T/T
real,v32,2048,8207,1,8k,12.67,12.72,11.63,11.64,0.9965,1.0899,1.0885,T/T/T/T
real,v32,2048,16399,1,16k,14.26,14.23,13.45,13.47,1.0024,1.0606,1.0583,T/T/T/T
real,v32,2048,32783,1,32k,17.26,17.32,16.27,16.20,0.9966,1.0610,1.0657,T/T/T/T
real,v32,2048,65551,1,64k,20.83,21.08,20.03,19.89,0.9882,1.0403,1.0477,T/T/T/T
real,v32,2048,131087,1,128k,18.49,19.31,17.92,18.97,0.9573,1.0319,0.9747,T/T/T/T
real,v32,2048,163775,1,256k,19.02,19.95,18.39,19.51,0.9532,1.0342,0.9748,T/T/T/T
synth,best,512,4096,1,,10.01,9.79,9.83,9.89,1.0219,1.0182,1.0123,T/T/T/T
synth,best,512,8192,1,,9.89,9.85,9.96,9.88,1.0042,0.9931,1.0014,T/T/T/T
