model,isl,N,K,hit_rate,cs,base,pr,op26,pr_vs_base,pr_vs_op26,exact,base_exact
flash,4k,1027,512,0.639,1,8.97,7.88,8.07,1.139,1.024,True,True
flash,8k,2051,512,0.334,1,8.82,8.38,7.63,1.053,0.91,True,True
flash,16k,4099,512,0.344,1,11.78,9.02,8.31,1.306,0.921,True,True
flash,32k,8195,512,0.686,1,11.74,9.37,10.22,1.253,1.091,True,True
flash,64k,16387,512,0.076,1,14.71,12.35,12.32,1.191,0.997,True,True
flash,128k,32771,512,0.701,1,16.3,12.03,13.82,1.355,1.149,True,True
flash,256k,65538,512,0.279,4,17.26,13.91,13.33,1.241,0.958,True,True
flash,512k,131075,512,0.057,8,43.46,20.74,23.18,2.096,1.118,True,False
flash,1024k,262127,512,0.422,8,20.84,18.02,20.56,1.157,1.141,True,True
pro,4k,1027,1024,0.998,1,19.21,10.05,8.59,1.912,0.854,True,True
pro,8k,2051,1024,0.461,1,9.3,9.21,8.24,1.009,0.895,True,True
pro,16k,4099,1024,0.739,1,15.35,10.08,11.2,1.522,1.111,True,True
pro,32k,8195,1024,0.53,1,18.66,11.56,11.47,1.615,0.993,True,True
pro,64k,16387,1024,0.312,1,12.33,11.73,10.67,1.051,0.909,True,True
pro,128k,32771,1024,0.326,1,16.87,13.61,12.35,1.239,0.907,True,True
pro,256k,65539,1024,0.358,4,17.01,15.16,14.09,1.122,0.93,True,True
pro,512k,131075,1024,0.23,8,21.59,17.64,15.92,1.224,0.903,True,True
pro,1024k,262127,1024,0.267,8,25.03,20.11,19.86,1.245,0.988,True,True
v32,4k,4111,2048,0.729,1,16.06,10.86,12.95,1.479,1.193,True,True
v32,8k,8207,2048,0.842,1,15.46,11.9,12.66,1.299,1.064,True,True
v32,16k,16399,2048,0.533,1,28.0,13.76,14.45,2.034,1.05,True,True
v32,32k,32783,2048,0.429,1,20.62,16.78,17.59,1.228,1.048,True,True
v32,64k,65551,2048,0.406,4,31.96,20.68,18.34,1.546,0.887,True,True
v32,128k,131087,2048,0.62,8,21.56,18.22,16.99,1.183,0.933,True,True
v32,256k,163775,2048,0.865,8,28.38,19.11,19.19,1.485,1.004,True,True
