model,isl,N,K,layer,hit,base,pr,op26,pr_vs_base,pr_vs_op26,pr_exact,base_exact
flash,4k,1027,512,10,0.846,12.51,9.12,8.1,1.372,0.888,True,True
flash,4k,1027,512,22,0.639,9.46,8.83,8.06,1.071,0.913,True,True
flash,4k,1027,512,34,0.695,10.37,8.77,7.92,1.182,0.903,True,True
flash,8k,2051,512,10,0.672,11.17,9.6,9.47,1.164,0.986,True,True
flash,8k,2051,512,22,0.334,9.66,9.52,7.68,1.015,0.807,True,True
flash,8k,2051,512,34,0.611,11.9,9.95,9.79,1.196,0.984,True,True
flash,16k,4099,512,10,0.648,12.93,10.05,10.75,1.287,1.07,True,True
flash,16k,4099,512,22,0.344,11.95,10.02,8.58,1.193,0.856,True,True
flash,16k,4099,512,34,0.348,10.29,9.97,8.83,1.032,0.886,True,True
flash,32k,8195,512,10,0.723,16.75,10.02,10.27,1.672,1.025,True,True
flash,32k,8195,512,22,0.686,12.05,10.03,10.24,1.201,1.021,True,True
flash,32k,8195,512,34,0.67,12.1,10.14,10.38,1.193,1.024,True,True
flash,64k,16387,512,10,0.582,17.41,11.87,11.65,1.467,0.981,True,True
flash,64k,16387,512,22,0.076,14.62,13.46,12.51,1.086,0.929,True,True
flash,64k,16387,512,34,0.145,11.95,11.6,11.54,1.03,0.995,True,True
flash,128k,32771,512,10,0.523,14.5,12.96,14.18,1.119,1.094,True,True
flash,128k,32771,512,22,0.701,16.57,12.13,13.89,1.366,1.145,True,True
flash,128k,32771,512,34,0.688,15.65,12.32,13.79,1.27,1.119,True,True
flash,256k,65538,512,10,0.193,18.11,15.17,14.02,1.194,0.924,True,True
flash,256k,65538,512,22,0.279,17.47,14.43,13.47,1.211,0.933,True,True
flash,256k,65538,512,34,0.631,25.82,14.78,13.73,1.747,0.929,True,True
flash,512k,131075,512,10,0.455,17.87,18.78,17.38,0.952,0.925,True,True
flash,512k,131075,512,22,0.057,52.45,24.24,23.55,2.164,0.972,True,False
flash,512k,131075,512,34,0.283,18.82,16.66,15.3,1.13,0.918,True,True
flash,1024k,262127,512,10,0.385,21.41,21.92,20.7,0.977,0.944,True,True
flash,1024k,262127,512,22,0.422,21.01,21.95,20.7,0.957,0.943,True,True
flash,1024k,262127,512,34,0.379,25.47,20.93,19.82,1.217,0.947,True,True
pro,4k,1027,1024,14,0.997,21.57,11.42,8.67,1.889,0.759,True,True
pro,4k,1027,1024,30,0.998,21.57,11.46,8.69,1.882,0.758,True,True
pro,4k,1027,1024,46,0.998,21.57,11.3,8.7,1.909,0.77,True,True
pro,8k,2051,1024,14,0.83,13.66,9.28,8.83,1.472,0.952,True,True
pro,8k,2051,1024,30,0.461,9.33,9.6,7.78,0.972,0.81,True,True
pro,8k,2051,1024,46,0.611,11.3,9.6,9.18,1.177,0.956,True,True
pro,16k,4099,1024,14,0.773,11.97,10.11,10.94,1.184,1.082,True,True
pro,16k,4099,1024,30,0.739,15.18,10.45,10.91,1.453,1.044,True,True
pro,16k,4099,1024,46,0.829,16.13,10.26,11.07,1.572,1.079,True,True
pro,32k,8195,1024,14,0.874,13.76,12.22,10.9,1.126,0.892,True,True
pro,32k,8195,1024,30,0.53,18.46,11.41,11.58,1.618,1.015,True,True
pro,32k,8195,1024,46,0.752,16.89,10.59,11.41,1.595,1.077,True,True
pro,64k,16387,1024,14,0.606,18.16,12.26,12.32,1.481,1.005,True,True
pro,64k,16387,1024,30,0.312,12.08,11.36,10.32,1.063,0.908,True,True
pro,64k,16387,1024,46,0.519,18.62,12.69,12.5,1.467,0.985,True,True
pro,128k,32771,1024,14,0.812,27.46,12.94,13.66,2.122,1.056,True,True
pro,128k,32771,1024,30,0.326,15.82,13.1,12.13,1.208,0.926,True,True
pro,128k,32771,1024,46,0.609,30.05,13.9,23.94,2.162,1.722,True,True
pro,256k,65539,1024,14,0.799,24.22,15.42,14.06,1.571,0.912,True,True
pro,256k,65539,1024,30,0.358,17.18,15.14,13.76,1.135,0.909,True,True
pro,256k,65539,1024,46,0.709,23.87,15.2,13.87,1.57,0.912,True,True
pro,512k,131075,1024,14,0.78,24.42,16.35,15.23,1.494,0.931,True,True
pro,512k,131075,1024,30,0.23,21.06,17.06,15.68,1.234,0.919,True,True
pro,512k,131075,1024,46,0.664,19.79,16.48,15.14,1.201,0.919,True,True
pro,1024k,262127,1024,14,0.71,41.18,21.49,20.11,1.916,0.936,True,True
pro,1024k,262127,1024,30,0.267,26.53,21.74,20.27,1.22,0.932,True,True
pro,1024k,262127,1024,46,0.64,51.42,22.45,20.99,2.29,0.935,True,True
v32,4k,4111,2048,14,0.81,17.95,12.35,13.25,1.453,1.073,True,True
v32,4k,4111,2048,34,0.729,15.97,12.37,13.41,1.291,1.084,True,True
v32,4k,4111,2048,54,0.719,16.16,12.54,13.41,1.289,1.069,True,True
v32,8k,8207,2048,14,0.923,14.3,12.96,12.75,1.103,0.984,True,True
v32,8k,8207,2048,34,0.842,16.13,13.66,12.48,1.181,0.914,True,True
v32,8k,8207,2048,54,0.908,17.6,13.02,13.01,1.352,0.999,True,True
v32,16k,16399,2048,14,0.902,17.65,14.88,15.01,1.186,1.009,True,True
v32,16k,16399,2048,34,0.533,29.57,14.37,15.07,2.058,1.049,True,True
v32,16k,16399,2048,54,0.676,18.54,15.44,12.53,1.201,0.812,True,True
v32,32k,32783,2048,14,0.758,23.58,16.45,18.21,1.433,1.107,True,True
v32,32k,32783,2048,34,0.429,20.43,16.11,18.27,1.268,1.134,True,True
v32,32k,32783,2048,54,0.512,20.45,17.12,14.43,1.195,0.843,True,True
v32,64k,65551,2048,14,0.854,28.51,18.72,17.47,1.523,0.933,True,True
v32,64k,65551,2048,34,0.406,33.38,19.52,18.19,1.71,0.932,True,True
v32,64k,65551,2048,54,0.745,23.92,19.58,18.59,1.222,0.949,True,True
v32,128k,131087,2048,14,0.904,23.78,20.22,18.85,1.176,0.932,True,True
v32,128k,131087,2048,34,0.62,21.06,18.3,17.06,1.151,0.932,True,True
v32,128k,131087,2048,54,0.93,23.1,19.52,18.18,1.183,0.931,True,True
v32,256k,163775,2048,14,0.913,24.5,22.27,21.46,1.1,0.964,True,True
v32,256k,163775,2048,34,0.865,28.06,20.74,19.49,1.353,0.94,True,True
v32,256k,163775,2048,54,0.865,33.68,19.89,18.75,1.693,0.943,True,True
