model,isl,N,K,layer,hit,cs,base,pr,op26,pr_vs_base,pr_vs_op26,pr_exact,base_exact
flash,4k,1027,512,2,0.895,1,10.29,9.83,8.87,1.046,0.902,True,True
flash,4k,1027,512,4,0.891,1,9.11,9.29,8.93,0.98,0.961,True,True
flash,4k,1027,512,6,0.863,1,9.96,5.0,8.79,1.99,1.756,True,True
flash,4k,1027,512,8,0.744,1,10.33,8.42,8.89,1.227,1.056,True,True
flash,4k,1027,512,10,0.846,1,12.25,8.04,8.72,1.524,1.085,True,True
flash,4k,1027,512,12,0.607,1,11.79,8.26,8.89,1.427,1.076,True,True
flash,4k,1027,512,14,0.711,1,9.82,8.57,9.18,1.146,1.072,True,True
flash,4k,1027,512,16,0.674,1,10.55,8.32,8.88,1.269,1.068,True,True
flash,4k,1027,512,18,0.723,1,10.56,8.32,8.91,1.269,1.072,True,True
flash,4k,1027,512,20,0.646,1,10.07,8.28,8.69,1.216,1.049,True,True
flash,4k,1027,512,22,0.639,1,9.01,8.05,8.81,1.119,1.094,True,True
flash,4k,1027,512,24,0.553,1,10.21,8.3,8.95,1.23,1.078,True,True
flash,4k,1027,512,26,0.586,1,9.16,8.22,8.84,1.114,1.075,True,True
flash,4k,1027,512,28,0.746,1,12.42,8.34,9.02,1.49,1.082,True,True
flash,4k,1027,512,30,0.771,1,8.97,8.05,8.42,1.115,1.046,True,True
flash,4k,1027,512,32,0.633,1,9.97,8.06,8.67,1.236,1.075,True,True
flash,4k,1027,512,34,0.695,1,10.08,8.2,8.42,1.229,1.027,True,True
flash,4k,1027,512,36,0.934,1,11.99,9.73,8.98,1.233,0.923,True,True
flash,4k,1027,512,38,0.742,1,9.49,8.13,8.66,1.168,1.065,True,True
flash,4k,1027,512,40,0.795,1,9.39,8.33,9.18,1.127,1.101,True,True
flash,4k,1027,512,42,0.932,1,9.18,9.32,8.52,0.985,0.915,True,True
flash,8k,2051,512,2,0.84,1,10.43,8.25,8.5,1.264,1.031,True,True
flash,8k,2051,512,4,0.844,1,9.84,8.35,9.05,1.179,1.084,True,True
flash,8k,2051,512,6,0.75,1,10.17,8.42,9.76,1.208,1.159,True,True
flash,8k,2051,512,8,0.631,1,13.09,8.4,9.76,1.56,1.162,True,True
flash,8k,2051,512,10,0.672,1,9.67,8.09,9.45,1.196,1.169,True,True
flash,8k,2051,512,12,0.477,1,11.21,8.13,9.97,1.379,1.226,True,True
flash,8k,2051,512,14,0.416,1,9.57,8.69,7.61,1.101,0.876,True,True
flash,8k,2051,512,16,0.498,1,10.27,8.34,9.53,1.23,1.142,True,True
flash,8k,2051,512,18,0.586,1,9.51,8.72,9.71,1.091,1.114,True,True
flash,8k,2051,512,20,0.488,1,11.21,8.66,9.53,1.294,1.1,True,True
flash,8k,2051,512,22,0.334,1,8.92,8.17,7.84,1.091,0.959,True,True
flash,8k,2051,512,24,0.48,1,13.1,8.63,9.78,1.517,1.133,True,True
flash,8k,2051,512,26,0.439,1,8.97,8.97,7.86,1.0,0.876,True,True
flash,8k,2051,512,28,0.639,1,13.65,8.47,9.54,1.611,1.127,True,True
