model,isl,N,K,L,BS,hit,op,us,us_span,exact
flash,4k,1027,512,10,1,0.846,gvr_pr,8.6224,8.6224,True
flash,4k,1027,512,10,1,0.846,radix_cutedsl,6.1087,6.1087,True
flash,4k,1027,512,10,1,0.846,sglang_v2,4.6895,4.6895,True
flash,4k,1027,512,10,1,0.846,flashinfer_topk,6.6512,6.6512,True
flash,4k,1027,512,10,2,0.846,gvr_pr,8.2655,8.2655,True
flash,4k,1027,512,10,2,0.846,radix_cutedsl,5.931,5.931,True
flash,4k,1027,512,10,2,0.846,sglang_v2,4.5616,4.5616,True
flash,4k,1027,512,10,2,0.846,flashinfer_topk,6.6591,6.6591,True
flash,4k,1027,512,10,4,0.846,gvr_pr,8.2144,8.2144,True
flash,4k,1027,512,10,4,0.846,radix_cutedsl,6.1247,6.1247,True
flash,4k,1027,512,10,4,0.846,sglang_v2,4.5584,4.5584,True
flash,4k,1027,512,10,4,0.846,flashinfer_topk,6.7998,6.7998,True
flash,4k,1027,512,10,8,0.846,gvr_pr,7.9679,7.9679,True
flash,4k,1027,512,10,8,0.846,radix_cutedsl,6.1007,6.1007,True
flash,4k,1027,512,10,8,0.846,sglang_v2,4.6048,4.6048,True
flash,4k,1027,512,10,8,0.846,flashinfer_topk,6.8159,6.8159,True
flash,4k,1027,512,10,16,0.846,gvr_pr,8.0735,8.0735,True
flash,4k,1027,512,10,16,0.846,radix_cutedsl,6.1104,6.1104,True
flash,4k,1027,512,10,16,0.846,sglang_v2,4.5886,4.5886,True
flash,4k,1027,512,10,16,0.846,flashinfer_topk,6.8495,6.8495,True
flash,4k,1027,512,10,32,0.846,gvr_pr,8.312,8.312,True
flash,4k,1027,512,10,32,0.846,radix_cutedsl,6.2224,6.2224,True
flash,4k,1027,512,10,32,0.846,sglang_v2,4.6288,4.6288,True
flash,4k,1027,512,10,32,0.846,flashinfer_topk,6.9199,6.9199,True
flash,4k,1027,512,10,64,0.846,gvr_pr,8.2046,8.2046,True
flash,4k,1027,512,10,64,0.846,radix_cutedsl,6.2623,6.2623,True
flash,4k,1027,512,10,64,0.846,sglang_v2,4.7008,4.7008,True
flash,4k,1027,512,10,64,0.846,flashinfer_topk,6.9855,6.9855,True
flash,4k,1027,512,10,128,0.846,gvr_pr,8.4655,8.4655,True
flash,4k,1027,512,10,128,0.846,radix_cutedsl,6.6063,6.6063,True
flash,4k,1027,512,10,128,0.846,sglang_v2,4.8175,4.8175,True
flash,4k,1027,512,10,128,0.846,flashinfer_topk,7.1312,7.1312,True
flash,4k,1027,512,10,256,0.846,gvr_pr,9.4271,9.4271,True
flash,4k,1027,512,10,256,0.846,radix_cutedsl,11.2368,11.2368,True
flash,4k,1027,512,10,256,0.846,sglang_v2,5.7839,5.7839,True
flash,4k,1027,512,10,256,0.846,flashinfer_topk,8.5503,8.5503,True
flash,4k,1027,512,10,512,0.846,gvr_pr,17.0719,17.0719,True
flash,4k,1027,512,10,512,0.846,radix_cutedsl,20.5853,20.5853,True
flash,4k,1027,512,10,512,0.846,sglang_v2,9.7151,9.7151,True
flash,4k,1027,512,10,512,0.846,flashinfer_topk,15.3135,15.3135,True
flash,4k,1027,512,10,1024,0.846,gvr_pr,31.686,31.686,True
