model,isl,N,K,L,hit,op,us,us_span,exact
flash,4k,1027,512,10,0.846,op26_r0auto,9.0815,9.0815,
flash,4k,1027,512,10,0.846,radix_cutedsl,5.9104,5.9104,True
flash,4k,1027,512,10,0.846,sglang_v2,4.7104,4.7104,True
flash,4k,1027,512,10,0.846,flashinfer_topk,6.6416,6.6416,True
flash,4k,1027,512,22,0.639,op26_r0auto,8.3407,8.3407,
flash,4k,1027,512,22,0.639,radix_cutedsl,5.9551,5.9551,True
flash,4k,1027,512,22,0.639,sglang_v2,4.7311,4.7311,True
flash,4k,1027,512,22,0.639,flashinfer_topk,6.5168,6.5168,True
flash,4k,1027,512,34,0.695,op26_r0auto,8.0687,8.0687,
flash,4k,1027,512,34,0.695,radix_cutedsl,5.9582,5.9582,True
flash,4k,1027,512,34,0.695,sglang_v2,4.8431,4.8431,True
flash,4k,1027,512,34,0.695,flashinfer_topk,6.64,6.64,True
flash,8k,2051,512,10,0.672,op26_r0auto,9.5055,9.5055,
flash,8k,2051,512,10,0.672,radix_cutedsl,6.088,6.088,True
flash,8k,2051,512,10,0.672,sglang_v2,4.9119,4.9119,True
flash,8k,2051,512,10,0.672,flashinfer_topk,7.2751,7.2751,True
flash,8k,2051,512,22,0.334,op26_r0auto,8.0799,8.0799,
flash,8k,2051,512,22,0.334,radix_cutedsl,6.072,6.072,True
flash,8k,2051,512,22,0.334,sglang_v2,4.8063,4.8063,True
flash,8k,2051,512,22,0.334,flashinfer_topk,7.3376,7.3376,True
flash,8k,2051,512,34,0.611,op26_r0auto,9.5101,9.5101,
flash,8k,2051,512,34,0.611,radix_cutedsl,6.0686,6.0686,True
flash,8k,2051,512,34,0.611,sglang_v2,4.7184,4.7184,True
flash,8k,2051,512,34,0.611,flashinfer_topk,6.9008,6.9008,True
flash,16k,4099,512,10,0.648,op26_r0auto,10.6989,10.6989,
flash,16k,4099,512,10,0.648,radix_cutedsl,7.3967,7.3967,True
flash,16k,4099,512,10,0.648,sglang_v2,5.5438,5.5438,True
flash,16k,4099,512,10,0.648,flashinfer_topk,7.8991,7.8991,True
flash,16k,4099,512,22,0.344,op26_r0auto,8.1151,8.1151,
flash,16k,4099,512,22,0.344,radix_cutedsl,7.4607,7.4607,True
flash,16k,4099,512,22,0.344,sglang_v2,5.5727,5.5727,True
flash,16k,4099,512,22,0.344,flashinfer_topk,7.6655,7.6655,True
flash,16k,4099,512,34,0.348,op26_r0auto,8.5934,8.5934,
flash,16k,4099,512,34,0.348,radix_cutedsl,7.2944,7.2944,True
flash,16k,4099,512,34,0.348,sglang_v2,5.5071,5.5071,True
flash,16k,4099,512,34,0.348,flashinfer_topk,7.7744,7.7744,True
flash,32k,8195,512,10,0.723,op26_r0auto,10.4527,10.4527,
flash,32k,8195,512,10,0.723,radix_cutedsl,9.4896,9.4896,True
flash,32k,8195,512,10,0.723,sglang_v2,6.3328,6.3328,True
flash,32k,8195,512,10,0.723,flashinfer_topk,11.7502,11.7502,True
flash,32k,8195,512,22,0.686,op26_r0auto,10.5423,10.5423,
flash,32k,8195,512,22,0.686,radix_cutedsl,9.304,9.304,True
flash,32k,8195,512,22,0.686,sglang_v2,6.2271,6.2271,True
flash,32k,8195,512,22,0.686,flashinfer_topk,11.779,11.779,True
flash,32k,8195,512,34,0.67,op26_r0auto,10.608,10.608,
flash,32k,8195,512,34,0.67,radix_cutedsl,9.3231,9.3231,True
flash,32k,8195,512,34,0.67,sglang_v2,6.3232,6.3232,True
flash,32k,8195,512,34,0.67,flashinfer_topk,11.8959,11.8959,True
flash,64k,16387,512,10,0.582,op26_r0auto,11.6751,11.6751,
flash,64k,16387,512,10,0.582,radix_cutedsl,20.059,20.059,True
flash,64k,16387,512,10,0.582,sglang_v2,8.5487,8.5487,True
flash,64k,16387,512,10,0.582,flashinfer_topk,12.0767,12.0767,True
flash,64k,16387,512,22,0.076,op26_r0auto,12.608,12.608,
flash,64k,16387,512,22,0.076,radix_cutedsl,20.1709,20.1709,True
flash,64k,16387,512,22,0.076,sglang_v2,8.7311,8.7311,True
