model,isl,N,K,L,hit,op,us,us_span,exact
flash,1024k,262127,512,2,0.514,radix_cutedsl,19.3278,19.3278,True
flash,1024k,262127,512,2,0.514,sglang_v2,16.3998,16.3998,True
flash,1024k,262127,512,2,0.514,flashinfer_topk,23.8173,23.8173,True
flash,1024k,262127,512,4,0.703,radix_cutedsl,19.1102,19.1102,True
flash,1024k,262127,512,4,0.703,sglang_v2,15.0238,15.0238,True
flash,1024k,262127,512,4,0.703,flashinfer_topk,17.6397,17.6397,True
flash,1024k,262127,512,6,0.684,radix_cutedsl,18.8989,18.8989,True
flash,1024k,262127,512,6,0.684,sglang_v2,17.091,17.091,True
flash,1024k,262127,512,6,0.684,flashinfer_topk,17.899,17.899,True
flash,1024k,262127,512,8,0.627,radix_cutedsl,19.3406,19.3406,True
flash,1024k,262127,512,8,0.627,sglang_v2,15.891,15.891,True
flash,1024k,262127,512,8,0.627,flashinfer_topk,19.7246,19.7246,True
flash,1024k,262127,512,10,0.385,radix_cutedsl,19.6845,19.6845,True
flash,1024k,262127,512,10,0.385,sglang_v2,16.9758,16.9758,True
flash,1024k,262127,512,10,0.385,flashinfer_topk,23.6381,23.6381,True
flash,1024k,262127,512,12,0.285,radix_cutedsl,19.3308,19.3308,True
flash,1024k,262127,512,12,0.285,sglang_v2,16.2575,16.2575,True
flash,1024k,262127,512,12,0.285,flashinfer_topk,18.9677,18.9677,True
flash,1024k,262127,512,14,0.357,radix_cutedsl,19.0893,19.0893,True
flash,1024k,262127,512,14,0.357,sglang_v2,16.1422,16.1422,True
flash,1024k,262127,512,14,0.357,flashinfer_topk,18.2973,18.2973,True
flash,1024k,262127,512,16,0.262,radix_cutedsl,19.1118,19.1118,True
flash,1024k,262127,512,16,0.262,sglang_v2,14.6525,14.6525,True
flash,1024k,262127,512,16,0.262,flashinfer_topk,18.8333,18.8333,True
flash,1024k,262127,512,18,0.312,radix_cutedsl,18.9615,18.9615,True
flash,1024k,262127,512,18,0.312,sglang_v2,16.4862,16.4862,True
flash,1024k,262127,512,18,0.312,flashinfer_topk,17.7326,17.7326,True
flash,1024k,262127,512,20,0.566,radix_cutedsl,19.1211,19.1211,True
flash,1024k,262127,512,20,0.566,sglang_v2,16.3103,16.3103,True
flash,1024k,262127,512,20,0.566,flashinfer_topk,17.747,17.747,True
flash,1024k,262127,512,22,0.422,radix_cutedsl,19.0014,19.0014,True
flash,1024k,262127,512,22,0.422,sglang_v2,16.2862,16.2862,True
flash,1024k,262127,512,22,0.422,flashinfer_topk,17.8798,17.8798,True
flash,1024k,262127,512,24,0.488,radix_cutedsl,19.1197,19.1197,True
flash,1024k,262127,512,24,0.488,sglang_v2,15.5502,15.5502,True
flash,1024k,262127,512,24,0.488,flashinfer_topk,18.4222,18.4222,True
flash,1024k,262127,512,26,0.578,radix_cutedsl,19.2271,19.2271,True
flash,1024k,262127,512,26,0.578,sglang_v2,15.491,15.491,True
flash,1024k,262127,512,26,0.578,flashinfer_topk,19.7978,19.7978,True
flash,1024k,262127,512,28,0.66,radix_cutedsl,18.9246,18.9246,True
flash,1024k,262127,512,28,0.66,sglang_v2,14.68,14.68,True
flash,1024k,262127,512,28,0.66,flashinfer_topk,17.5151,17.5151,True
flash,1024k,262127,512,30,0.514,radix_cutedsl,19.1168,19.1168,True
flash,1024k,262127,512,30,0.514,sglang_v2,16.627,16.627,True
flash,1024k,262127,512,30,0.514,flashinfer_topk,18.0142,18.0142,True
flash,1024k,262127,512,32,0.424,radix_cutedsl,19.3533,19.3533,True
flash,1024k,262127,512,32,0.424,sglang_v2,16.9742,16.9742,True
flash,1024k,262127,512,32,0.424,flashinfer_topk,21.222,21.222,True
flash,1024k,262127,512,34,0.379,radix_cutedsl,19.3003,19.3003,True
flash,1024k,262127,512,34,0.379,sglang_v2,16.2142,16.2142,True
flash,1024k,262127,512,34,0.379,flashinfer_topk,19.355,19.355,True
flash,1024k,262127,512,36,0.838,radix_cutedsl,19.0155,19.0155,True
flash,1024k,262127,512,36,0.838,sglang_v2,14.5007,14.5007,True
flash,1024k,262127,512,36,0.838,flashinfer_topk,17.7406,17.7406,True
flash,1024k,262127,512,38,0.619,radix_cutedsl,18.9948,18.9948,True
flash,1024k,262127,512,38,0.619,sglang_v2,15.1278,15.1278,True
flash,1024k,262127,512,38,0.619,flashinfer_topk,17.6302,17.6302,True
flash,1024k,262127,512,40,0.381,radix_cutedsl,18.9903,18.9903,True
flash,1024k,262127,512,40,0.381,sglang_v2,14.9022,14.9022,True
flash,1024k,262127,512,40,0.381,flashinfer_topk,17.6541,17.6541,True
flash,1024k,262127,512,42,0.758,radix_cutedsl,19.0399,19.0399,True
flash,1024k,262127,512,42,0.758,sglang_v2,16.0575,16.0575,True
flash,1024k,262127,512,42,0.758,flashinfer_topk,19.3822,19.3822,True
flash,128k,32771,512,2,0.604,radix_cutedsl,19.1357,19.1357,True
flash,128k,32771,512,2,0.604,sglang_v2,10.8574,10.8574,True
flash,128k,32771,512,2,0.604,flashinfer_topk,12.4255,12.4255,True
flash,128k,32771,512,4,0.805,radix_cutedsl,19.2814,19.2814,True
flash,128k,32771,512,4,0.805,sglang_v2,8.6174,8.6174,True
flash,128k,32771,512,4,0.805,flashinfer_topk,12.0735,12.0735,True
flash,128k,32771,512,6,0.637,radix_cutedsl,19.2318,19.2318,True
flash,128k,32771,512,6,0.637,sglang_v2,9.6479,9.6479,True
flash,128k,32771,512,6,0.637,flashinfer_topk,11.7582,11.7582,True
flash,128k,32771,512,8,0.742,radix_cutedsl,19.1088,19.1088,True
flash,128k,32771,512,8,0.742,sglang_v2,8.6015,8.6015,True
flash,128k,32771,512,8,0.742,flashinfer_topk,11.7742,11.7742,True
flash,128k,32771,512,10,0.523,radix_cutedsl,19.2574,19.2574,True
flash,128k,32771,512,10,0.523,sglang_v2,9.7823,9.7823,True
flash,128k,32771,512,10,0.523,flashinfer_topk,11.9999,11.9999,True
flash,128k,32771,512,12,0.49,radix_cutedsl,19.3342,19.3342,True
flash,128k,32771,512,12,0.49,sglang_v2,8.7247,8.7247,True
flash,128k,32771,512,12,0.49,flashinfer_topk,12.1405,12.1405,True
flash,128k,32771,512,14,0.578,radix_cutedsl,19.4446,19.4446,True
flash,128k,32771,512,14,0.578,sglang_v2,8.6639,8.6639,True
flash,128k,32771,512,14,0.578,flashinfer_topk,12.0671,12.0671,True
flash,128k,32771,512,16,0.564,radix_cutedsl,19.4062,19.4062,True
flash,128k,32771,512,16,0.564,sglang_v2,9.0222,9.0222,True
flash,128k,32771,512,16,0.564,flashinfer_topk,12.1711,12.1711,True
flash,128k,32771,512,18,0.637,radix_cutedsl,19.3726,19.3726,True
flash,128k,32771,512,18,0.637,sglang_v2,8.8525,8.8525,True
flash,128k,32771,512,18,0.637,flashinfer_topk,12.2239,12.2239,True
flash,128k,32771,512,20,0.785,radix_cutedsl,19.3342,19.3342,True
flash,128k,32771,512,20,0.785,sglang_v2,8.584,8.584,True
flash,128k,32771,512,20,0.785,flashinfer_topk,12.195,12.195,True
flash,128k,32771,512,22,0.701,radix_cutedsl,19.1005,19.1005,True
flash,128k,32771,512,22,0.701,sglang_v2,8.5343,8.5343,True
flash,128k,32771,512,22,0.701,flashinfer_topk,12.1423,12.1423,True
flash,128k,32771,512,24,0.609,radix_cutedsl,19.2733,19.2733,True
flash,128k,32771,512,24,0.609,sglang_v2,8.7502,8.7502,True
flash,128k,32771,512,24,0.609,flashinfer_topk,12.2526,12.2526,True
flash,128k,32771,512,26,0.744,radix_cutedsl,19.1326,19.1326,True
flash,128k,32771,512,26,0.744,sglang_v2,8.5902,8.5902,True
flash,128k,32771,512,26,0.744,flashinfer_topk,12.1472,12.1472,True
flash,128k,32771,512,28,0.855,radix_cutedsl,19.5358,19.5358,True
flash,128k,32771,512,28,0.855,sglang_v2,9.7759,9.7759,True
flash,128k,32771,512,28,0.855,flashinfer_topk,12.3023,12.3023,True
flash,128k,32771,512,30,0.777,radix_cutedsl,18.9726,18.9726,True
flash,128k,32771,512,30,0.777,sglang_v2,8.52,8.52,True
flash,128k,32771,512,30,0.777,flashinfer_topk,11.9104,11.9104,True
flash,128k,32771,512,32,0.475,radix_cutedsl,19.27,19.27,True
flash,128k,32771,512,32,0.475,sglang_v2,8.723,8.723,True
flash,128k,32771,512,32,0.475,flashinfer_topk,12.3935,12.3935,True
flash,128k,32771,512,34,0.688,radix_cutedsl,19.2078,19.2078,True
flash,128k,32771,512,34,0.688,sglang_v2,8.8287,8.8287,True
flash,128k,32771,512,34,0.688,flashinfer_topk,12.3024,12.3024,True
flash,128k,32771,512,36,0.898,radix_cutedsl,19.4395,19.4395,True
flash,128k,32771,512,36,0.898,sglang_v2,8.776,8.776,True
flash,128k,32771,512,36,0.898,flashinfer_topk,12.6015,12.6015,True
flash,128k,32771,512,38,0.727,radix_cutedsl,19.2494,19.2494,True
flash,128k,32771,512,38,0.727,sglang_v2,8.9104,8.9104,True
flash,128k,32771,512,38,0.727,flashinfer_topk,12.2574,12.2574,True
flash,128k,32771,512,40,0.832,radix_cutedsl,19.347,19.347,True
flash,128k,32771,512,40,0.832,sglang_v2,8.7823,8.7823,True
flash,128k,32771,512,40,0.832,flashinfer_topk,12.3423,12.3423,True
flash,128k,32771,512,42,0.863,radix_cutedsl,19.0957,19.0957,True
flash,128k,32771,512,42,0.863,sglang_v2,10.056,10.056,True
flash,128k,32771,512,42,0.863,flashinfer_topk,12.907,12.907,True
flash,16k,4099,512,2,0.762,radix_cutedsl,7.0176,7.0176,True
flash,16k,4099,512,2,0.762,sglang_v2,5.4671,5.4671,True
flash,16k,4099,512,2,0.762,flashinfer_topk,7.7056,7.7056,True
flash,16k,4099,512,4,0.861,radix_cutedsl,6.9776,6.9776,True
flash,16k,4099,512,4,0.861,sglang_v2,5.6,5.6,True
flash,16k,4099,512,4,0.861,flashinfer_topk,7.8319,7.8319,True
flash,16k,4099,512,6,0.748,radix_cutedsl,6.8576,6.8576,True
flash,16k,4099,512,6,0.748,sglang_v2,5.4831,5.4831,True
flash,16k,4099,512,6,0.748,flashinfer_topk,7.6063,7.6063,True
flash,16k,4099,512,8,0.633,radix_cutedsl,6.92,6.92,True
flash,16k,4099,512,8,0.633,sglang_v2,5.4336,5.4336,True
flash,16k,4099,512,8,0.633,flashinfer_topk,7.4144,7.4144,True
flash,16k,4099,512,10,0.648,radix_cutedsl,7.2256,7.2256,True
flash,16k,4099,512,10,0.648,sglang_v2,5.432,5.432,True
flash,16k,4099,512,10,0.648,flashinfer_topk,7.5631,7.5631,True
flash,16k,4099,512,12,0.406,radix_cutedsl,6.8879,6.8879,True
flash,16k,4099,512,12,0.406,sglang_v2,5.584,5.584,True
flash,16k,4099,512,12,0.406,flashinfer_topk,7.9328,7.9328,True
flash,16k,4099,512,14,0.492,radix_cutedsl,7.1888,7.1888,True
flash,16k,4099,512,14,0.492,sglang_v2,5.4143,5.4143,True
