family,sweep,scenario,model,op,K,dtype,N,BS,isl,cr,hit,us,us_span,exact
real,bs,,flash,flashinfer_topk,512,bf16,1027,1,4k,4,0.638671875,4.67675,4.67675,True
real,bs,,flash,gvr_base,512,bf16,1027,1,4k,4,0.638671875,8.7919,8.7919,True
real,bs,,flash,gvr_pr,512,bf16,1027,1,4k,4,0.638671875,7.3136,7.3136,True
real,bs,,flash,op26_r0auto,512,bf16,1027,1,4k,4,0.638671875,8.303799999999999,8.303799999999999,
real,bs,,flash,radix_cutedsl,512,bf16,1027,1,4k,4,0.638671875,4.3024,4.3024,True
real,bs,,flash,flashinfer_topk,512,bf16,1027,2,4k,4,0.638671875,4.71195,4.71195,True
real,bs,,flash,gvr_base,512,bf16,1027,2,4k,4,0.638671875,8.28635,8.28635,True
real,bs,,flash,gvr_pr,512,bf16,1027,2,4k,4,0.638671875,7.2879499999999995,7.2879499999999995,True
real,bs,,flash,op26_r0auto,512,bf16,1027,2,4k,4,0.638671875,8.19835,8.19835,
real,bs,,flash,radix_cutedsl,512,bf16,1027,2,4k,4,0.638671875,4.2576,4.2576,True
real,bs,,flash,flashinfer_topk,512,bf16,1027,4,4k,4,0.638671875,5.057600000000001,5.057600000000001,True
real,bs,,flash,gvr_base,512,bf16,1027,4,4k,4,0.638671875,8.5504,8.5504,True
real,bs,,flash,gvr_pr,512,bf16,1027,4,4k,4,0.638671875,7.4368,7.4368,True
real,bs,,flash,op26_r0auto,512,bf16,1027,4,4k,4,0.638671875,8.3455,8.3455,
real,bs,,flash,radix_cutedsl,512,bf16,1027,4,4k,4,0.638671875,4.7375,4.7375,True
real,bs,,flash,flashinfer_topk,512,bf16,1027,8,4k,4,0.638671875,5.3456,5.3456,True
real,bs,,flash,gvr_base,512,bf16,1027,8,4k,4,0.638671875,8.37915,8.37915,True
real,bs,,flash,gvr_pr,512,bf16,1027,8,4k,4,0.638671875,7.3759,7.3759,True
real,bs,,flash,op26_r0auto,512,bf16,1027,8,4k,4,0.638671875,8.0768,8.0768,
real,bs,,flash,radix_cutedsl,512,bf16,1027,8,4k,4,0.638671875,4.9088,4.9088,True
real,bs,,flash,flashinfer_topk,512,bf16,1027,16,4k,4,0.638671875,5.4864,5.4864,True
real,bs,,flash,gvr_base,512,bf16,1027,16,4k,4,0.638671875,8.5519,8.5519,True
