scen,K,N,cs,base,pr,op26,pr_vs_base,my_vs_op26,exact
best,512,4096,1,12.74,9.68,10.29,1.317,0.94,True
best,512,8192,1,12.95,9.77,9.95,1.325,0.982,True
best,512,16384,1,14.02,10.88,12.36,1.289,0.88,True
best,512,32768,1,14.01,12.45,13.45,1.125,0.926,True
best,512,65536,4,20.2,13.61,14.14,1.484,0.963,True
best,512,131072,8,18.31,14.94,15.15,1.225,0.986,True
best,512,262144,8,21.12,16.28,18.31,1.297,0.889,True
best,512,524288,8,23.19,19.63,23.81,1.181,0.825,True
best,512,1048576,8,31.75,26.18,36.34,1.213,0.72,True
best,1024,4096,1,10.38,9.38,10.04,1.107,0.934,True
best,1024,8192,1,18.79,9.87,10.74,1.905,0.918,True
best,1024,16384,1,16.64,10.91,11.36,1.526,0.96,True
best,1024,32768,1,22.82,12.26,13.74,1.861,0.893,True
best,1024,65536,4,19.17,14.42,14.05,1.329,1.027,True
best,1024,131072,8,19.72,15.1,14.92,1.306,1.013,True
best,1024,262144,8,24.6,17.47,17.93,1.408,0.975,True
best,1024,524288,8,25.42,20.05,24.1,1.268,0.832,True
best,1024,1048576,8,31.28,26.92,36.46,1.162,0.738,True
best,2048,8192,1,14.78,10.69,11.71,1.382,0.913,True
best,2048,16384,1,14.66,11.92,12.95,1.23,0.92,True
best,2048,32768,1,17.79,14.09,16.34,1.262,0.862,True
best,2048,65536,4,22.25,16.01,17.59,1.39,0.91,True
best,2048,131072,8,21.62,17.31,18.55,1.249,0.933,True
best,2048,262144,8,26.33,19.8,22.86,1.33,0.866,True
best,2048,524288,8,22.84,23.77,30.12,0.961,0.789,True
best,2048,1048576,8,39.31,30.63,44.46,1.283,0.689,True
worst,512,4096,1,9.3,8.99,8.13,1.034,1.107,True
worst,512,8192,1,8.98,9.24,8.49,0.971,1.089,True
worst,512,16384,1,12.67,9.92,10.79,1.278,0.919,True
worst,512,32768,1,12.49,12.27,11.3,1.018,1.086,True
worst,512,65536,4,12.78,13.03,13.08,0.98,0.996,True
worst,512,131072,8,13.91,13.88,14.51,1.003,0.957,True
worst,512,262144,8,18.23,16.86,17.8,1.082,0.947,True
worst,512,524288,8,20.16,19.69,23.96,1.024,0.822,True
worst,512,1048576,8,24.92,26.65,35.93,0.935,0.742,True
worst,1024,4096,1,9.89,9.38,8.3,1.055,1.13,True
worst,1024,8192,1,9.49,10.12,9.0,0.938,1.124,True
worst,1024,16384,1,10.62,11.13,9.93,0.954,1.121,True
worst,1024,32768,1,16.56,12.96,11.41,1.278,1.135,True
worst,1024,65536,4,17.53,14.64,13.64,1.198,1.073,True
worst,1024,131072,8,16.0,15.3,14.79,1.046,1.035,True
worst,1024,262144,8,18.11,17.68,18.01,1.024,0.982,True
worst,1024,524288,8,19.69,20.36,24.18,0.967,0.842,True
worst,1024,1048576,8,27.08,27.03,36.4,1.002,0.743,True
worst,2048,8192,1,13.57,11.06,10.12,1.226,1.093,True
worst,2048,16384,1,13.61,12.22,11.44,1.113,1.069,True
worst,2048,32768,1,14.65,14.72,13.68,0.995,1.076,True
worst,2048,65536,4,18.66,16.08,15.42,1.16,1.043,True
worst,2048,131072,8,18.04,17.23,16.48,1.047,1.045,True
worst,2048,262144,8,21.99,20.16,19.97,1.091,1.01,True
worst,2048,524288,8,22.56,23.53,26.0,0.959,0.905,True
worst,2048,1048576,8,31.25,30.28,37.36,1.032,0.811,True
