model,isl,dtype,BS,N,hit,base,pr,vseed,vs2,exact_all
flash,1024k,bf16,1,262127,0.422,15.4,20.33,18.0,17.41,True
flash,1024k,fp16,1,262127,0.422,15.6,20.1,17.92,17.33,True
flash,1024k,fp32,1,262127,0.422,19.39,19.69,17.59,17.01,True
flash,128k,fp32,1,32771,0.701,14.95,11.16,11.61,11.06,True
flash,512k,fp32,1,131075,0.057,42.98,20.26,20.73,20.3,True
flash,64k,fp32,1,16387,0.076,14.13,11.31,11.57,11.5,True
flash,1024k,bf16,64,262127,0.422,24.62,30.24,29.44,28.17,True
flash,1024k,fp16,64,262127,0.422,25.17,29.74,29.16,27.57,True
flash,1024k,fp32,64,262127,0.422,36.02,38.21,36.54,36.83,True
flash,1024k,fp32,128,262127,0.422,63.2,80.05,62.11,61.32,True
flash,1024k,fp32,256,262127,0.422,107.56,141.94,104.52,104.74,True
flash,1024k,fp32,512,262127,0.422,184.11,254.69,181.63,181.13,True
flash,1024k,bf16,1024,262127,0.422,235.57,334.25,243.72,237.01,True
flash,1024k,fp16,1024,262127,0.422,236.64,336.23,244.16,242.13,True
flash,1024k,fp32,1024,262127,0.422,342.01,485.24,340.72,337.99,True
flash,128k,fp32,1024,32771,0.701,83.12,61.65,63.53,61.4,True
flash,512k,fp32,1024,131075,0.057,1266.12,387.23,390.42,387.16,True
pro,1024k,fp32,1,262127,0.267,23.29,18.39,19.02,18.6,True
pro,128k,fp32,1,32771,0.326,14.79,11.64,12.08,11.8,True
pro,1024k,fp32,1024,262127,0.267,362.45,348.39,351.76,348.04,True
pro,128k,fp32,1024,32771,0.326,80.29,67.33,68.83,68.15,True
v32,256k,fp32,1,163775,0.865,26.4,21.05,18.7,18.18,True
v32,64k,fp32,1,65551,0.406,30.79,19.64,20.21,22.93,True
v32,256k,fp32,128,163775,0.865,49.03,41.81,40.45,40.28,True
v32,256k,fp32,1024,163775,0.865,272.72,245.05,231.6,236.08,True
