family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,flash,512,bf16,1027,1,4k,0.638671875,8.632,8.016,7.856,1.0768,1.0988,1.0204,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,2,4k,0.638671875,8.414,8.08,7.842,1.0414,1.073,1.0304,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,4,4k,0.638671875,8.178,7.856,7.667,1.0409,1.0666,1.0246,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,8,4k,0.638671875,8.13,8.029,7.822,1.0126,1.0393,1.0264,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,16,4k,0.638671875,8.258,7.93,7.674,1.0414,1.0761,1.0334,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,32,4k,0.638671875,8.493,8.206,8.058,1.0349,1.054,1.0185,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,64,4k,0.638671875,8.397,8.25,7.97,1.0178,1.0536,1.0351,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,128,4k,0.638671875,8.699,8.467,8.2,1.0274,1.0609,1.0326,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,256,4k,0.638671875,10.04,9.373,8.979,1.0712,1.1181,1.0438,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,1027,512,4k,0.638671875,17.298,16.626,15.64,1.0404,1.106,1.063,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,1027,1024,4k,0.638671875,26.47,24.888,23.746,1.0636,1.1147,1.0481,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,2051,1,8k,0.333984375,8.76,8.379,8.229,1.0454,1.0646,1.0183,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,2,8k,0.333984375,8.568,8.253,8.002,1.0382,1.0708,1.0314,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,4,8k,0.333984375,8.413,7.997,7.802,1.052,1.0783,1.025,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,8,8k,0.333984375,8.525,8.349,7.966,1.0211,1.0701,1.048,True,True,True,cs1/T512/mb0/v128
