family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,flash,512,bf16,1027,1,4k,0.638671875,8.627,8.038,7.843,1.0732,1.1,1.0249,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,2,4k,0.638671875,8.405,8.102,7.883,1.0373,1.0662,1.0278,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,4,4k,0.638671875,8.198,7.874,7.638,1.0413,1.0733,1.0308,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,8,4k,0.638671875,8.109,8.059,7.742,1.0061,1.0473,1.0409,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,16,4k,0.638671875,8.232,7.946,7.68,1.0361,1.0719,1.0346,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,32,4k,0.638671875,8.515,8.19,7.978,1.0396,1.0674,1.0267,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,64,4k,0.638671875,8.438,8.203,8.002,1.0287,1.0546,1.0252,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,128,4k,0.638671875,8.704,8.506,8.189,1.0233,1.0629,1.0387,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,1027,256,4k,0.638671875,10.021,9.346,8.947,1.0723,1.12,1.0445,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,1027,512,4k,0.638671875,17.35,16.653,15.669,1.0419,1.1073,1.0628,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,1027,1024,4k,0.638671875,26.467,24.87,23.794,1.0642,1.1124,1.0453,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,2051,1,8k,0.333984375,8.709,8.485,8.267,1.0264,1.0534,1.0263,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,2,8k,0.333984375,8.562,8.243,8.03,1.0386,1.0661,1.0265,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,4,8k,0.333984375,8.362,7.958,7.749,1.0507,1.0791,1.027,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,8,8k,0.333984375,8.47,8.366,7.995,1.0124,1.0594,1.0464,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,16,8k,0.333984375,8.549,8.17,7.963,1.0464,1.0735,1.0259,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,32,8k,0.333984375,8.814,8.427,8.192,1.0459,1.076,1.0287,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,64,8k,0.333984375,8.763,8.485,8.184,1.0328,1.0708,1.0368,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,128,8k,0.333984375,9.08,8.837,8.584,1.0275,1.0578,1.0295,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,256,8k,0.333984375,10.627,9.755,9.446,1.0894,1.125,1.0327,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,2051,512,8k,0.333984375,18.322,17.344,16.528,1.0564,1.1085,1.0494,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,2051,1024,8k,0.333984375,27.837,26.211,25.142,1.062,1.1072,1.0425,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,4099,1,16k,0.34375,8.11,8.245,8.102,0.9837,1.001,1.0176,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,2,16k,0.34375,8.261,8.502,8.32,0.9716,0.9929,1.0219,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,4,16k,0.34375,8.304,8.536,8.032,0.9728,1.0339,1.0627,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,8,16k,0.34375,8.376,8.437,8.307,0.9928,1.0083,1.0156,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,16,16k,0.34375,8.232,8.474,8.126,0.9715,1.013,1.0427,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,32,16k,0.34375,8.405,8.523,8.354,0.9861,1.0061,1.0203,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,64,16k,0.34375,8.578,8.728,8.48,0.9828,1.0115,1.0292,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,128,16k,0.34375,8.832,9.062,8.811,0.9746,1.0024,1.0285,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,256,16k,0.34375,10.526,10.33,10.04,1.0191,1.0484,1.0288,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,4099,512,16k,0.34375,18.043,17.85,17.317,1.0108,1.0419,1.0308,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,4099,1024,16k,0.34375,27.635,27.216,26.272,1.0154,1.0519,1.0359,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,8195,1,32k,0.685546875,11.592,9.725,9.595,1.192,1.2081,1.0135,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,2,32k,0.685546875,11.43,9.658,9.382,1.1836,1.2183,1.0293,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,4,32k,0.685546875,11.55,9.693,9.456,1.1916,1.2215,1.025,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,8,32k,0.685546875,11.538,9.571,9.33,1.2054,1.2367,1.0259,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,16,32k,0.685546875,11.595,9.824,9.312,1.1803,1.2452,1.055,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,32,32k,0.685546875,11.779,9.906,9.518,1.1891,1.2375,1.0407,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,64,32k,0.685546875,11.8,9.994,9.718,1.1807,1.2142,1.0283,True,True,True,cs1/T512/mb0/v128
