scenario,K,N,BS,hit_rate,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,flashinfer_topk_i32_cold_us,flashinfer_topk_i32_warm_us,sglang_v2_cold_span_us,sglang_v2_warm_span_us,anchor_ratio,rr_op21_hls_cold_us_adj,rr_op25_hls_cold_us_adj,rr_op26_r0auto_cold_us_adj,rr_gvr_multicta_cutedsl_cold_us_adj,rr_radix_single_cuda_cold_us_adj,rr_radix_multi_cuda_cold_us_adj
best,512,524288,2,0.55078125,65.307,59.501,20.097,18.856,148.041,149.525,20.013,16.157,24.915,19.925,25.629,20.06,20.013,16.157,,,,,,,
best,512,524288,4,0.55078125,65.096,59.486,23.84,21.895,147.847,149.608,20.824,16.61,25.777,20.309,26.438,20.459,20.824,16.61,,,,,,,
best,512,524288,8,0.55078125,65.237,59.511,30.329,27.813,147.823,149.585,21.374,16.778,26.176,20.468,26.849,20.635,21.374,16.778,,,,,,,
best,512,524288,16,0.55078125,66.578,59.799,56.675,53.182,148.439,149.914,25.878,25.429,37.336,29.635,37.281,29.773,25.878,25.429,,,,,,,
best,512,524288,32,0.55078125,75.406,60.048,110.028,104.415,149.017,150.295,84.614,62.705,43.36,32.256,43.476,32.721,47.981,36.43,,,,,,,
best,512,524288,64,0.55078125,110.94,100.085,215.077,211.099,150.625,149.472,136.612,117.097,77.182,66.46,77.313,66.341,74.19,63.931,,,,,,,
best,512,1048576,2,0.55078125,118.5,108.603,24.182,22.294,287.949,291.317,32.003,25.107,42.638,33.533,44.529,33.994,32.003,25.107,,,,,,,
best,512,1048576,4,0.55078125,118.19,108.607,30.848,28.41,287.916,291.551,32.52,25.54,43.393,33.925,45.337,34.415,32.52,25.54,,,,,,,
best,512,1048576,8,0.55078125,118.65,108.688,58.55,54.873,288.038,291.512,34.022,25.797,44.622,34.206,46.525,34.646,34.022,25.797,,,,,,,
best,512,1048576,16,0.55078125,130.105,109.021,114.694,107.708,288.43,291.795,44.006,40.805,68.955,54.279,70.217,55.685,44.006,40.805,,,,,,,
best,512,1048576,32,0.55078125,181.269,172.017,226.381,218.195,289.038,289.259,174.37,152.349,82.889,72.734,83.435,73.167,91.529,80.168,,,,,,,
best,512,1048576,64,0.55078125,202.959,188.753,443.308,434.502,290.404,289.823,266.645,240.163,140.437,129.513,142.185,131.124,139.684,126.474,,,,,,,
best,1024,524288,2,0.5498046875,69.569,64.268,20.197,18.944,150.431,152.073,20.942,17.259,26.651,21.677,27.357,21.809,20.942,17.259,,,,,,,
best,1024,524288,4,0.5498046875,69.487,64.263,24.002,22.178,150.341,152.115,22.096,17.735,27.435,22.093,28.214,22.194,22.096,17.735,,,,,,,
best,1024,524288,8,0.5498046875,69.811,64.288,30.755,28.261,150.474,152.101,22.499,17.937,27.85,22.256,28.685,22.367,22.499,17.937,,,,,,,
best,1024,524288,16,0.5498046875,71.252,64.579,58.526,54.96,150.949,152.479,27.702,26.907,39.392,32.171,39.702,32.391,27.702,26.907,,,,,,,
best,1024,524288,32,0.5498046875,78.894,64.785,110.983,105.554,151.949,153.123,89.732,66.12,45.79,34.898,45.948,35.069,50.777,38.619,,,,,,,
best,1024,524288,64,0.5498046875,115.636,104.296,202.042,197.692,153.513,152.256,144.452,124.733,81.492,70.874,80.76,70.231,77.907,67.578,,,,,,,
best,1024,1048576,2,0.5498046875,121.042,112.068,23.721,21.851,288.136,292.388,30.833,24.143,40.876,31.629,42.78,32.053,30.833,24.143,,,,,,,
best,1024,1048576,4,0.5498046875,121.057,112.108,30.333,27.839,288.001,292.529,31.616,24.576,41.526,32.018,43.483,32.516,31.616,24.576,,,,,,,
best,1024,1048576,8,0.5498046875,121.833,112.188,57.268,53.726,287.788,292.463,33.323,24.82,42.766,32.253,44.733,32.779,33.323,24.82,,,,,,,
best,1024,1048576,16,0.5498046875,138.007,121.971,111.175,105.41,288.428,292.913,42.715,40.139,65.67,49.542,67.297,50.967,42.715,40.139,,,,,,,
best,1024,1048576,32,0.5498046875,184.224,174.614,218.646,213.3,289.724,289.922,164.308,145.195,80.347,70.067,80.648,70.206,88.508,77.691,,,,,,,
best,1024,1048576,64,0.5498046875,205.407,191.604,429.964,424.58,291.12,290.412,263.497,237.736,135.724,124.848,136.257,124.943,137.556,124.313,,,,,,,
best,2048,524288,2,0.5498046875,74.948,70.098,20.601,19.332,,,22.929,19.199,35.093,30.277,35.312,29.782,22.929,19.199,,,,,,,
best,2048,524288,4,0.5498046875,75.203,70.103,24.608,22.907,,,23.621,19.68,35.843,30.681,36.016,30.203,23.621,19.68,,,,,,,
best,2048,524288,8,0.5498046875,75.548,70.164,32.502,29.992,,,24.459,19.878,36.403,30.88,36.723,30.429,24.459,19.878,,,,,,,
best,2048,524288,16,0.5498046875,76.806,70.488,61.078,57.458,,,30.731,29.962,55.371,49.099,55.125,48.713,30.731,29.962,,,,,,,
best,2048,524288,32,0.5498046875,81.825,70.724,119.201,112.404,,,98.407,75.819,62.881,52.599,62.136,51.83,54.569,43.023,,,,,,,
best,2048,524288,64,0.5498046875,121.863,109.682,211.53,208.469,,,153.06,136.089,118.401,111.41,112.031,105.671,83.587,73.821,,,,,,,
best,2048,1048576,2,0.5498046875,136.508,128.04,24.493,22.76,,,33.085,26.518,54.07,45.269,55.742,45.351,33.085,26.518,,,,,,,
best,2048,1048576,4,0.5498046875,136.302,128.055,31.67,29.309,,,33.997,27.103,55.084,45.668,56.579,45.76,33.997,27.103,,,,,,,
best,2048,1048576,8,0.5498046875,136.756,128.167,60.332,56.794,,,35.55,27.329,56.23,45.971,57.78,46.076,35.55,27.329,,,,,,,
best,2048,1048576,16,0.5498046875,143.841,132.023,117.604,111.537,,,45.92,43.189,90.126,76.413,91.009,77.18,45.92,43.189,,,,,,,
best,2048,1048576,32,0.5498046875,187.034,177.493,231.224,226.545,,,173.586,153.843,105.156,95.846,105.158,95.027,92.806,82.394,,,,,,,
best,2048,1048576,64,0.5498046875,224.096,206.436,455.695,451.585,,,277.822,253.426,191.299,183.005,184.848,176.773,142.601,130.412,,,,,,,
real,512,524288,2,0.73046875,63.513,57.635,20.268,18.883,147.963,149.22,19.933,16.148,24.94,19.912,25.654,20.04,19.933,16.148,,,,,,,
real,512,524288,4,0.73046875,63.434,57.642,23.788,22.086,148.03,149.375,20.619,16.613,25.619,20.31,26.209,20.471,20.619,16.613,,,,,,,
real,512,524288,8,0.73046875,68.895,66.405,30.22,27.927,148.113,149.367,21.312,16.752,26.249,20.442,26.904,20.626,21.312,16.752,,,,,,,
real,512,524288,16,0.73046875,65.055,58.059,57.442,53.587,148.508,149.723,26.053,25.379,37.465,29.565,37.59,29.999,26.053,25.379,,,,,,,
real,512,524288,32,0.73046875,74.274,58.416,112.96,105.234,149.113,150.1,86.268,62.37,43.747,32.288,43.601,32.658,48.675,36.351,,,,,,,
real,512,524288,64,0.73046875,109.221,98.105,195.888,187.914,150.494,149.183,137.011,117.596,76.953,66.1,77.626,77.525,74.113,63.764,,,,,,,
real,512,1048576,2,0.78515625,118.03,108.847,24.064,22.317,287.934,290.894,31.55,25.077,42.551,33.475,44.531,33.962,31.55,25.077,,,,,,,
real,512,1048576,4,0.78515625,118.302,108.894,31.174,28.633,287.818,291.049,32.521,25.523,43.343,33.903,45.31,34.354,32.521,25.523,,,,,,,
real,512,1048576,8,0.78515625,118.816,108.994,58.794,55.18,287.9,291.056,33.878,25.73,44.638,34.089,46.374,34.593,33.878,25.73,,,,,,,
real,512,1048576,16,0.78515625,134.393,109.382,114.598,108.164,288.484,291.511,43.519,40.828,69.522,54.278,71.045,55.649,43.519,40.828,,,,,,,
real,512,1048576,32,0.78515625,181.748,172.186,224.469,218.917,289.305,288.973,168.931,148.388,82.98,72.99,83.706,73.258,90.597,79.621,,,,,,,
real,512,1048576,64,0.78515625,203.004,188.887,440.592,435.349,290.558,289.707,268.051,242.848,140.646,129.262,142.2,130.896,139.606,126.787,,,,,,,
real,1024,524288,2,0.7373046875,66.548,61.104,20.36,18.909,150.977,151.975,20.569,16.544,27.444,22.501,28.183,22.572,20.569,16.544,,,,,,,
real,1024,524288,4,0.7373046875,66.658,61.162,24.099,22.343,151.076,152.09,20.803,16.968,27.974,22.901,28.74,22.953,20.803,16.968,,,,,,,
real,1024,524288,8,0.7373046875,66.97,61.196,31.026,28.648,151.028,152.19,21.59,17.115,28.662,23.018,29.283,23.088,21.59,17.115,,,,,,,
