scenario,K,N,BS,hit_rate,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,flashinfer_topk_i32_cold_us,flashinfer_topk_i32_warm_us,sglang_v2_cold_span_us,sglang_v2_warm_span_us,anchor_ratio,rr_op21_hls_cold_us_adj,rr_op25_hls_cold_us_adj,rr_op26_r0auto_cold_us_adj,rr_gvr_multicta_cutedsl_cold_us_adj,rr_radix_single_cuda_cold_us_adj,rr_radix_multi_cuda_cold_us_adj
best,512,4096,1,0.55078125,11.432,9.341,6.44,5.588,7.483,6.178,4.96,3.787,6.395,5.832,6.198,5.644,4.96,3.787,0.9498,10.947,11.732,10.912,11.238,14.902,36.114
best,512,8192,1,0.55078125,11.144,9.432,7.819,7.258,8.536,7.34,5.51,4.573,11.155,10.301,10.829,10.056,5.51,4.573,0.9991,10.647,12.044,10.019,11.107,16.862,35.312
best,512,16384,1,0.55078125,12.632,11.192,12.069,11.384,11.251,10.108,7.221,6.168,11.75,10.691,11.499,10.489,7.221,6.168,1.0112,12.196,14.502,13.178,12.608,20.223,34.768
best,512,32768,1,0.55078125,15.29,13.34,16.35,15.551,15.971,14.895,11.227,8.876,11.686,11.489,11.4,11.287,11.227,8.876,1.0359,13.285,14.919,13.582,15.318,27.829,36.979
best,512,65536,1,0.55078125,28.123,26.521,15.626,14.991,25.438,24.482,9.04,7.828,12.421,11.385,12.382,11.153,9.04,7.828,1.016,12.806,13.964,14.39,20.615,42.86,38.958
best,512,131072,1,0.55078125,33.058,30.567,18.477,17.821,43.208,42.612,10.611,9.029,14.395,12.773,14.283,12.607,10.611,9.029,0.7789,18.839,19.359,20.104,23.125,92.412,54.57
best,512,262144,1,0.55078125,37.093,33.632,18.89,18.241,77.865,77.866,14.523,12.233,19.294,16.614,19.421,16.55,14.523,12.233,1.0139,17.375,16.093,18.505,19.683,129.077,47.16
best,512,524288,1,0.55078125,65.137,59.564,18.955,18.12,148.236,149.333,19.795,16.091,24.593,19.814,25.32,19.935,19.795,16.091,1.0021,23.279,18.861,25.816,28.034,243.933,61.289
best,512,1048576,1,0.55078125,118.202,108.671,20.147,18.808,288.124,291.154,31.558,24.928,42.177,33.323,44.208,33.826,31.558,24.928,1.0036,35.447,25.801,36.747,41.882,471.209,86.132
best,1024,4096,1,0.5498046875,10.224,8.812,6.242,5.601,7.323,6.382,4.733,3.896,7.152,6.63,6.787,6.295,4.733,3.896,0.9848,10.542,11.19,12.105,10.144,15.19,36.124
best,1024,8192,1,0.5498046875,13.827,12.509,7.952,7.411,8.262,7.391,5.33,4.593,11.574,10.871,11.198,10.539,5.33,4.593,1.0234,11.134,11.942,15.043,13.829,17.006,35.483
best,1024,16384,1,0.5498046875,17.798,16.447,11.986,11.331,11.246,10.304,7.181,6.292,11.725,10.675,11.413,10.42,7.181,6.292,1.0142,12.236,13.806,13.764,17.767,20.936,36.823
best,1024,32768,1,0.5498046875,23.488,21.741,19.472,18.767,16.43,15.558,12.006,9.88,11.685,10.919,11.394,10.715,12.006,9.88,1.0175,14.082,14.214,18.145,23.542,29.097,39.645
best,1024,65536,1,0.5498046875,32.373,30.537,19.514,18.649,26.245,25.398,9.021,8.022,12.739,11.698,12.622,11.418,9.021,8.022,0.9988,14.203,14.992,19.103,23.368,45.562,41.357
