  scen     K        N   BS |   anchor    rival     hbec      off | rv/hbec  rv/off
  real   512   131072    1 |    25.07    10.58    11.04    10.62 |   0.958   0.996
  real   512   131072   16 |    26.12    13.84    14.07    13.72 |   0.984   1.008
  real   512   131072   64 |    29.37    32.39    32.39    32.46 |   1.000   0.998
  real   512   131072  256 |    87.80    59.68    59.52    59.53 |   1.003   1.002
  real   512   131072  512 |   175.06   104.47   104.63   104.29 |   0.998   1.002
  real   512   262144    1 |    39.06    15.32    14.37    15.14 |   1.066   1.012
  real   512   262144   16 |    40.40    18.93    17.93    19.00 |   1.056   0.996
  real   512   262144   64 |    51.70    93.51    93.47    93.74 |   1.000   0.998
  real   512   262144  256 |   154.14   103.79   103.72   104.16 |   1.001   0.996
  real   512   262144  512 |   307.03   191.26   190.93   191.45 |   1.002   0.999
  real   512   524288    1 |    62.84    20.62    18.20    20.06 |   1.133   1.028
  real   512   524288   16 |    64.90    26.25    22.39    26.14 |   1.172   1.004
  real   512   524288   64 |   109.36   141.71   129.60   142.37 |   1.093   0.995
  real   512   524288  256 |   280.40   445.73   359.08   445.61 |   1.241   1.000
  real   512   524288  512 |   601.10   844.45   674.96   845.54 |   1.251   0.999
  real   512  1048576    1 |   117.21    31.80    27.03    31.77 |   1.176   1.001
  real   512  1048576   16 |   131.20    43.72    34.32    43.75 |   1.274   0.999
  real   512  1048576   64 |   203.25   272.85   197.32   272.55 |   1.383   1.001
  real   512  1048576  256 |   528.61   858.71   561.23   857.90 |   1.530   1.001
  real   512  1048576  512 |  1166.23  1642.92  1093.07  1640.27 |   1.503   1.002
  real  1024   131072    1 |    25.89    10.98    11.59    11.06 |   0.948   0.993
  real  1024   131072   16 |    27.08    14.01    14.23    14.01 |   0.985   1.000
  real  1024   131072   64 |    29.91    33.66    33.56    33.62 |   1.003   1.001
  real  1024   131072  256 |    90.12    59.81    59.84    59.87 |   0.999   0.999
  real  1024   131072  512 |   176.88   105.55   105.47   105.35 |   1.001   1.002
  real  1024   262144    1 |    38.50    14.83    13.84    14.52 |   1.071   1.021
  real  1024   262144   16 |    40.30    18.69    17.33    18.72 |   1.078   0.998
  real  1024   262144   64 |    50.26    93.54    92.14    93.51 |   1.015   1.000
  real  1024   262144  256 |   156.67   103.94   103.90   104.00 |   1.000   0.999
  real  1024   262144  512 |   306.89   191.34   191.56   191.16 |   0.999   1.001
  real  1024   524288    1 |    66.15    20.99    18.51    20.64 |   1.134   1.017
  real  1024   524288   16 |    68.28    27.43    22.84    27.39 |   1.201   1.001
  real  1024   524288   64 |   112.57   145.03   130.76   144.73 |   1.109   1.002
  real  1024   524288  256 |   287.44   463.29   369.93   464.18 |   1.252   0.998
  real  1024   524288  512 |   604.92   877.25   682.60   879.01 |   1.285   0.998
  real  1024  1048576    1 |   120.81    31.29    26.31    31.45 |   1.189   0.995
  real  1024  1048576   16 |   134.87    42.99    34.48    43.00 |   1.247   1.000
  real  1024  1048576   64 |   206.83   272.45   193.07   272.29 |   1.411   1.001
  real  1024  1048576  256 |   535.60   849.34   561.85   846.05 |   1.512   1.004
  real  1024  1048576  512 |  1163.03  1644.78  1065.13  1642.76 |   1.544   1.001
  real  2048   131072    1 |    34.65    13.37    15.21    13.34 |   0.879   1.003
  real  2048   131072   16 |    35.72    17.56    19.29    17.55 |   0.910   1.001
  real  2048   131072   64 |    38.67    37.28    37.21    37.24 |   1.002   1.001
  real  2048   131072  256 |   139.37    62.73    62.81    62.88 |   0.999   0.998
  real  2048   131072  512 |   264.92   113.48   113.72   113.57 |   0.998   0.999
  real  2048   262144    1 |    52.54    16.52    17.74    16.49 |   0.931   1.001
  real  2048   262144   16 |    54.13    21.44    23.36    21.51 |   0.918   0.997
  real  2048   262144   64 |    61.59   104.68   104.31   105.19 |   1.004   0.995
  real  2048   262144  256 |   252.08   106.89   106.48   106.59 |   1.004   1.003
  real  2048   262144  512 |   488.83   197.87   197.62   197.92 |   1.001   1.000
  real  2048   524288    1 |    85.98    22.07    21.13    22.12 |   1.045   0.998
  real  2048   524288   16 |    88.06    29.21    26.43    29.10 |   1.105   1.004
  real  2048   524288   64 |   140.81   154.38   137.59   154.59 |   1.122   0.999
  real  2048   524288  256 |   463.34   500.55   403.93   501.98 |   1.239   0.997
  real  2048   524288  512 |  1009.68   950.34   762.02   952.05 |   1.247   0.998
