==PROF== Connected to process 5064 (/usr/bin/python3.12)
ninja: no work to do.
CELL DONE sglang_v2 K=2048 N=262144 BS=1024
==PROF== Disconnected from process 5064
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","2146088192"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","11225344"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","78.28"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","491680"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum","","34522214"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__grid_size","","1024"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__occupancy_limit_blocks","block","32"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__occupancy_limit_registers","block","2"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__occupancy_limit_shared_mem","block","2"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__occupancy_limit_warps","block","2"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__registers_per_thread","register/thread","32"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","27392"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","lts__t_bytes.sum","byte","3244560288"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__inst_executed.sum","inst","237186118"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__maximum_warps_per_active_cycle_pct","%","100"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","74.09"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","94.17"
"0","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","smsp__issue_active.avg.pct_of_peak_sustained_elapsed","%","74.09"
"1","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","2146286336"
"1","5064","python3.12","127.0.0.1","void <unnamed>::topk_main_kernel<1, 2>(<unnamed>::TopKLaunchParams)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","10513408"
