  scen     K       N    BS |    rival      hbe      nob      off |  hbe/rv  nob/rv  off/rv
  real   512   32768     4 |    11.62    19.27    12.74    11.60 |   0.603   0.912   1.002
  real   512   32768    64 |    12.40    18.79    13.22    12.45 |   0.660   0.939   0.996
  real   512   65536    64 |    18.18    24.67    17.50    18.15 |   0.737   1.038   1.001
  real   512   32768  1024 |    58.50    91.77    58.64    58.57 |   0.637   0.998   0.999
  real   512   65536  1024 |    90.78   127.47    82.91    90.99 |   0.712   1.095   0.998
  real   512  131072  1024 |   190.62   175.42   130.74   190.96 |   1.087   1.458   0.998
  real   512  262144  1024 |   364.57   244.93   210.22   364.94 |   1.488   1.734   0.999
  real   512   65536  2048 |   159.14   250.98   145.17   159.12 |   0.634   1.096   1.000
  real   512  262144  2048 |   653.98   499.25   377.80   677.18 |   1.310   1.731   0.966
  real  1024   32768     4 |    13.13    22.92    15.29    13.11 |   0.573   0.859   1.002
  real  1024   32768    64 |    13.94    21.46    14.48    13.38 |   0.649   0.962   1.041
  real  1024   65536    64 |    20.06    29.79    18.40    19.75 |   0.673   1.090   1.016
  real  1024   32768  1024 |    61.94   103.77    64.80    61.82 |   0.597   0.956   1.002
  real  1024   65536  1024 |    97.05   156.61    86.62    97.38 |   0.620   1.120   0.997
  real  1024  131072  1024 |   193.85   231.69   130.75   193.62 |   0.837   1.483   1.001
  real  1024  262144  1024 |   365.43   338.64   213.46   367.35 |   1.079   1.712   0.995
  real  1024   65536  2048 |   176.15   307.07   162.42   173.63 |   0.574   1.085   1.015
  real  1024  262144  2048 |   664.95   695.13   380.74   657.77 |   0.957   1.746   1.011
  real  2048   32768     4 |    14.26    25.57    16.77    14.07 |   0.558   0.850   1.014
  real  2048   32768    64 |    14.41    23.98    15.88    14.15 |   0.601   0.908   1.019
  real  2048   65536    64 |    21.66    33.55    20.30    21.49 |   0.646   1.067   1.008
  real  2048   32768  1024 |    65.84   112.03    71.62    65.78 |   0.588   0.919   1.001
  real  2048   65536  1024 |   105.47   176.53    98.32   105.43 |   0.597   1.073   1.000
  real  2048  131072  1024 |   195.04   287.93   146.16   195.22 |   0.677   1.334   0.999
  real  2048  262144  1024 |   377.96   432.44   230.87   379.07 |   0.874   1.637   0.997
  real  2048   65536  2048 |   196.85   347.02   188.08   193.53 |   0.567   1.047   1.017
  real  2048  262144  2048 |   689.19   865.00   422.29   691.61 |   0.797   1.632   0.997
  best   512   32768     4 |    10.87    18.41    12.04    10.84 |   0.590   0.903   1.003
  best   512   32768    64 |    12.42    18.67    13.17    12.39 |   0.665   0.943   1.003
  best   512   65536    64 |    18.14    24.64    17.44    18.15 |   0.736   1.040   0.999
  best   512   32768  1024 |    58.56    91.78    58.69    58.56 |   0.638   0.998   1.000
  best   512   65536  1024 |    91.05   127.54    83.36    91.16 |   0.714   1.092   0.999
  best   512  131072  1024 |   191.25   175.54   130.79   191.00 |   1.090   1.462   1.001
  best   512  262144  1024 |   364.57   245.20   210.13   365.11 |   1.487   1.735   0.999
  best   512   65536  2048 |   159.90   249.52   145.01   158.97 |   0.641   1.103   1.006
  best   512  262144  2048 |   654.92   498.96   377.22   670.75 |   1.313   1.736   0.976
  best  1024   32768     4 |    13.94    23.86    15.07    13.04 |   0.584   0.925   1.069
  best  1024   32768    64 |    14.19    22.48    15.03    13.78 |   0.631   0.944   1.030
  best  1024   65536    64 |    19.91    29.67    18.28    19.72 |   0.671   1.089   1.010
  best  1024   32768  1024 |    63.26   106.17    66.87    63.18 |   0.596   0.946   1.001
  best  1024   65536  1024 |    97.67   156.89    86.98    97.46 |   0.623   1.123   1.002
  best  1024  131072  1024 |   193.92   231.82   130.77   193.73 |   0.837   1.483   1.001
  best  1024  262144  1024 |   365.51   339.35   213.32   365.51 |   1.077   1.713   1.000
  best  1024   65536  2048 |   178.49   308.63   163.38   174.48 |   0.578   1.092   1.023
  best  1024  262144  2048 |   661.76   679.99   380.61   673.78 |   0.973   1.739   0.982
  best  2048   32768     4 |    14.13    25.77    16.52    13.02 |   0.548   0.855   1.086
  best  2048   32768    64 |    14.48    24.32    15.99    14.24 |   0.595   0.906   1.017
  best  2048   65536    64 |    23.04    35.22    21.71    23.14 |   0.654   1.062   0.996
  best  2048   32768  1024 |    66.56   112.81    72.39    66.55 |   0.590   0.920   1.000
  best  2048   65536  1024 |   113.42   184.94   106.37   113.39 |   0.613   1.066   1.000
  best  2048  131072  1024 |   190.57   282.31   140.53   190.59 |   0.675   1.356   1.000
  best  2048  262144  1024 |   379.37   430.47   234.19   378.86 |   0.881   1.620   1.001
  best  2048   65536  2048 |   214.25   363.02   204.87   211.91 |   0.590   1.046   1.011
  best  2048  262144  2048 |   693.01   861.80   426.71   695.89 |   0.804   1.624   0.996
 worst   512   32768     4 |    10.89    18.45    12.04    10.86 |   0.590   0.904   1.003
 worst   512   32768    64 |    12.49    18.78    13.17    12.40 |   0.665   0.948   1.007
 worst   512   65536    64 |    18.15    24.70    17.07    18.23 |   0.735   1.064   0.996
 worst   512   32768  1024 |    58.57    91.81    58.71    58.69 |   0.638   0.998   0.998
 worst   512   65536  1024 |    91.41   127.96    82.83    91.20 |   0.714   1.104   1.002
 worst   512  131072  1024 |   190.90   175.18   131.07   190.89 |   1.090   1.456   1.000
 worst   512  262144  1024 |   364.58   244.45   210.38   364.01 |   1.491   1.733   1.002
 worst   512   65536  2048 |   160.04   249.75   144.62   159.89 |   0.641   1.107   1.001
 worst   512  262144  2048 |   659.49   488.72   375.99   655.30 |   1.349   1.754   1.006
 worst  1024   32768     4 |    12.09    21.29    14.21    12.03 |   0.568   0.851   1.005
 worst  1024   32768    64 |    13.08    20.82    14.23    13.05 |   0.628   0.919   1.002
 worst  1024   65536    64 |    19.79    29.31    18.21    19.58 |   0.675   1.087   1.011
 worst  1024   32768  1024 |    61.60   103.46    64.58    61.52 |   0.595   0.954   1.001
 worst  1024   65536  1024 |    97.70   157.08    86.90    97.54 |   0.622   1.124   1.002
 worst  1024  131072  1024 |   194.33   232.59   131.56   194.73 |   0.835   1.477   0.998
 worst  1024  262144  1024 |   364.96   336.53   213.68   365.10 |   1.084   1.708   1.000
 worst  1024   65536  2048 |   175.16   307.38   163.60   175.23 |   0.570   1.071   1.000
 worst  1024  262144  2048 |   653.65   674.08   381.17   665.28 |   0.970   1.715   0.983
 worst  2048   32768     4 |    13.81    25.12    15.80    12.77 |   0.550   0.874   1.082
 worst  2048   32768    64 |    14.17    23.85    16.13    14.08 |   0.594   0.879   1.006
 worst  2048   65536    64 |    22.96    35.25    21.60    23.08 |   0.651   1.063   0.995
 worst  2048   32768  1024 |    66.81   113.11    72.53    66.45 |   0.591   0.921   1.005
 worst  2048   65536  1024 |   113.27   184.96   106.52   113.37 |   0.612   1.063   0.999
 worst  2048  131072  1024 |   190.97   281.94   140.36   190.32 |   0.677   1.361   1.003
 worst  2048  262144  1024 |   379.30   430.61   233.67   378.70 |   0.881   1.623   1.002
 worst  2048   65536  2048 |   212.78   361.85   204.95   211.80 |   0.588   1.038   1.005
 worst  2048  262144  2048 |   683.27   860.26   426.02   687.65 |   0.794   1.604   0.994

geomean t(rival)/t(hbe): {'real': 0.725, 'best': 0.727, 'worst': 0.726}
geomean t(rival)/t(hbe_nob): {'real': 1.168, 'best': 1.17, 'worst': 1.165}
