scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
best,512,bf16,4096,1,0.3008,22,7.44,6.028,7.32,6.241,5.283,4.429,13.755,13.005,35.211,31.117,9.405,8.45,9.626,8.471,7.005,5.942,,,,,1.016,1.408,0.541,0.211,0.791,0.773,1.062,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,2,0.3008,22,6.976,6.025,7.243,6.234,5.208,4.451,13.714,13.053,34.878,31.108,9.333,8.426,9.406,8.414,6.904,5.938,,,,,0.963,1.339,0.509,0.2,0.747,0.742,1.01,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,4,0.3008,22,7.229,6.04,7.366,6.241,5.197,4.46,13.76,13.055,34.483,31.056,9.382,8.424,9.51,8.424,7.062,5.944,,,,,0.981,1.391,0.525,0.21,0.77,0.76,1.024,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,8,0.3008,22,7.138,6.048,7.432,6.236,5.274,4.472,13.803,13.066,33.96,31.423,9.464,8.438,9.557,8.451,7.061,5.951,,,,,0.96,1.353,0.517,0.21,0.754,0.747,1.011,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,16,0.3008,22,7.544,6.387,7.722,6.595,5.645,4.851,14.096,13.435,34.662,32.196,9.706,8.76,9.853,8.792,7.47,6.307,,,,,0.977,1.336,0.535,0.218,0.777,0.766,1.01,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,32,0.3008,22,7.682,6.52,7.84,6.678,5.682,4.901,14.259,13.517,34.546,32.456,9.99,8.915,9.95,8.908,7.602,6.442,,,,,0.98,1.352,0.539,0.222,0.769,0.772,1.011,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,64,0.3008,22,7.771,6.561,7.995,6.741,5.83,4.954,14.358,13.568,34.741,32.394,10.086,8.957,10.117,8.955,7.634,6.472,,,,,0.972,1.333,0.541,0.224,0.77,0.768,1.018,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,128,0.3008,22,8.115,6.687,8.283,6.899,6.184,5.166,14.589,13.72,40.784,39.835,10.362,9.11,10.326,9.107,8.037,6.586,,,,,0.98,1.312,0.556,0.199,0.783,0.786,1.01,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,256,0.3008,22,9.558,8.292,9.454,8.308,10.438,8.964,21.813,21.169,75.294,73.514,11.179,9.774,11.155,9.773,9.25,7.969,,,,,1.011,0.916,0.438,0.127,0.855,0.857,1.033,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,512,0.3008,22,15.923,13.83,16.216,13.833,18.979,16.593,38.606,38.168,133.405,132.12,20.496,17.358,20.406,17.364,16.138,13.469,,,,,0.982,0.839,0.412,0.119,0.777,0.78,0.987,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,1024,0.3008,22,24.76,21.777,24.325,21.773,32.081,28.137,64.147,63.738,244.859,243.018,30.624,27.206,30.586,27.112,24.098,21.04,,,,,1.018,0.772,0.386,0.101,0.809,0.81,1.027,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,4096,2048,0.3008,22,43.293,39.811,43.173,39.81,62.738,54.698,123.107,122.605,482.362,480.002,52.104,47.935,52.059,47.936,41.806,38.188,,,,,1.003,0.69,0.352,0.09,0.831,0.832,1.036,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,1,0.3008,10,8.138,6.762,8.408,7.038,6.49,5.857,15.542,14.47,35.272,31.441,10.842,9.59,10.862,9.591,7.933,6.685,,,,,0.968,1.254,0.524,0.231,0.751,0.749,1.026,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,2,0.3008,10,7.923,6.808,8.464,7.028,6.744,5.891,15.587,14.514,34.819,31.321,10.89,9.585,11.078,9.613,8.187,6.703,,,,,0.936,1.175,0.508,0.228,0.728,0.715,0.968,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,4,0.3008,10,8.32,6.808,8.49,7.027,6.57,5.898,15.624,14.577,34.221,31.693,10.981,9.597,10.899,9.604,8.21,6.716,,,,,0.98,1.266,0.533,0.243,0.758,0.763,1.013,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,8,0.3008,10,8.038,6.81,8.622,7.028,6.608,5.914,15.76,14.578,34.245,32.088,11.147,9.597,10.896,9.622,8.227,6.721,,,,,0.932,1.216,0.51,0.235,0.721,0.738,0.977,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,16,0.3008,10,8.493,7.162,8.851,7.382,7.011,6.283,15.875,14.936,34.766,32.494,11.237,9.949,11.235,9.964,8.4,7.081,,,,,0.959,1.211,0.535,0.244,0.756,0.756,1.011,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,32,0.3008,10,8.619,7.292,8.893,7.451,7.141,6.348,15.973,15.043,34.811,32.776,11.384,10.071,11.394,10.107,8.51,7.202,,,,,0.969,1.207,0.54,0.248,0.757,0.756,1.013,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,64,0.3008,10,8.771,7.338,8.981,7.546,7.219,6.385,15.987,15.079,34.629,32.253,11.461,10.129,11.477,10.132,8.734,7.247,,,,,0.977,1.215,0.549,0.253,0.765,0.764,1.004,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,128,0.3008,10,9.163,7.46,9.224,7.704,7.496,6.493,16.23,15.248,40.986,40.09,11.693,10.301,11.798,10.319,8.981,7.363,,,,,0.993,1.222,0.565,0.224,0.784,0.777,1.02,,,1,ms_1cta,ms_1cta,plain,
