scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
best,512,bf16,524288,2,0.3008,2,48.251,45.532,21.771,19.739,14.574,13.397,175.077,146.841,51.24,46.504,15.901,13.603,15.986,13.656,24.128,22.296,,,,,2.216,3.311,0.276,0.942,3.035,3.018,2.0,,,4,msc_C8,msc_C8,mc,
best,512,bf16,524288,4,0.3008,2,48.043,45.685,22.347,20.129,16.973,15.926,175.611,147.029,51.303,46.718,16.36,14.038,16.227,13.953,24.426,22.668,,,,,2.15,2.831,0.274,0.936,2.937,2.961,1.967,,,4,msc_C8,msc_C8,mc,
best,512,bf16,524288,8,0.3008,2,48.259,45.759,22.877,20.305,22.379,20.696,176.346,148.199,51.595,47.114,16.854,14.166,16.888,14.147,24.866,22.888,,,,,2.11,2.156,0.274,0.935,2.863,2.858,1.941,,,4,msc_C8,msc_C8,mc,
best,512,bf16,524288,16,0.3008,2,49.016,46.102,23.357,20.412,31.387,29.228,177.221,148.912,54.261,49.453,29.27,24.448,29.448,24.769,25.322,22.922,,,,,2.099,1.562,0.277,0.903,1.675,1.664,1.936,,,4,msc_C8,msc_C8,mc,
best,512,bf16,524288,32,0.3008,2,49.926,46.319,34.459,29.779,59.272,56.168,183.749,155.642,67.413,63.966,21.963,17.009,21.915,16.971,37.062,33.754,,,,,1.449,0.842,0.272,0.741,2.273,2.278,1.347,,,2,msc_C4,msc_C4,mc,
best,512,bf16,524288,64,0.3008,2,53.986,46.608,41.485,30.307,115.427,110.027,186.984,156.04,105.421,99.326,44.371,32.465,44.669,32.459,42.648,34.339,,,,,1.301,0.468,0.289,0.512,1.217,1.209,1.266,,,2,ms_1cta,ms_1cta,mc,
best,512,bf16,1048576,2,0.3008,12,87.76,84.339,33.01,30.023,17.005,15.814,338.338,281.54,69.654,61.448,19.504,16.022,19.595,16.049,36.474,34.453,,,,,2.659,5.161,0.259,1.26,4.5,4.479,2.406,,,4,msc_C8,msc_C8,mc,
best,512,bf16,1048576,4,0.3008,12,88.011,84.499,33.57,30.356,22.128,20.653,339.567,282.135,70.408,62.19,20.315,16.476,20.357,16.497,36.922,34.794,,,,,2.622,3.977,0.259,1.25,4.332,4.323,2.384,,,4,msc_C8,msc_C8,mc,
best,512,bf16,1048576,8,0.3008,12,88.075,84.574,34.122,30.565,32.098,30.019,340.97,285.031,70.501,62.554,20.771,16.714,20.637,16.712,37.306,35.066,,,,,2.581,2.744,0.258,1.249,4.24,4.268,2.361,,,4,msc_C8,msc_C8,mc,
best,512,bf16,1048576,16,0.3008,12,88.909,84.912,34.995,30.742,61.014,57.749,342.34,286.419,75.213,66.086,37.144,29.734,37.416,30.003,38.006,35.196,,,,,2.541,1.457,0.26,1.182,2.394,2.376,2.339,,,4,msc_C8,msc_C8,mc,
