scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
best,512,bf16,4096,1,0.3008,22,7.402,5.99,7.25,6.182,5.266,4.428,13.707,13.014,34.842,30.993,9.306,8.391,9.538,8.382,6.974,5.922,,,,,1.021,1.406,0.54,0.212,0.795,0.776,1.061,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,8192,1,0.3008,10,8.168,6.74,8.282,6.963,6.504,5.836,15.341,14.461,35.09,31.277,10.728,9.557,10.936,9.574,8.221,6.694,,,,,0.986,1.256,0.532,0.233,0.761,0.747,0.994,,,1,ms_1cta,ms_1cta,plain,
best,512,bf16,16384,1,0.3008,22,9.434,7.751,8.824,7.41,9.285,8.792,18.243,16.794,35.139,31.735,13.346,11.502,13.184,11.485,10.066,8.323,,,,,1.069,1.016,0.517,0.268,0.707,0.716,0.937,,,1,ms_1cta,ms_1cta,1cta,
best,512,bf16,32768,1,0.3008,12,10.826,8.89,11.011,8.984,12.064,11.083,23.222,20.798,36.686,33.173,19.776,15.638,19.464,15.627,11.784,9.78,,,,,0.983,0.897,0.466,0.295,0.547,0.556,0.919,,,1,ms_1cta,ms_1cta,1cta,
best,512,bf16,65536,1,0.3008,32,12.981,11.589,12.488,10.625,12.13,11.037,32.581,28.813,37.818,34.382,13.253,11.586,13.254,11.78,13.155,11.482,,,,,1.039,1.07,0.398,0.343,0.979,0.979,0.987,,,4,msc_C8,msc_C8,mc,
best,512,bf16,131072,1,0.3008,14,18.427,16.704,13.189,11.632,13.634,12.796,53.171,45.202,40.49,36.596,13.438,11.737,13.378,11.924,14.219,12.649,,,,,1.397,1.352,0.347,0.455,1.371,1.377,1.296,,,4,msc_C8,msc_C8,mc,
best,512,bf16,262144,1,0.3008,22,28.462,26.443,16.309,14.476,13.91,13.122,93.84,78.62,44.04,39.605,15.088,13.12,15.011,13.322,17.55,15.949,,,,,1.745,2.046,0.303,0.646,1.886,1.896,1.622,,,4,msc_C8,msc_C8,mc,
best,512,bf16,524288,1,0.3008,2,48.248,45.728,21.856,19.672,14.17,13.228,175.723,145.992,51.184,45.478,16.734,13.423,16.526,13.451,24.069,22.164,,,,,2.208,3.405,0.275,0.943,2.883,2.919,2.005,,,4,msc_C8,msc_C8,mc,
best,512,bf16,1048576,1,0.3008,12,87.926,84.552,33.088,29.884,14.915,13.735,339.43,279.958,68.677,60.385,19.28,15.917,19.085,15.914,36.371,34.326,,,,,2.657,5.895,0.259,1.28,4.56,4.607,2.417,,,4,msc_C8,msc_C8,mc,
best,512,fp16,4096,1,0.3008,22,7.982,6.568,7.827,6.835,5.253,4.385,13.72,13.033,36.349,31.062,9.267,8.337,9.472,8.326,7.61,6.569,,,,,1.02,1.52,0.582,0.22,0.861,0.843,1.049,,,1,ms_1cta,ms_1cta,plain,
