cfg,K,dtype,N,scen,mean_ns
base,512,fp32,4096,real,10634.2
base,512,fp32,4096,worst,10179.2
base,512,fp32,4096,best,11822.6
base,512,fp32,8192,worst,
base,512,fp32,8192,real,
base,512,fp32,8192,best,
base,512,fp32,16384,real,
base,512,fp32,16384,best,
base,512,fp32,65536,best,14577.8
base,512,fp32,32768,best,14677.5
base,512,fp32,65536,worst,13093.1
base,512,fp32,32768,real,13919.2
base,512,fp32,16384,worst,15138.4
base,512,fp32,131072,best,15013.5
base,512,fp32,65536,real,12812.2
base,512,fp32,32768,worst,18636.6
base,512,fp32,131072,worst,13746.3
base,512,fp32,131072,real,13912.1
base,512,fp32,262144,real,15508.9
base,512,fp32,262144,best,15483.3
base,512,fp32,524288,best,18872.0
base,512,fp32,524288,real,18845.9
base,512,fp32,262144,worst,16518.2
base,512,fp32,524288,worst,18661.6
base,512,fp32,1048576,best,25990.1
base,1024,fp32,4096,real,11208.2
base,1024,fp32,4096,best,11013.0
base,512,fp32,1048576,worst,25325.8
base,512,fp32,1048576,real,25315.5
base,1024,fp32,4096,worst,10669.3
base,1024,fp32,8192,real,12708.3
base,1024,fp32,8192,best,12135.0
base,1024,fp32,8192,worst,12314.7
base,1024,fp32,16384,real,12684.7
base,1024,fp32,32768,best,14722.4
base,1024,fp32,16384,best,13849.4
base,1024,fp32,16384,worst,13164.0
base,1024,fp32,32768,real,14267.3
base,1024,fp32,65536,best,14797.9
base,1024,fp32,32768,worst,15333.6
base,1024,fp32,65536,worst,14348.0
base,1024,fp32,131072,best,15578.7
base,1024,fp32,131072,real,15398.9
base,1024,fp32,65536,real,14324.3
base,1024,fp32,131072,worst,15526.3
base,1024,fp32,262144,worst,16750.5
base,1024,fp32,262144,real,16648.8
base,1024,fp32,262144,best,16679.4
base,1024,fp32,524288,best,20823.4
base,1024,fp32,524288,worst,20052.2
base,1024,fp32,524288,real,20459.3
base,1024,fp32,1048576,best,26066.3
base,1024,fp32,1048576,real,27772.5
base,1024,fp32,1048576,worst,26018.8
base,2048,fp32,8192,real,12885.6
base,2048,fp32,8192,best,12616.9
base,2048,fp32,8192,worst,12785.7
base,2048,fp32,16384,best,14959.2
base,2048,fp32,16384,real,14905.4
base,2048,fp32,32768,best,19007.1
base,2048,fp32,32768,real,19824.9
base,2048,fp32,16384,worst,15144.2
base,2048,fp32,32768,worst,19349.0
base,2048,fp32,65536,best,16044.7
base,2048,fp32,65536,worst,16227.6
base,2048,fp32,131072,real,17603.0
base,2048,fp32,131072,best,17099.3
base,2048,fp32,65536,real,16514.4
base,2048,fp32,131072,worst,
base,2048,fp32,262144,best,18025.3
base,2048,fp32,262144,real,18077.3
base,2048,fp32,262144,worst,17849.4
base,2048,fp32,524288,best,22310.8
base,2048,fp32,524288,real,32301.7
base,2048,fp32,524288,worst,30970.5
base,2048,fp32,1048576,best,27911.3
base,2048,fp32,1048576,real,
m3,512,fp32,4096,real,
base,2048,fp32,1048576,worst,
m3,512,fp32,4096,best,10115.8
m3,512,fp32,4096,worst,11272.2
m3,512,fp32,16384,best,
m3,512,fp32,8192,best,10941.4
m3,512,fp32,16384,real,11746.4
m3,512,fp32,8192,worst,
m3,512,fp32,8192,real,
m3,512,fp32,16384,worst,
m3,512,fp32,32768,best,
m3,512,fp32,32768,real,13455.7
m3,512,fp32,131072,real,
m3,512,fp32,65536,best,
m3,512,fp32,65536,worst,
m3,512,fp32,65536,real,
m3,512,fp32,32768,worst,
m3,512,fp32,131072,best,
m3,512,fp32,131072,worst,
m3,512,fp32,262144,real,14495.8
m3,512,fp32,262144,best,14788.3
m3,512,fp32,1048576,best,23004.6
m3,512,fp32,1048576,real,23290.6
m3,512,fp32,524288,best,17823.2
m3,512,fp32,524288,worst,27507.4
m3,512,fp32,524288,real,
m3,512,fp32,262144,worst,
m3,1024,fp32,4096,best,9811.6
m3,512,fp32,1048576,worst,37559.2
m3,1024,fp32,4096,worst,11436.1
m3,1024,fp32,8192,worst,16065.8
m3,1024,fp32,4096,real,10044.0
m3,1024,fp32,8192,real,10678.3
m3,1024,fp32,8192,best,10946.4
m3,1024,fp32,16384,best,12146.5
m3,1024,fp32,16384,worst,14517.6
m3,1024,fp32,16384,real,12008.1
m3,1024,fp32,32768,best,12934.3
m3,1024,fp32,65536,worst,21342.5
m3,1024,fp32,65536,best,13801.4
m3,1024,fp32,32768,real,62990.1
m3,1024,fp32,32768,worst,69863.6
m3,1024,fp32,65536,real,63216.9
m3,1024,fp32,131072,best,15038.5
m3,1024,fp32,131072,real,14864.4
m3,1024,fp32,131072,worst,21745.7
m3,1024,fp32,262144,real,16333.9
m3,1024,fp32,524288,real,19292.6
m3,1024,fp32,262144,best,15923.0
m3,1024,fp32,524288,best,19053.3
m3,1024,fp32,262144,worst,23141.4
m3,1024,fp32,1048576,best,24114.9
m3,1024,fp32,524288,worst,29472.3
m3,2048,fp32,8192,best,12349.3
m3,1024,fp32,1048576,real,24354.9
m3,1024,fp32,1048576,worst,39832.5
m3,2048,fp32,8192,real,12554.0
m3,2048,fp32,16384,best,15597.9
m3,2048,fp32,8192,worst,12472.2
m3,2048,fp32,16384,real,15668.9
m3,2048,fp32,16384,worst,14886.9
m3,2048,fp32,65536,best,15878.8
m3,2048,fp32,32768,worst,19094.2
m3,2048,fp32,32768,best,18816.4
m3,2048,fp32,32768,real,20116.9
m3,2048,fp32,65536,real,16192.5
m3,2048,fp32,65536,worst,16272.4
m3,2048,fp32,131072,best,17523.0
m3,2048,fp32,131072,worst,17123.6
m3,2048,fp32,131072,real,17715.6
m3,2048,fp32,262144,real,18614.2
m3,2048,fp32,524288,real,32385.5
m3,2048,fp32,262144,best,17935.1
m3,2048,fp32,262144,worst,17835.9
m3,2048,fp32,524288,best,21843.7
m3,2048,fp32,1048576,best,28137.2
m3,2048,fp32,524288,worst,31633.5
m3,2048,fp32,1048576,real,28875.1
m3,2048,fp32,1048576,worst,28226.9
