cfg,K,N,mean_ns
d1_p4fast0,512,8192,13410.0
d4_p4rs0,512,8192,12172.6
d2_qm2,512,8192,10382.2
d2_qstock,512,8192,11355.6
d4_slot1,512,8192,11784.0
base,512,8192,11541.7
d4_p4rs0,512,32768,14366.2
d1_p4fast0,512,32768,15626.0
d2_qm2,512,32768,12248.3
d2_qstock,512,32768,13748.6
base,512,32768,13994.0
d4_slot1,512,32768,14241.5
d4_p4rs0,512,65536,14389.1
d2_qm2,512,65536,12213.7
d1_p4fast0,512,65536,15294.8
d2_qstock,512,65536,19977.4
d4_slot1,512,65536,12732.2
base,512,65536,12831.9
d4_p4rs0,1024,8192,13195.0
d1_p4fast0,1024,8192,14478.8
d2_qm2,1024,8192,10649.5
d2_qstock,1024,8192,11402.5
d4_slot1,1024,8192,12183.9
base,1024,8192,11906.0
d4_p4rs0,1024,32768,14605.2
d1_p4fast0,1024,32768,15864.8
d2_qm2,1024,32768,12899.0
d2_qstock,1024,32768,23215.7
d4_slot1,1024,32768,14562.5
base,1024,32768,14241.4
d4_p4rs0,1024,65536,16141.6
d1_p4fast0,1024,65536,17006.2
d2_qm2,1024,65536,13789.6
d2_qstock,1024,65536,14334.8
base,1024,65536,14146.0
d4_slot1,1024,65536,13936.4
d4_p4rs0,2048,8192,14586.0
d1_p4fast0,2048,8192,16349.2
d2_qm2,2048,8192,12545.5
base,2048,8192,12499.0
d4_slot1,2048,8192,12751.4
d2_qstock,2048,8192,12328.4
d4_p4rs0,2048,32768,21640.9
base,2048,32768,19806.8
d2_qm2,2048,32768,20188.5
d1_p4fast0,2048,32768,23359.2
d4_slot1,2048,32768,20090.0
d2_qstock,2048,32768,19638.2
d4_p4rs0,2048,65536,18200.9
base,2048,65536,16343.8
d2_qm2,2048,65536,18316.6
d1_p4fast0,2048,65536,21249.9
d4_slot1,2048,65536,16170.5
d2_qstock,2048,65536,16194.0
