K,N,scen,base_ns,m3_ns,ratio
1024,4096,best,10651.0,9741.2,1.0934
512,4096,best,11624.3,10060.1,1.1555
1024,4096,real,10783.3,10030.3,1.0751
512,4096,real,10694.3,9458.5,1.1307
1024,4096,worst,10571.6,10997.7,0.9613
512,4096,worst,10176.9,10898.5,0.9338
1024,8192,best,11957.6,10520.4,1.1366
512,8192,best,12166.3,10796.1,1.1269
512,8192,real,11508.1,10395.6,1.1070
1024,8192,real,11788.6,10488.5,1.1240
512,8192,worst,11339.6,12864.3,0.8815
1024,8192,worst,11562.6,15613.1,0.7406
512,16384,best,14732.0,12126.8,1.2148
1024,16384,best,13788.1,11680.4,1.1804
512,16384,real,13871.8,11707.5,1.1849
1024,16384,real,12520.9,11085.8,1.1295
512,16384,worst,14459.0,12981.2,1.1138
1024,16384,worst,12746.0,14423.4,0.8837
1024,32768,best,14239.2,12897.5,1.1040
512,32768,best,14579.6,12720.4,1.1462
1024,32768,real,14100.0,12771.0,1.1041
512,32768,real,13967.8,12219.0,1.1431
1024,32768,worst,14949.0,18944.3,0.7891
512,32768,worst,18177.3,15620.6,1.1637
1024,65536,best,14589.1,13891.0,1.0503
512,65536,best,13799.8,12724.6,1.0845
1024,65536,real,13982.3,13786.0,1.0142
512,65536,real,12859.6,12256.4,1.0492
1024,65536,worst,14110.2,20425.8,0.6908
512,65536,worst,13166.2,17697.9,0.7439
1024,131072,best,15534.1,14924.1,1.0409
512,131072,best,14325.1,13597.7,1.0535
1024,131072,real,15438.7,14735.3,1.0477
512,131072,real,13728.9,13227.0,1.0379
512,131072,worst,13764.1,18939.5,0.7267
1024,131072,worst,15120.3,21741.1,0.6955
512,262144,best,15651.0,14506.0,1.0789
1024,262144,best,16639.4,15935.2,1.0442
512,262144,real,15639.3,14488.3,1.0794
1024,262144,real,16654.7,15850.3,1.0507
512,262144,worst,15470.7,21306.9,0.7261
1024,262144,worst,16695.3,23077.0,0.7235
512,524288,best,19025.9,17963.0,1.0592
1024,524288,best,20213.1,19095.8,1.0585
512,524288,real,19047.3,17893.7,1.0645
1024,524288,real,20145.9,19009.4,1.0598
512,524288,worst,18860.0,27792.2,0.6786
1024,524288,worst,20044.1,29025.8,0.6906
512,1048576,best,25714.3,23143.7,1.1111
1024,1048576,best,26115.4,24005.6,1.0879
512,1048576,real,25364.0,23215.7,1.0925
1024,1048576,real,26934.7,24383.7,1.1046
512,1048576,worst,25459.4,37392.1,0.6809
1024,1048576,worst,26040.3,39853.9,0.6534
