model,isl,layer,dtype,N,K,s,z,mode,admit,band,miss
flash,4k,2,fp32,1027,512,1024,3.0,strat,1.106201171875,0.195556640625,0
flash,4k,2,fp32,1027,512,1024,3.0,iid,1.094482421875,0.18994140625,0
flash,4k,2,bf16,1027,512,1024,3.0,strat,1.114990234375,0.19775390625,0
flash,4k,2,bf16,1027,512,1024,3.0,iid,1.109375,0.19384765625,0
flash,4k,4,fp32,1027,512,1024,3.0,strat,1.093017578125,0.186279296875,0
flash,4k,4,fp32,1027,512,1024,3.0,iid,1.0947265625,0.189697265625,0
flash,4k,4,bf16,1027,512,1024,3.0,strat,1.09716796875,0.186767578125,0
flash,4k,4,bf16,1027,512,1024,3.0,iid,1.09716796875,0.189208984375,0
flash,4k,6,fp32,1027,512,1024,3.0,strat,1.094482421875,0.193115234375,0
flash,4k,6,fp32,1027,512,1024,3.0,iid,1.09521484375,0.18994140625,0
flash,4k,6,bf16,1027,512,1024,3.0,strat,1.104736328125,0.1982421875,0
flash,4k,6,bf16,1027,512,1024,3.0,iid,1.107421875,0.197265625,0
pro,4k,2,fp32,1027,1024,1024,3.0,strat,1.0028076171875,0.0089111328125,0
pro,4k,2,fp32,1027,1024,1024,3.0,iid,1.0029296875,0.0087890625,0
pro,4k,2,bf16,1027,1024,1024,3.0,strat,1.0028076171875,0.0081787109375,0
pro,4k,2,bf16,1027,1024,1024,3.0,iid,1.0029296875,0.0087890625,0
pro,4k,4,fp32,1027,1024,1024,3.0,strat,1.0029296875,0.009033203125,0
pro,4k,4,fp32,1027,1024,1024,3.0,iid,1.0029296875,0.0087890625,0
pro,4k,4,bf16,1027,1024,1024,3.0,strat,1.0029296875,0.007568359375,0
pro,4k,4,bf16,1027,1024,1024,3.0,iid,1.0029296875,0.005859375,0
pro,4k,6,fp32,1027,1024,1024,3.0,strat,1.0025634765625,0.009765625,0
pro,4k,6,fp32,1027,1024,1024,3.0,iid,1.0029296875,0.0089111328125,0
pro,4k,6,bf16,1027,1024,1024,3.0,strat,1.0025634765625,0.0081787109375,0
pro,4k,6,bf16,1027,1024,1024,3.0,iid,1.0029296875,0.0068359375,0
flash,8k,2,fp32,2051,512,1024,3.0,strat,1.16748046875,0.328125,0
flash,8k,2,fp32,2051,512,1024,3.0,iid,1.15087890625,0.31396484375,0
flash,8k,2,fp32,2051,512,2048,3.0,strat,1.115478515625,0.229736328125,0
flash,8k,2,fp32,2051,512,2048,3.0,iid,1.116943359375,0.232421875,0
flash,8k,2,bf16,2051,512,1024,3.0,strat,1.181396484375,0.335693359375,0
flash,8k,2,bf16,2051,512,1024,3.0,iid,1.16162109375,0.3173828125,0
flash,8k,2,bf16,2051,512,2048,3.0,strat,1.129150390625,0.233154296875,0
flash,8k,2,bf16,2051,512,2048,3.0,iid,1.125,0.228515625,0
