kind,BS,N,cpr,us,bw
empty,,,1,8.38,
empty,,,8,8.42,
empty,,,148,8.32,
empty,,,1184,8.51,
empty,,,9472,10.21,
reduce,1,16384,1,8.67,0.01
reduce,1,16384,2,8.32,0.01
reduce,1,16384,8,8.51,0.01
reduce,1,16384,32,8.38,0.01
reduce,1,16384,148,8.48,0.01
reduce,1,16384,296,8.38,0.01
reduce,1,65536,1,12.03,0.02
reduce,1,65536,2,8.96,0.03
reduce,1,65536,8,8.32,0.03
reduce,1,65536,32,8.35,0.03
reduce,1,65536,148,8.42,0.03
reduce,1,65536,296,8.45,0.03
reduce,1,131072,1,16.1,0.03
reduce,1,131072,2,11.94,0.04
reduce,1,131072,8,8.38,0.06
reduce,1,131072,32,8.51,0.06
reduce,1,131072,148,8.38,0.06
reduce,1,131072,296,8.58,0.06
reduce,1,262144,1,26.62,0.04
reduce,1,262144,2,16.54,0.06
reduce,1,262144,8,9.66,0.11
reduce,1,262144,32,8.54,0.12
reduce,1,262144,148,8.51,0.12
reduce,1,262144,296,8.48,0.12
reduce,1,1048576,1,80.67,0.05
reduce,1,1048576,2,44.64,0.09
reduce,1,1048576,8,16.86,0.25
reduce,1,1048576,32,10.21,0.41
reduce,1,1048576,148,8.64,0.49
reduce,1,1048576,296,8.35,0.5
reduce,4,131072,1,16.74,0.13
reduce,4,131072,2,12.54,0.17
reduce,4,131072,8,8.74,0.24
reduce,4,131072,32,8.51,0.25
reduce,4,131072,37,8.67,0.24
reduce,4,131072,74,8.58,0.24
reduce,32,65536,1,13.73,0.61
reduce,32,65536,2,10.69,0.78
reduce,32,65536,4,10.18,0.82
reduce,32,65536,8,8.96,0.94
reduce,32,65536,9,10.4,0.81
reduce,32,65536,32,11.07,0.76
reduce,32,262144,1,29.18,1.15
reduce,32,262144,2,20.58,1.63
reduce,32,262144,4,16.48,2.04
reduce,32,262144,8,14.88,2.26
reduce,32,262144,9,15.49,2.17
reduce,32,262144,32,15.33,2.19
reduce,256,65536,1,21.95,3.06
reduce,256,65536,2,21.5,3.12
reduce,256,65536,8,23.62,2.84
reduce,256,262144,1,59.94,4.48
reduce,256,262144,2,59.23,4.53
reduce,256,262144,8,59.2,4.53
reduce,1024,16384,1,22.43,2.99
reduce,1024,16384,2,23.55,2.85
reduce,1024,65536,1,58.21,4.61
reduce,1024,65536,2,60.29,4.45
reduce,1024,262144,1,172.38,6.23
reduce,1024,262144,2,170.75,6.29
filter,1,131072,1,46.98,0.01
filter,1,131072,8,12.93,0.04
filter,1,131072,148,8.9,0.06
filter,1,1048576,1,319.74,0.01
filter,1,1048576,8,48.83,0.09
filter,1,1048576,148,12.16,0.34
filter,32,262144,1,90.34,0.37
filter,32,262144,4,31.23,1.07
filter,32,262144,8,22.98,1.46
filter,256,262144,1,105.02,2.56
filter,256,262144,8,83.55,3.21
filter,1024,65536,1,79.49,3.38
