cell,ratio_med,ratio_min,ratio_max,base_us,var_us
real_flash_1024k,0.9891,0.9871,0.9971,23.28,23.47
real_flash_256k,1.0230,1.0224,1.0391,17.81,17.40
real_flash_512k,0.9979,0.9964,1.0065,26.79,26.82
real_pro_1024k,0.9861,0.9857,1.0038,24.35,24.64
real_pro_256k,0.9752,0.9677,0.9818,18.99,19.49
real_pro_512k,0.9928,0.9897,1.0000,31.11,31.21
real_v32_128k,1.1826,1.1816,1.1878,28.23,23.85
real_v32_16k,1.1053,1.0987,1.1126,17.40,15.68
real_v32_256k,1.2255,1.2172,1.2288,29.55,24.22
real_v32_32k,1.0863,1.0821,1.0981,20.13,18.56
real_v32_4k,1.0545,1.0514,1.0646,11.58,10.98
real_v32_64k,1.1920,1.1888,1.1929,28.37,23.79
real_v32_8k,1.0684,1.0634,1.0710,13.73,12.87
synth_best_K1024_N1048576,1.0100,1.0092,1.0151,33.03,32.54
synth_best_K1024_N131072,0.9804,0.9747,0.9853,20.83,21.37
synth_best_K1024_N262144,0.9753,0.9665,0.9864,22.39,22.96
synth_best_K1024_N524288,1.0418,1.0390,1.0439,27.20,26.09
synth_best_K1024_N65536,0.9778,0.9766,0.9810,18.84,19.27
synth_best_K2048_N1048576,1.0430,1.0416,1.0460,41.95,40.22
synth_best_K2048_N131072,1.1961,1.1941,1.1988,30.67,25.62
synth_best_K2048_N16384,1.1466,1.1431,1.1473,17.12,14.94
synth_best_K2048_N262144,1.1783,1.1743,1.1792,32.95,27.95
synth_best_K2048_N32768,1.0949,1.0928,1.0956,20.20,18.47
synth_best_K2048_N524288,1.0664,1.0597,1.0695,30.55,28.65
synth_best_K2048_N65536,1.2270,1.2195,1.2299,27.10,22.09
synth_best_K2048_N8192,1.1158,1.1127,1.1354,12.37,11.08
synth_best_K512_N1048576,1.0181,1.0168,1.0184,33.51,32.92
synth_best_K512_N131072,0.9988,0.9986,0.9988,20.77,20.79
synth_best_K512_N262144,0.9953,0.9950,0.9969,21.86,21.94
synth_best_K512_N524288,1.0158,1.0141,1.0167,26.80,26.39
synth_best_K512_N65536,1.0216,1.0189,1.0284,17.61,17.29
synth_worst_K1024_N1048576,1.0053,1.0044,1.0091,33.30,33.13
synth_worst_K1024_N131072,0.9865,0.9698,0.9911,21.46,21.82
synth_worst_K1024_N262144,1.0114,1.0113,1.0146,23.56,23.28
synth_worst_K1024_N524288,1.0339,1.0338,1.0433,27.79,26.82
synth_worst_K1024_N65536,0.9877,0.9827,0.9880,18.90,19.19
synth_worst_K2048_N1048576,1.0450,1.0405,1.0543,38.06,36.42
synth_worst_K2048_N131072,1.2331,1.2128,1.2337,27.39,22.21
synth_worst_K2048_N16384,1.1304,1.1299,1.1362,16.57,14.66
synth_worst_K2048_N262144,1.1905,1.1808,1.1906,30.08,25.30
synth_worst_K2048_N32768,1.1232,1.1210,1.1317,19.61,17.38
synth_worst_K2048_N524288,1.0821,1.0807,1.0823,32.07,29.65
synth_worst_K2048_N65536,1.2339,1.2266,1.2356,24.85,20.15
synth_worst_K2048_N8192,1.0811,1.0790,1.1013,11.90,11.01
synth_worst_K512_N1048576,1.0011,0.9976,1.0086,33.89,33.78
synth_worst_K512_N131072,1.0186,1.0186,1.0202,20.03,19.66
synth_worst_K512_N262144,0.9991,0.9990,1.0034,22.36,22.38
synth_worst_K512_N524288,1.0080,1.0047,1.0183,27.08,26.84
synth_worst_K512_N65536,1.0325,1.0316,1.0394,17.61,17.00
