cell,base_us,var_us,ratio_med,ratio_min,ratio_max,n_rounds
real_flash_1024k,23.18,22.93,1.0109,1.0055,1.0109,3
real_flash_128k,17.46,18.21,0.9624,0.9563,0.964,3
real_flash_16k,11.51,11.06,1.0385,1.0301,1.0507,3
real_flash_256k,17.13,17.37,0.9864,0.9823,0.9943,3
real_flash_32k,11.35,10.85,1.0426,1.0423,1.046,3
real_flash_4k,9.93,10.18,0.9739,0.9733,0.9867,3
real_flash_512k,26.75,27.2,0.9835,0.9812,0.9838,3
real_flash_64k,17.97,18.55,0.9698,0.9639,0.9753,3
real_flash_8k,9.42,10.83,0.8687,0.8638,0.8764,3
real_pro_1024k,24.51,24.8,0.9894,0.9805,0.9915,3
real_pro_128k,18.03,18.44,0.9778,0.9634,0.9869,3
real_pro_16k,11.35,11.1,1.0214,1.0091,1.0239,3
real_pro_256k,18.99,19.29,0.9841,0.9804,0.9899,3
real_pro_32k,14.14,12.71,1.1125,1.1075,1.1143,3
real_pro_4k,11.95,11.45,1.0419,1.0415,1.0577,3
real_pro_512k,31.28,31.96,0.9792,0.979,0.9839,3
real_pro_64k,17.93,17.98,0.9973,0.9872,1.0066,3
real_pro_8k,11.2,11.28,0.9901,0.9862,1.0054,3
real_v32_128k,27.9,24.42,1.1426,1.1333,1.143,3
real_v32_16k,17.56,15.69,1.1206,1.1193,1.1237,3
real_v32_256k,29.95,25.6,1.1701,1.1564,1.1782,3
real_v32_32k,20.81,17.45,1.1925,1.1895,1.1925,3
real_v32_4k,12.1,11.66,1.0379,1.0376,1.0395,3
real_v32_64k,27.88,23.57,1.1894,1.18,1.1901,3
real_v32_8k,13.75,12.94,1.0616,1.0596,1.0639,3
synth_best_K1024_N1048576,33.54,32.7,1.0242,1.0204,1.0366,3
synth_best_K1024_N131072,21.13,20.95,1.0063,1.004,1.0126,3
synth_best_K1024_N16384,17.13,17.23,0.9946,0.9849,1.0013,3
synth_best_K1024_N262144,22.61,23.04,0.9804,0.9767,0.9848,3
synth_best_K1024_N32768,19.51,18.73,1.042,1.0375,1.0445,3
synth_best_K1024_N4096,12.2,11.56,1.0557,1.0554,1.0574,3
synth_best_K1024_N524288,26.71,26.19,1.0209,1.0177,1.0243,3
synth_best_K1024_N65536,17.84,17.86,0.9968,0.9964,1.0115,3
synth_best_K1024_N8192,12.44,11.85,1.0435,1.0394,1.0605,3
synth_best_K2048_N1048576,41.96,39.9,1.0524,1.0489,1.0528,3
synth_best_K2048_N131072,30.85,25.82,1.1944,1.1922,1.1958,3
synth_best_K2048_N16384,17.72,14.26,1.2433,1.242,1.2475,3
synth_best_K2048_N262144,32.61,27.65,1.1797,1.1761,1.1803,3
synth_best_K2048_N32768,20.52,17.4,1.1752,1.1692,1.1889,3
synth_best_K2048_N524288,30.24,29.22,1.0348,1.0241,1.0395,3
synth_best_K2048_N65536,26.59,22.33,1.189,1.1812,1.1904,3
synth_best_K2048_N8192,11.85,10.96,1.0827,1.0772,1.0882,3
synth_best_K512_N1048576,32.88,32.54,1.0111,1.0095,1.0166,3
synth_best_K512_N131072,20.59,19.99,1.0298,1.0172,1.0336,3
synth_best_K512_N16384,15.46,16.0,0.9664,0.9449,0.9705,3
synth_best_K512_N262144,22.02,21.85,1.0127,1.0006,1.0132,3
synth_best_K512_N32768,19.29,18.04,1.0674,1.0667,1.0741,3
synth_best_K512_N4096,11.75,10.72,1.0958,1.0954,1.0977,3
synth_best_K512_N524288,26.21,25.34,1.0342,1.0235,1.0394,3
synth_best_K512_N65536,17.59,17.23,1.0193,1.0124,1.0279,3
synth_best_K512_N8192,12.17,11.34,1.0682,1.0674,1.0731,3
synth_worst_K1024_N1048576,32.72,32.71,0.9983,0.9981,1.0028,3
synth_worst_K1024_N131072,21.66,21.49,1.0056,1.0045,1.0143,3
synth_worst_K1024_N16384,16.75,16.88,0.9882,0.9849,0.9979,3
synth_worst_K1024_N262144,23.46,23.11,1.0148,1.014,1.03,3
synth_worst_K1024_N32768,19.39,18.6,1.0423,1.0413,1.0482,3
synth_worst_K1024_N4096,11.34,11.87,0.9558,0.9489,0.9663,3
synth_worst_K1024_N524288,27.71,26.24,1.056,1.0476,1.0608,3
synth_worst_K1024_N65536,18.75,18.15,1.033,1.0286,1.039,3
synth_worst_K1024_N8192,12.77,12.5,1.0195,1.0143,1.0252,3
synth_worst_K2048_N1048576,37.27,36.59,1.0202,1.0117,1.0202,3
synth_worst_K2048_N131072,28.07,23.23,1.2084,1.2058,1.2197,3
synth_worst_K2048_N16384,15.93,13.8,1.1536,1.1535,1.1614,3
