cell,base,p3arm,p4arm,floor,t_P3,t_P4blk,t_mid,fl_pct,P3_pct,P4_pct,mid_pct
real_flash_1024k,17.02,14.9,12.01,3.24,2.12,5.01,6.65,19,12,29,39
real_flash_128k,11.69,10.15,9.02,3.34,1.54,2.67,4.14,29,13,23,35
real_flash_16k,8.25,8.26,5.51,2.73,-0.01,2.74,2.79,33,0,33,34
real_flash_256k,13.12,12.26,7.9,2.91,0.85,5.22,4.14,22,7,40,32
real_flash_32k,9.38,9.07,6.13,3.21,0.31,3.25,2.61,34,3,35,28
real_flash_4k,7.98,7.94,4.94,3.18,0.04,3.04,1.72,40,0,38,21
real_flash_512k,20.78,19.48,14.79,3.53,1.3,5.99,9.96,17,6,29,48
real_flash_64k,11.91,11.3,8.96,3.25,0.61,2.95,5.1,27,5,25,43
real_flash_8k,8.27,8.06,5.12,3.02,0.21,3.15,1.89,37,3,38,23
real_pro_1024k,18.94,16.98,12.75,3.88,1.96,6.18,6.91,21,10,33,37
real_pro_128k,11.84,10.34,8.7,2.99,1.5,3.14,4.21,25,13,27,36
real_pro_16k,9.34,9.28,5.87,3.34,0.06,3.46,2.47,36,1,37,26
real_pro_256k,14.66,13.73,9.02,3.83,0.93,5.64,4.27,26,6,38,29
real_pro_32k,10.71,10.16,6.27,3.18,0.55,4.44,2.54,30,5,41,24
real_pro_4k,9.31,9.25,6.09,3.16,0.06,3.21,2.88,34,1,35,31
real_pro_512k,22.01,20.43,9.19,3.85,1.59,12.82,3.76,17,7,58,17
real_pro_64k,11.1,10.31,7.28,3.41,0.79,3.81,3.09,31,7,34,28
real_pro_8k,8.21,8.1,4.83,2.86,0.1,3.38,1.86,35,1,41,23
real_v32_128k,18.47,16.69,10.3,3.96,1.78,8.17,4.56,21,10,44,25
real_v32_16k,13.57,12.49,8.47,3.68,1.08,5.1,3.71,27,8,38,27
real_v32_256k,18.57,17.33,11.05,3.55,1.25,7.53,6.24,19,7,41,34
real_v32_32k,16.65,14.55,10.81,3.8,2.1,5.85,4.9,23,13,35,29
real_v32_4k,10.79,10.44,5.96,2.98,0.35,4.83,2.63,28,3,45,24
real_v32_64k,20.04,18.51,10.09,3.74,1.53,9.95,4.81,19,8,50,24
real_v32_8k,13.81,13.05,7.28,3.46,0.76,6.53,3.05,25,6,47,22
synth_best_K1024_N1048576,27.14,20.43,19.84,4.03,6.71,7.3,9.1,15,25,27,34
synth_best_K1024_N131072,14.45,13.79,8.29,3.26,0.65,6.16,4.37,23,5,43,30
synth_best_K1024_N16384,10.87,10.17,6.97,3.31,0.7,3.89,2.96,30,6,36,27
synth_best_K1024_N262144,16.74,15.14,10.9,3.59,1.6,5.84,5.7,21,10,35,34
synth_best_K1024_N32768,12.38,10.93,9.28,3.58,1.45,3.1,4.25,29,12,25,34
synth_best_K1024_N4096,9.7,9.54,6.32,3.67,0.16,3.38,2.49,38,2,35,26
synth_best_K1024_N524288,20.09,16.7,13.53,3.62,3.39,6.56,6.51,18,17,33,32
synth_best_K1024_N65536,14.26,13.61,8.52,3.65,0.65,5.74,4.23,26,5,40,30
synth_best_K1024_N8192,9.44,9.04,5.66,2.82,0.4,3.79,2.43,30,4,40,26
synth_best_K2048_N1048576,34.57,28.06,26.18,4.68,6.52,8.39,14.98,14,19,24,43
synth_best_K2048_N131072,20.36,19.48,9.14,3.66,0.89,11.22,4.6,18,4,55,23
synth_best_K2048_N16384,13.41,12.69,8.15,3.78,0.73,5.26,3.65,28,5,39,27
synth_best_K2048_N262144,22.52,20.61,14.44,4.06,1.92,8.08,8.46,18,9,36,38
synth_best_K2048_N32768,15.9,14.31,10.33,3.76,1.6,5.57,4.97,24,10,35,31
synth_best_K2048_N524288,22.81,19.65,15.15,4.57,3.16,7.67,7.42,20,14,34,33
synth_best_K2048_N65536,19.1,18.4,9.69,4.3,0.69,9.4,4.7,23,4,49,25
synth_best_K2048_N8192,11.41,11.11,6.4,3.38,0.31,5.01,2.71,30,3,44,24
synth_best_K512_N1048576,26.21,19.42,19.27,3.45,6.79,6.94,9.03,13,26,26,34
synth_best_K512_N131072,14.47,13.7,8.32,3.38,0.77,6.15,4.17,23,5,43,29
synth_best_K512_N16384,10.26,9.22,6.54,2.95,1.04,3.72,2.55,29,10,36,25
synth_best_K512_N262144,15.44,14.15,10.17,3.01,1.29,5.28,5.86,20,8,34,38
synth_best_K512_N32768,12.56,10.67,9.08,3.48,1.89,3.48,3.71,28,15,28,30
synth_best_K512_N4096,9.01,13.85,5.57,3.04,-4.84,3.44,7.36,34,-54,38,82
synth_best_K512_N524288,19.9,16.57,13.34,3.49,3.32,6.56,6.52,18,17,33,33
synth_best_K512_N65536,12.89,17.26,8.1,3.36,-4.37,4.79,9.12,26,-34,37,71
synth_best_K512_N8192,9.28,14.37,5.74,3.07,-5.08,3.54,7.75,33,-55,38,84
synth_worst_K1024_N1048576,27.16,20.45,19.81,3.86,6.72,7.35,9.23,14,25,27,34
synth_worst_K1024_N131072,14.53,13.92,8.47,3.42,0.62,6.07,4.43,24,4,42,31
synth_worst_K1024_N16384,11.13,10.51,7.46,3.72,0.62,3.66,3.12,33,6,33,28
synth_worst_K1024_N262144,17.01,15.37,10.95,3.62,1.64,6.06,5.69,21,10,36,33
synth_worst_K1024_N32768,11.8,10.28,8.84,3.09,1.51,2.96,4.23,26,13,25,36
synth_worst_K1024_N4096,9.3,9.28,5.82,3.48,0.02,3.48,2.32,37,0,37,25
synth_worst_K1024_N524288,20.33,16.84,13.17,3.29,3.49,7.16,6.39,16,17,35,31
synth_worst_K1024_N65536,14.74,14.04,8.82,3.86,0.7,5.92,4.27,26,5,40,29
synth_worst_K1024_N8192,10.02,9.67,6.38,3.46,0.34,3.64,2.58,35,3,36,26
synth_worst_K2048_N1048576,30.17,23.7,22.06,5.12,6.47,8.12,10.47,17,21,27,35
synth_worst_K2048_N131072,17.61,17.05,10.09,5.03,0.56,7.52,4.51,29,3,43,26
synth_worst_K2048_N16384,12.93,12.26,8.06,3.92,0.67,4.88,3.46,30,5,38,27
synth_worst_K2048_N262144,20.22,18.69,12.54,5.06,1.52,7.68,5.95,25,8,38,29
synth_worst_K2048_N32768,15.1,13.44,10.19,3.88,1.66,4.91,4.65,26,11,33,31
synth_worst_K2048_N524288,23.35,20.06,14.73,4.34,3.29,8.62,7.11,19,14,37,30
synth_worst_K2048_N65536,16.58,15.93,9.59,4.12,0.65,6.99,4.82,25,4,42,29
