cs,nt,vec_w,thr_admitted,cand,kC,skipB,skipC,skipA,family,scen,model,isl,K,N
1,512,4,True,1451,3072,0.03125,0.0,0.0,synth,best,,,512,4096
1,512,4,True,1554,3072,0.21875,0.0,0.046875,synth,best,,,512,8192
1,512,8,True,1633,3072,0.171875,0.0,0.015625,synth,best,,,512,16384
1,512,8,True,1476,3072,0.40625,0.0,0.0625,synth,best,,,512,32768
4,512,8,True,1499,5120,0.6953125,0.125,0.44140625,synth,best,,,512,65536
8,512,8,True,1216,5120,0.84765625,0.4375,0.576171875,synth,best,,,512,131072
8,512,8,True,1047,5120,0.8837890625,0.765625,0.5888671875,synth,best,,,512,262144
8,1024,8,True,765,5120,0.96337890625,0.828125,0.73779296875,synth,best,,,512,524288
8,1024,8,True,1103,5120,0.945556640625,0.71875,0.739013671875,synth,best,,,512,1048576
1,512,4,True,1390,5120,0.0,0.0,0.0,synth,best,,,1024,4096
1,512,4,True,1832,5120,0.15625,0.0,0.03125,synth,best,,,1024,8192
1,512,8,True,2008,5120,0.0625,0.0,0.0,synth,best,,,1024,16384
1,512,8,True,1351,5120,0.578125,0.0,0.109375,synth,best,,,1024,32768
4,512,8,True,2243,5120,0.41015625,0.0625,0.12109375,synth,best,,,1024,65536
8,512,8,True,1522,5120,0.732421875,0.375,0.478515625,synth,best,,,1024,131072
8,512,8,True,1332,5120,0.875,0.546875,0.5966796875,synth,best,,,1024,262144
8,1024,8,True,1572,5120,0.888671875,0.546875,0.65283203125,synth,best,,,1024,524288
8,1024,8,True,1332,5120,0.934814453125,0.640625,0.672119140625,synth,best,,,1024,1048576
1,512,4,True,2059,6144,0.0,0.0,0.0,synth,best,,,2048,8192
1,512,8,True,4431,6144,0.0,0.0,0.0,synth,best,,,2048,16384
1,512,8,True,2071,6144,0.2578125,0.0,0.0,synth,best,,,2048,32768
4,512,8,True,2831,6144,0.203125,0.0,0.10546875,synth,best,,,2048,65536
8,512,8,True,2608,6144,0.5390625,0.0625,0.318359375,synth,best,,,2048,131072
8,512,8,True,2649,6144,0.736328125,0.25,0.416015625,synth,best,,,2048,262144
8,1024,8,True,4276,6144,0.65625,0.046875,0.27734375,synth,best,,,2048,524288
8,1024,8,True,3497,6144,0.881591796875,0.34375,0.571044921875,synth,best,,,2048,1048576
1,512,4,True,1212,3072,0.09375,0.0,0.0,synth,worst,,,512,4096
1,512,4,True,1126,3072,0.265625,0.0,0.125,synth,worst,,,512,8192
1,512,8,True,1543,3072,0.171875,0.0,0.0,synth,worst,,,512,16384
1,512,8,True,1404,3072,0.484375,0.0,0.03125,synth,worst,,,512,32768
4,512,8,True,1109,5120,0.7265625,0.0625,0.42578125,synth,worst,,,512,65536
8,512,8,True,909,5120,0.85546875,0.65625,0.57421875,synth,worst,,,512,131072
8,512,8,True,1233,5120,0.8623046875,0.546875,0.5341796875,synth,worst,,,512,262144
8,1024,8,True,885,5120,0.96337890625,0.84375,0.7412109375,synth,worst,,,512,524288
8,1024,8,True,1212,5120,0.974609375,0.84375,0.80712890625,synth,worst,,,512,1048576
1,512,4,True,1572,5120,0.0,0.0,0.0,synth,worst,,,1024,4096
1,512,4,True,1751,5120,0.203125,0.0,0.0625,synth,worst,,,1024,8192
1,512,8,True,1585,5120,0.328125,0.0,0.015625,synth,worst,,,1024,16384
1,512,8,True,1438,5120,0.5625,0.0,0.0703125,synth,worst,,,1024,32768
4,512,8,True,2201,5120,0.42578125,0.0,0.19140625,synth,worst,,,1024,65536
8,512,8,True,1710,5120,0.67578125,0.34375,0.380859375,synth,worst,,,1024,131072
8,512,8,True,1473,5120,0.873046875,0.625,0.5869140625,synth,worst,,,1024,262144
8,1024,8,True,1747,5120,0.87109375,0.53125,0.6015625,synth,worst,,,1024,524288
8,1024,8,True,1381,5120,0.93603515625,0.640625,0.730712890625,synth,worst,,,1024,1048576
1,512,4,True,2959,6144,0.0,0.0,0.0,synth,worst,,,2048,8192
1,512,8,True,2651,6144,0.046875,0.0,0.015625,synth,worst,,,2048,16384
