model,isl,dtype,BS,N,hit,gvr_base,gvr_pr,op26_r0auto,radix_cutedsl,sglang_v2,flashinfer_topk
flash,1024k,bf16,1,262127,0.421875,15.43825,20.170900000000003,19.678099999999997,14.512,,14.590399999999999
flash,1024k,bf16,2,262127,0.421875,15.3055,20.078200000000002,19.54535,14.74395,,14.73915
flash,1024k,bf16,4,262127,0.421875,15.5118,20.4302,19.89575,15.947149999999999,,15.2096
flash,1024k,bf16,8,262127,0.421875,17.5566,22.5902,20.5981,18.398400000000002,,15.508799999999999
flash,1024k,bf16,16,262127,0.421875,17.891,22.966150000000003,20.87815,23.81755,,21.3455
flash,1024k,bf16,32,262127,0.421875,19.011,23.82845,26.1181,33.327949999999994,,22.68
flash,1024k,bf16,64,262127,0.421875,24.7152,30.17565,27.574099999999998,62.50865,,34.8927
flash,1024k,bf16,128,262127,0.421875,34.3307,46.47135,46.2188,109.7102,,62.6655
flash,1024k,bf16,256,262127,0.421875,81.3143,119.21145,95.7462,214.91935,,121.52295
flash,1024k,bf16,512,262127,0.421875,150.3759,208.06005,195.6969,389.6535,,213.825
flash,1024k,bf16,1024,262127,0.421875,234.73489999999998,334.82809999999995,301.24295,740.7774000000001,,363.4087
flash,1024k,fp16,1,262127,0.421875,15.90705,20.3293,20.4302,14.971200000000001,,14.9344
flash,1024k,fp16,2,262127,0.421875,16.0894,20.4512,20.6702,15.2752,,14.92
flash,1024k,fp16,4,262127,0.421875,16.1264,20.553549999999998,20.71185,15.968,,15.0544
flash,1024k,fp16,8,262127,0.421875,17.9679,22.324450000000002,21.1038,18.456049999999998,,15.408
flash,1024k,fp16,16,262127,0.421875,18.366400000000002,22.665599999999998,21.5055,23.851200000000002,,21.358400000000003
flash,1024k,fp16,32,262127,0.421875,19.422400000000003,23.526349999999997,27.01095,33.7232,,22.569599999999998
flash,1024k,fp16,64,262127,0.421875,25.155,29.81895,28.593400000000003,63.2352,,34.72
flash,1024k,fp16,128,262127,0.421875,34.867050000000006,45.9039,45.287800000000004,111.7328,,62.7712
flash,1024k,fp16,256,262127,0.421875,82.07289999999999,121.27105,99.80405,218.85604999999998,,121.36805
flash,1024k,fp16,512,262127,0.421875,148.7748,208.93439999999998,194.9505,396.96325,,213.0
flash,1024k,fp16,1024,262127,0.421875,236.7132,336.91425,306.2645,756.79215,,361.89279999999997
flash,1024k,fp32,1,262127,0.421875,19.55975,19.734099999999998,19.87485,19.19035,16.4832,17.988799999999998
flash,1024k,fp32,2,262127,0.421875,19.76455,19.9309,20.04615,19.69115,16.4448,18.084799999999998
flash,1024k,fp32,4,262127,0.421875,19.806099999999997,20.17725,20.2589,20.4208,16.7712,18.3872
flash,1024k,fp32,8,262127,0.421875,21.862099999999998,22.9836,20.92295,25.064,17.383950000000002,18.976
flash,1024k,fp32,16,262127,0.421875,22.9132,23.788400000000003,21.707,31.2288,19.8272,25.7632
flash,1024k,fp32,32,262127,0.421875,26.289450000000002,26.99155,27.9132,58.8798,33.9088,28.67995
flash,1024k,fp32,64,262127,0.421875,35.82025,38.409099999999995,34.762800000000006,113.512,51.5728,43.6208
flash,1024k,fp32,128,262127,0.421875,63.06965,79.78295,80.16535,189.81435000000002,85.1616,80.024
flash,1024k,fp32,256,262127,0.421875,108.38414999999999,143.74220000000003,145.2604,337.0318,110.25755000000001,135.73265
flash,1024k,fp32,512,262127,0.421875,183.64385000000001,254.01095,310.0152,665.0573,199.23345,249.30870000000002
flash,1024k,fp32,1024,262127,0.421875,342.6146,483.9103,526.47295,1317.63925,377.4382,438.7118
flash,128k,bf16,1,32771,0.69921875,13.84625,11.491200000000001,11.19035,12.900799999999998,,9.2624
flash,128k,bf16,2,32771,0.69921875,13.844700000000001,11.497399999999999,11.2702,14.30885,,9.067200000000001
flash,128k,bf16,4,32771,0.69921875,13.8751,11.4846,11.31175,14.6816,,9.616
flash,128k,bf16,8,32771,0.69921875,14.0622,11.711549999999999,11.299100000000001,15.084850000000001,,9.6304
flash,128k,bf16,16,32771,0.69921875,14.40615,12.1052,11.8047,15.0688,,11.099200000000002
flash,128k,bf16,32,32771,0.69921875,14.689350000000001,12.3324,12.13755,17.592,,11.936
flash,128k,bf16,64,32771,0.69921875,15.02225,12.59175,12.36475,14.60005,,13.2736
flash,128k,bf16,128,32771,0.69921875,15.867049999999999,13.3583,13.24155,15.28,,17.691200000000002
flash,128k,bf16,256,32771,0.69921875,21.63015,17.913349999999998,17.73425,28.0272,,22.856
flash,128k,bf16,512,32771,0.69921875,36.7452,30.462049999999998,29.84925,53.260949999999994,,40.780800000000006
flash,128k,bf16,1024,32771,0.69921875,58.181650000000005,47.96275,47.2954,92.61280000000001,,68.9408
flash,128k,fp16,1,32771,0.701171875,15.398299999999999,12.00465,16.644650000000002,14.62245,,8.9984
flash,128k,fp16,2,32771,0.701171875,15.28635,11.995,16.6639,14.73765,,9.168
flash,128k,fp16,4,32771,0.701171875,15.24465,11.902299999999999,16.611,14.6768,,9.18085
flash,128k,fp16,8,32771,0.701171875,15.2655,11.944,16.67185,14.7696,,9.25125
flash,128k,fp16,16,32771,0.701171875,15.222299999999999,11.8286,16.5727,15.006450000000001,,10.66085
flash,128k,fp16,32,32771,0.701171875,15.5055,12.01435,16.80145,17.5153,,11.6336
flash,128k,fp16,64,32771,0.701171875,15.79665,12.38385,17.278200000000002,14.2352,,12.63685
flash,128k,fp16,128,32771,0.701171875,16.566200000000002,13.1519,18.015849999999997,14.8576,,15.9216
flash,128k,fp16,256,32771,0.701171875,22.8062,17.53425,24.2509,27.1281,,20.3505
flash,128k,fp16,512,32771,0.701171875,38.772349999999996,30.31975,41.8672,51.70725,,35.7617
flash,128k,fp16,1024,32771,0.701171875,61.186800000000005,48.599599999999995,66.56269999999999,89.7921,,60.592349999999996
flash,128k,fp32,1,32771,0.701171875,15.755049999999999,11.75975,13.67325,19.6672,8.312,12.163200000000002
flash,128k,fp32,2,32771,0.701171875,15.946950000000001,11.97575,13.66695,19.5408,8.1184,12.1344
flash,128k,fp32,4,32771,0.701171875,15.5854,11.6511,13.4846,19.68805,8.624,12.3728
flash,128k,fp32,8,32771,0.701171875,15.7678,11.8511,13.7087,19.736,8.6464,12.654399999999999
flash,128k,fp32,16,32771,0.701171875,15.92775,11.958200000000001,13.868799999999998,20.4592,11.304,14.7232
flash,128k,fp32,32,32771,0.701171875,16.16625,12.284799999999999,14.1279,24.358400000000003,11.8352,16.5488
flash,128k,fp32,64,32771,0.701171875,16.88935,12.96455,14.8575,30.5888,12.3584,17.2368
flash,128k,fp32,128,32771,0.701171875,17.817400000000003,13.79955,15.771,20.686400000000003,13.044799999999999,21.2592
flash,128k,fp32,256,32771,0.701171875,25.33245,19.24295,25.46045,38.489650000000005,17.6848,25.854400000000002
flash,128k,fp32,512,32771,0.701171875,47.168800000000005,35.65725,51.156099999999995,75.34085,33.344,46.766400000000004
flash,128k,fp32,1024,32771,0.701171875,82.87075,61.6712,78.30135,131.4305,57.4176,78.8784
flash,16k,bf16,1,4099,0.34375,8.0991,8.192,8.0015,6.1903999999999995,,6.4048
flash,16k,bf16,2,4099,0.34375,7.7359,8.0015,7.700699999999999,6.292800000000001,,6.5488
flash,16k,bf16,4,4099,0.34375,7.8575,7.98225,7.87515,6.3599499999999995,,6.5728
flash,16k,bf16,8,4099,0.34375,7.8095,7.99355,7.7535,6.4064,,6.6432
flash,16k,bf16,16,4099,0.34375,8.29275,8.44795,8.265450000000001,6.3536,,6.688
flash,16k,bf16,32,4099,0.34375,8.39035,8.53915,8.35035,6.4176,,6.68
flash,16k,bf16,64,4099,0.34375,8.543899999999999,8.72475,8.4238,6.496,,6.7936000000000005
flash,16k,bf16,128,4099,0.34375,8.88955,9.14535,8.8399,6.8288,,6.936
