K,N,cell,BS,arm,cold_us,warm_us,exact,speedup_cold
512,32771,flash_128k,1,gvr_pr,12.939,10.934,True,
512,32771,flash_128k,1,champion,8.437,7.837,True,1.5337
512,32771,flash_128k,2,gvr_pr,12.379,10.717,True,
512,32771,flash_128k,2,champion,16.987,15.689,True,0.7287
512,32771,flash_128k,4,gvr_pr,12.512,10.701,True,
512,32771,flash_128k,4,champion,33.139,30.739,True,0.3776
512,32771,flash_128k,8,gvr_pr,13.091,11.242,True,
512,32771,flash_128k,8,champion,67.324,62.476,True,0.1944
512,32771,flash_128k,16,gvr_pr,14.086,11.853,True,
512,32771,flash_128k,16,champion,130.852,122.939,True,0.1076
512,32771,flash_128k,32,gvr_pr,16.504,13.545,True,
512,32771,flash_128k,32,champion,261.259,246.454,True,0.0632
512,32771,flash_128k,64,gvr_pr,16.988,13.923,True,
512,32771,flash_128k,64,champion,521.586,493.247,True,0.0326
512,32771,flash_128k,128,gvr_pr,17.611,14.195,True,
512,32771,flash_128k,128,champion,1038.727,986.236,True,0.017
512,32771,flash_128k,256,gvr_pr,22.729,18.099,True,
512,32771,flash_128k,256,champion,2074.469,1973.127,True,0.011
512,32771,flash_128k,512,gvr_pr,40.148,31.785,True,
512,32771,flash_128k,512,champion,4158.906,4036.989,True,0.0097
512,32771,flash_128k,1024,gvr_pr,67.653,62.796,True,
512,32771,flash_128k,1024,champion,8328.263,8250.04,True,0.0081
