cell,BS,N,cs,hit,exact,us_prod,straggle,p1_gather_stats,smem_stage,p1b_rungs,p2_count_admission,p3_collect,p4_select,epilogue
flash/128k/L22,1,32771,8,0.701,True,18.43,1.000,0.1045,0.0052,0.0312,0.1921,0.0842,0.5761,0.0066
flash/128k/L22,2,32771,8,0.701,True,18.43,1.002,0.1114,0.0054,0.0323,0.1984,0.0955,0.5503,0.0068
flash/128k/L22,8,32771,4,0.701,True,18.43,1.011,0.1445,0.0054,0.0325,0.2428,0.1261,0.4427,0.0061
flash/512k/L22,2,131075,8,0.057,True,28.67,1.000,0.0705,0.0029,0.0200,0.4478,0.1086,0.3464,0.0038
flash/512k/L22,8,131075,4,0.057,True,28.67,1.018,0.0726,0.0038,0.0192,0.5084,0.1189,0.2730,0.0040
pro/512k/L30,2,131075,8,0.230,True,22.53,1.008,0.1020,0.0057,0.0279,0.1930,0.1230,0.5435,0.0048
pro/512k/L30,8,131075,4,0.230,True,22.53,1.017,0.1068,0.0053,0.0278,0.2237,0.1681,0.4637,0.0045
pro/256k/L30,2,65539,8,0.358,True,20.48,1.000,0.1054,0.0039,0.0377,0.2064,0.1013,0.5389,0.0063
pro/256k/L30,8,65539,4,0.358,True,20.48,1.018,0.1218,0.0061,0.0316,0.2200,0.1406,0.4738,0.0062
v32/64k/L34,2,65551,4,0.406,True,24.58,1.000,0.1072,0.0029,0.0420,0.1705,0.0940,0.5794,0.0040
v32/64k/L34,8,65551,4,0.406,True,26.61,1.010,0.1134,0.0029,0.0423,0.1710,0.0937,0.5727,0.0040
flash/1024k/L22,2,262127,8,0.422,True,22.53,1.001,0.0964,0.0037,0.0262,0.2292,0.1583,0.4788,0.0074
flash/1024k/L22,8,262127,4,0.422,True,24.61,1.017,0.0950,0.0041,0.0225,0.2843,0.2410,0.3479,0.0053
