cell,BS,N,cs,hit,arm,exact,us_prod,straggle,p1_gather_stats,smem_stage,p1b_rungs,p2_count_admission,p3_collect,p4_select,epilogue,p1_gather_stats_cyc,smem_stage_cyc,p1b_rungs_cyc,p2_count_admission_cyc,p3_collect_cyc,p4_select_cyc,epilogue_cyc
pro/128k/L30,8,32771,4,0.326,tb_off,True,18.43,1.016,0.1395,0.0045,0.0429,0.2169,0.1181,0.4713,0.0068,3446,110,1059,5356,2918,11640,169
pro/128k/L30,8,32771,4,0.326,tb_on,True,22.53,1.020,0.1121,0.0036,0.0597,0.3439,0.1362,0.3384,0.0060,3492,112,1860,10712,4244,10542,188
pro/128k/L30,8,32771,4,0.326,tb_thin,True,20.48,1.017,0.1319,0.0041,0.0469,0.2404,0.1439,0.4267,0.0061,3540,111,1260,6454,3862,11456,163
pro/128k/L30,8,32771,4,0.326,off_nou3,True,18.43,1.016,0.1429,0.0045,0.0429,0.2186,0.1096,0.4754,0.0062,3531,110,1060,5402,2708,11748,152
pro/512k/L30,8,131075,4,0.230,tb_off,True,22.53,1.021,0.1048,0.0054,0.0279,0.2224,0.1704,0.4646,0.0045,3364,173,896,7136,5467,14910,145
pro/512k/L30,8,131075,4,0.230,tb_on,True,30.72,1.018,0.0702,0.0037,0.0355,0.3860,0.1698,0.3315,0.0031,3286,175,1661,18056,7945,15508,147
pro/512k/L30,8,131075,4,0.230,tb_thin,True,26.62,1.028,0.0902,0.0046,0.0291,0.2521,0.2078,0.4122,0.0040,3395,174,1096,9487,7820,15510,150
pro/512k/L30,8,131075,4,0.230,off_nou3,True,22.53,1.018,0.0975,0.0058,0.0269,0.2201,0.1842,0.4608,0.0048,3128,185,864,7062,5911,14789,154
flash/512k/L22,512,131075,1,0.057,tb_off,True,219.14,1.072,0.0388,0.0003,0.0091,0.7292,0.1909,0.0315,0.0001,9354,70,2202,175659,45994,7582,20
flash/512k/L22,512,131075,1,0.057,tb_on,True,180.11,1.293,0.0577,0.0004,0.0138,0.5395,0.3381,0.0503,0.0002,9332,71,2227,87265,54680,8136,27
flash/512k/L22,512,131075,1,0.057,tb_thin,True,155.65,1.087,0.0589,0.0005,0.0130,0.5988,0.2876,0.0409,0.0002,9556,77,2112,97100,46635,6635,28
flash/512k/L22,512,131075,1,0.057,off_nou3,True,225.28,1.075,0.0390,0.0003,0.0093,0.7102,0.2096,0.0314,0.0001,9548,82,2280,173794,51298,7675,21
flash/128k/L22,2,32771,8,0.701,tb_off,True,18.43,1.000,0.1203,0.0054,0.0321,0.1966,0.0841,0.5546,0.0068,2780,124,742,4544,1944,12816,157
flash/128k/L22,2,32771,8,0.701,tb_on,True,22.53,1.000,0.0909,0.0038,0.0459,0.2875,0.1123,0.4553,0.0043,3090,129,1560,9771,3817,15473,146
flash/128k/L22,2,32771,8,0.701,tb_thin,True,20.45,1.000,0.1116,0.0046,0.0350,0.2097,0.1032,0.5305,0.0054,2977,124,935,5596,2752,14156,143
flash/128k/L22,2,32771,8,0.701,off_nou3,True,18.43,1.000,0.1271,0.0053,0.0319,0.1956,0.0785,0.5554,0.0062,2943,123,738,4528,1816,12854,144
