uuid,arm,K,N,cs,exact
flash_4k_L02,base,512,1027,1,True
flash_4k_L02,d2a,512,1027,1,True
flash_4k_L02,d2b,512,1027,1,True
flash_4k_L02,d2ab,512,1027,1,True
flash_4k_L02,d1a,512,1027,1,True
flash_4k_L02,all,512,1027,1,True
flash_16k_L02,base,512,4099,1,True
flash_16k_L02,d2a,512,4099,1,True
flash_16k_L02,d2b,512,4099,1,True
flash_16k_L02,d2ab,512,4099,1,True
flash_16k_L02,d1a,512,4099,1,True
flash_16k_L02,all,512,4099,1,True
flash_64k_L02,base,512,16387,1,True
flash_64k_L02,d2a,512,16387,1,True
flash_64k_L02,d2b,512,16387,1,True
flash_64k_L02,d2ab,512,16387,1,True
flash_64k_L02,d1a,512,16387,1,True
flash_64k_L02,all,512,16387,1,True
flash_256k_L02,base,512,65538,4,True
flash_256k_L02,d2a,512,65538,4,True
flash_256k_L02,d2b,512,65538,4,True
flash_256k_L02,d2ab,512,65538,4,True
flash_256k_L02,d1a,512,65538,4,True
flash_256k_L02,all,512,65538,4,True
flash_1024k_L02,base,512,262127,8,True
flash_1024k_L02,d2a,512,262127,8,True
flash_1024k_L02,d2b,512,262127,8,True
flash_1024k_L02,d2ab,512,262127,8,True
flash_1024k_L02,d1a,512,262127,8,True
flash_1024k_L02,all,512,262127,8,True
pro_4k_L30,base,1024,1027,1,True
pro_4k_L30,d2a,1024,1027,1,True
pro_4k_L30,d2b,1024,1027,1,True
pro_4k_L30,d2ab,1024,1027,1,True
pro_4k_L30,d1a,1024,1027,1,True
pro_4k_L30,all,1024,1027,1,True
pro_16k_L30,base,1024,4099,1,True
pro_16k_L30,d2a,1024,4099,1,True
pro_16k_L30,d2b,1024,4099,1,True
pro_16k_L30,d2ab,1024,4099,1,True
pro_16k_L30,d1a,1024,4099,1,True
pro_16k_L30,all,1024,4099,1,True
pro_64k_L30,base,1024,16387,1,True
pro_64k_L30,d2a,1024,16387,1,True
pro_64k_L30,d2b,1024,16387,1,True
pro_64k_L30,d2ab,1024,16387,1,True
pro_64k_L30,d1a,1024,16387,1,True
pro_64k_L30,all,1024,16387,1,True
pro_256k_L30,base,1024,65539,4,True
pro_256k_L30,d2a,1024,65539,4,True
pro_256k_L30,d2b,1024,65539,4,True
pro_256k_L30,d2ab,1024,65539,4,True
pro_256k_L30,d1a,1024,65539,4,True
pro_256k_L30,all,1024,65539,4,True
pro_1024k_L30,base,1024,262127,8,True
pro_1024k_L30,d2a,1024,262127,8,True
pro_1024k_L30,d2b,1024,262127,8,True
pro_1024k_L30,d2ab,1024,262127,8,True
pro_1024k_L30,d1a,1024,262127,8,True
pro_1024k_L30,all,1024,262127,8,True
v32_8k_L34,base,2048,8207,1,True
v32_8k_L34,d2a,2048,8207,1,True
v32_8k_L34,d2b,2048,8207,1,True
v32_8k_L34,d2ab,2048,8207,1,True
v32_8k_L34,d1a,2048,8207,1,True
v32_8k_L34,all,2048,8207,1,True
v32_32k_L34,base,2048,32783,1,True
v32_32k_L34,d2a,2048,32783,1,True
v32_32k_L34,d2b,2048,32783,1,True
v32_32k_L34,d2ab,2048,32783,1,True
v32_32k_L34,d1a,2048,32783,1,True
v32_32k_L34,all,2048,32783,1,True
v32_128k_L34,base,2048,131087,8,True
v32_128k_L34,d2a,2048,131087,8,True
v32_128k_L34,d2b,2048,131087,8,True
v32_128k_L34,d2ab,2048,131087,8,True
v32_128k_L34,d1a,2048,131087,8,True
v32_128k_L34,all,2048,131087,8,True
