uuid,cs,N,K,rung,us_base,us_d2a,us_d2b,us_d2ab,us_d1a,us_all,sp_d2a,sp_d2b,sp_d2ab,sp_d1a,sp_all
flash_1024k_L02,8,262127,512,cs8,19.133,18.532,18.296,17.744,18.083,16.713,1.0324,1.0457,1.0783,1.058,1.1447
flash_128k_L02,1,32771,512,cs1-mid,12.467,11.592,11.673,11.046,12.457,11.037,1.0755,1.068,1.1286,1.0008,1.1296
flash_128k_L42,1,32771,512,cs1-mid,15.533,14.829,11.411,10.779,15.685,10.811,1.0475,1.3612,1.441,0.9903,1.4368
flash_16k_L02,1,4099,512,cs1-small,8.632,8.118,8.153,7.669,8.745,7.705,1.0633,1.0587,1.1256,0.987,1.1202
flash_256k_L02,4,65538,512,cs4,13.589,13.069,12.779,12.384,13.169,11.896,1.0398,1.0634,1.0973,1.0318,1.1423
flash_32k_L02,1,8195,512,cs1-small,9.541,8.682,8.925,8.165,9.445,8.153,1.0989,1.069,1.1685,1.0102,1.1701
flash_4k_L02,1,1027,512,cs1-small,9.139,8.262,8.242,7.694,8.87,7.667,1.1061,1.1089,1.1878,1.0303,1.192
flash_512k_L02,8,131075,512,cs8,15.038,13.941,13.728,13.152,13.67,12.341,1.0787,1.0955,1.1434,1.1001,1.2186
flash_64k_L02,1,16387,512,cs1-mid,9.379,8.755,9.141,8.213,9.379,8.219,1.0713,1.0261,1.142,1.0,1.1411
flash_8k_L02,1,2051,512,cs1-small,8.822,7.79,8.069,7.354,8.713,7.368,1.1325,1.0934,1.1997,1.0125,1.1974
pro_1024k_L30,8,262127,1024,cs8,20.04,19.249,19.021,18.417,18.854,17.363,1.0411,1.0536,1.0881,1.0629,1.1542
pro_128k_L30,1,32771,1024,cs1-mid,13.776,12.97,13.117,12.339,13.736,12.353,1.0622,1.0502,1.1164,1.0029,1.1151
pro_16k_L30,1,4099,1024,cs1-small,8.79,8.291,8.179,7.678,8.888,7.702,1.0602,1.0747,1.1449,0.989,1.1413
pro_256k_L30,4,65539,1024,cs4,14.763,14.128,13.886,13.329,14.613,13.019,1.0449,1.0631,1.1075,1.0103,1.1339
pro_32k_L30,1,8195,1024,cs1-small,11.521,10.856,10.76,10.07,11.418,10.094,1.0613,1.0708,1.1441,1.0091,1.1414
pro_4k_L30,1,1027,1024,cs1-small,8.904,8.418,8.36,7.859,9.218,7.846,1.0578,1.0651,1.1329,0.966,1.1348
pro_512k_L30,8,131075,1024,cs8,17.749,17.254,15.832,15.329,16.699,14.254,1.0287,1.1211,1.1578,1.0629,1.2451
pro_64k_L30,1,16387,1024,cs1-mid,10.854,10.158,10.077,9.494,10.779,9.53,1.0685,1.0772,1.1432,1.007,1.139
pro_8k_L30,1,2051,1024,cs1-small,9.125,8.401,8.485,7.768,9.189,7.798,1.0861,1.0754,1.1747,0.993,1.1701
v32_128k_L34,8,131087,2048,cs8,18.069,17.692,17.15,16.761,16.949,15.691,1.0213,1.0535,1.078,1.0661,1.1515
v32_16k_L34,1,16399,2048,cs1-mid,13.725,13.326,13.12,12.72,13.693,12.776,1.0299,1.0461,1.079,1.0023,1.0743
v32_256k_L34,8,163775,2048,cs8,18.793,18.465,18.104,18.064,17.741,16.768,1.0178,1.0381,1.0404,1.0593,1.1208
v32_32k_L34,1,32783,2048,cs1-mid,15.88,15.589,15.211,14.952,15.865,14.976,1.0187,1.044,1.0621,1.0009,1.0604
v32_4k_L34,1,4111,2048,cs1-small,10.872,10.414,10.147,9.779,10.883,9.757,1.0439,1.0714,1.1118,0.999,1.1143
v32_64k_L34,4,65551,2048,cs4,20.438,20.036,19.081,18.797,20.741,18.837,1.0201,1.0711,1.0873,0.9854,1.085
v32_8k_L34,1,8207,2048,cs1-small,11.102,10.732,10.459,10.102,11.081,10.053,1.0344,1.0615,1.099,1.0019,1.1044
