uuid,model,isl,BS,cs,N,K,base_us,opt_us,ratio
flash_1024k_L22_bs1,flash,1024k,1,8,262127,512,23.953,16.053,1.4922
flash_1024k_L22_bs1024,flash,1024k,1024,1,262127,512,372.456,366.901,1.0151
flash_1024k_L22_bs128,flash,1024k,128,1,262127,512,61.938,60.778,1.0191
flash_1024k_L22_bs16,flash,1024k,16,4,262127,512,22.424,21.11,1.0622
flash_1024k_L22_bs2,flash,1024k,2,8,262127,512,18.865,16.0,1.1791
flash_1024k_L22_bs256,flash,1024k,256,1,262127,512,106.544,105.496,1.0099
flash_1024k_L22_bs32,flash,1024k,32,4,262127,512,24.697,23.248,1.0624
flash_1024k_L22_bs4,flash,1024k,4,8,262127,512,19.161,16.603,1.1541
flash_1024k_L22_bs512,flash,1024k,512,1,262127,512,196.503,193.565,1.0152
flash_1024k_L22_bs64,flash,1024k,64,2,262127,512,36.038,35.171,1.0247
flash_1024k_L22_bs8,flash,1024k,8,4,262127,512,21.915,20.528,1.0676
flash_128k_L22_bs1,flash,128k,1,1,32771,512,12.278,10.869,1.1297
flash_128k_L22_bs1024,flash,128k,1024,1,32771,512,63.82,59.453,1.0734
flash_128k_L22_bs128,flash,128k,128,1,32771,512,13.976,12.987,1.0761
flash_128k_L22_bs16,flash,128k,16,1,32771,512,12.363,11.348,1.0894
flash_128k_L22_bs2,flash,128k,2,1,32771,512,11.753,10.678,1.1007
flash_128k_L22_bs256,flash,128k,256,1,32771,512,19.547,18.197,1.0742
flash_128k_L22_bs32,flash,128k,32,1,32771,512,12.597,11.603,1.0856
flash_128k_L22_bs4,flash,128k,4,1,32771,512,11.918,10.851,1.0984
flash_128k_L22_bs512,flash,128k,512,1,32771,512,36.651,33.999,1.078
flash_128k_L22_bs64,flash,128k,64,1,32771,512,13.128,12.105,1.0845
flash_128k_L22_bs8,flash,128k,8,1,32771,512,12.062,11.053,1.0913
flash_16k_L22_bs1,flash,16k,1,1,4099,512,8.768,7.456,1.176
flash_16k_L22_bs1024,flash,16k,1024,1,4099,512,36.02,31.776,1.1336
flash_16k_L22_bs128,flash,16k,128,1,4099,512,9.494,8.488,1.1186
flash_16k_L22_bs16,flash,16k,16,1,4099,512,8.91,7.981,1.1165
flash_16k_L22_bs2,flash,16k,2,1,4099,512,8.363,7.561,1.106
flash_16k_L22_bs256,flash,16k,256,1,4099,512,10.902,9.605,1.1351
flash_16k_L22_bs32,flash,16k,32,1,4099,512,9.019,8.206,1.099
flash_16k_L22_bs4,flash,16k,4,1,4099,512,8.619,7.742,1.1133
flash_16k_L22_bs512,flash,16k,512,1,4099,512,19.915,17.445,1.1416
flash_16k_L22_bs64,flash,16k,64,1,4099,512,9.166,8.182,1.1203
flash_16k_L22_bs8,flash,16k,8,1,4099,512,8.682,7.726,1.1236
flash_256k_L22_bs1,flash,256k,1,4,65538,512,14.39,12.299,1.17
flash_256k_L22_bs1024,flash,256k,1024,1,65538,512,102.41,97.668,1.0486
flash_256k_L22_bs128,flash,256k,128,1,65538,512,20.481,19.037,1.0759
flash_256k_L22_bs16,flash,256k,16,4,65538,512,14.96,13.12,1.1402
flash_256k_L22_bs2,flash,256k,2,4,65538,512,14.264,12.928,1.1033
flash_256k_L22_bs256,flash,256k,256,1,65538,512,32.169,30.51,1.0544
