uuid,model,isl,BS,arm,K,N,cs,exact
v32_256k_L34_bs1,v32,256k,1,base,2048,163775,8,True
v32_256k_L34_bs1,v32,256k,1,opt,2048,163775,8,True
v32_256k_L34_bs2,v32,256k,2,base,2048,163775,8,True
v32_256k_L34_bs2,v32,256k,2,opt,2048,163775,8,True
v32_256k_L34_bs4,v32,256k,4,base,2048,163775,8,True
v32_256k_L34_bs4,v32,256k,4,opt,2048,163775,8,True
v32_256k_L34_bs8,v32,256k,8,base,2048,163775,4,True
v32_256k_L34_bs8,v32,256k,8,opt,2048,163775,4,True
v32_256k_L34_bs16,v32,256k,16,base,2048,163775,4,True
v32_256k_L34_bs16,v32,256k,16,opt,2048,163775,4,True
v32_256k_L34_bs32,v32,256k,32,base,2048,163775,4,True
v32_256k_L34_bs32,v32,256k,32,opt,2048,163775,4,True
v32_256k_L34_bs64,v32,256k,64,base,2048,163775,2,True
v32_256k_L34_bs64,v32,256k,64,opt,2048,163775,2,True
v32_256k_L34_bs128,v32,256k,128,base,2048,163775,1,True
v32_256k_L34_bs128,v32,256k,128,opt,2048,163775,1,True
v32_256k_L34_bs256,v32,256k,256,base,2048,163775,1,True
v32_256k_L34_bs256,v32,256k,256,opt,2048,163775,1,True
v32_256k_L34_bs512,v32,256k,512,base,2048,163775,1,True
v32_256k_L34_bs512,v32,256k,512,opt,2048,163775,1,True
v32_256k_L34_bs1024,v32,256k,1024,base,2048,163775,1,True
v32_256k_L34_bs1024,v32,256k,1024,opt,2048,163775,1,True
