uuid,dt,cs,N,K,rung,axis,base_us,all_us,ratio
flash_1024k_L02,fp32,8,262127,512,cs8,real,19.238,16.627,1.157
flash_1024k_L04,fp32,8,262127,512,cs8,real,18.142,16.005,1.1336
flash_1024k_L06,fp32,8,262127,512,cs8,real,18.219,16.016,1.1376
flash_1024k_L08,fp32,8,262127,512,cs8,real,18.67,16.419,1.1371
flash_1024k_L10,fp32,8,262127,512,cs8,real,18.105,15.994,1.132
flash_1024k_L12,fp32,8,262127,512,cs8,real,18.581,16.309,1.1393
flash_1024k_L14,fp32,8,262127,512,cs8,real,18.333,16.185,1.1327
flash_1024k_L16,fp32,8,262127,512,cs8,real,19.081,16.614,1.1485
flash_1024k_L18,fp32,8,262127,512,cs8,real,18.355,16.201,1.1329
flash_1024k_L20,fp32,8,262127,512,cs8,real,19.555,17.233,1.1347
flash_1024k_L22,fp32,8,262127,512,cs8,real,17.968,16.045,1.1199
flash_1024k_L24,fp32,8,262127,512,cs8,real,19.846,17.077,1.1622
flash_1024k_L26,fp32,8,262127,512,cs8,real,18.787,16.518,1.1374
flash_1024k_L28,fp32,8,262127,512,cs8,real,18.427,16.15,1.141
flash_1024k_L30,fp32,8,262127,512,cs8,real,18.894,16.619,1.1369
flash_1024k_L32,fp32,8,262127,512,cs8,real,21.774,18.337,1.1874
flash_1024k_L34,fp32,8,262127,512,cs8,real,19.236,16.91,1.1376
flash_1024k_L36,fp32,8,262127,512,cs8,real,18.048,15.912,1.1342
flash_1024k_L38,fp32,8,262127,512,cs8,real,18.769,16.333,1.1492
flash_1024k_L40,fp32,8,262127,512,cs8,real,18.166,16.081,1.1296
flash_1024k_L42,fp32,8,262127,512,cs8,real,18.203,16.086,1.1316
flash_128k_L02,fp32,1,32771,512,cs1-mid,real,12.803,10.979,1.1661
flash_128k_L04,fp32,1,32771,512,cs1-mid,real,12.08,10.795,1.119
flash_128k_L06,fp32,1,32771,512,cs1-mid,real,12.4,11.038,1.1233
flash_128k_L08,fp32,1,32771,512,cs1-mid,real,12.062,10.843,1.1124
flash_128k_L10,fp32,1,32771,512,cs1-mid,real,13.07,11.595,1.1272
flash_128k_L12,fp32,1,32771,512,cs1-mid,real,12.825,11.377,1.1273
flash_128k_L14,fp32,1,32771,512,cs1-mid,real,12.427,11.144,1.1151
flash_128k_L16,fp32,1,32771,512,cs1-mid,real,12.646,11.144,1.1348
flash_128k_L18,fp32,1,32771,512,cs1-mid,real,12.605,11.067,1.1389
flash_128k_L20,fp32,1,32771,512,cs1-mid,real,12.11,10.963,1.1046
flash_128k_L22,fp32,1,32771,512,cs1-mid,real,12.078,10.875,1.1106
flash_128k_L24,fp32,1,32771,512,cs1-mid,real,12.725,11.265,1.1295
flash_128k_L26,fp32,1,32771,512,cs1-mid,real,12.085,10.833,1.1155
flash_128k_L28,fp32,1,32771,512,cs1-mid,real,14.101,12.669,1.113
flash_128k_L30,fp32,1,32771,512,cs1-mid,real,12.019,10.885,1.1042
flash_128k_L32,fp32,1,32771,512,cs1-mid,real,13.27,11.637,1.1404
flash_128k_L34,fp32,1,32771,512,cs1-mid,real,12.24,10.806,1.1327
flash_128k_L36,fp32,1,32771,512,cs1-mid,real,13.742,12.515,1.0981
flash_128k_L38,fp32,1,32771,512,cs1-mid,real,12.221,10.966,1.1144
flash_128k_L40,fp32,1,32771,512,cs1-mid,real,12.385,11.053,1.1206
flash_128k_L42,fp32,1,32771,512,cs1-mid,real,16.232,10.718,1.5144
flash_16k_L02,fp32,1,4099,512,cs1-small,real,8.984,7.523,1.1942
flash_16k_L04,fp32,1,4099,512,cs1-small,real,8.629,7.587,1.1373
flash_16k_L06,fp32,1,4099,512,cs1-small,real,8.781,7.817,1.1232
flash_16k_L08,fp32,1,4099,512,cs1-small,real,8.821,7.633,1.1555
flash_16k_L10,fp32,1,4099,512,cs1-small,real,8.754,7.67,1.1412
flash_16k_L12,fp32,1,4099,512,cs1-small,real,8.715,7.667,1.1367
flash_16k_L14,fp32,1,4099,512,cs1-small,real,8.824,7.713,1.144
flash_16k_L16,fp32,1,4099,512,cs1-small,real,8.76,7.578,1.156
flash_16k_L18,fp32,1,4099,512,cs1-small,real,9.598,8.321,1.1534
flash_16k_L20,fp32,1,4099,512,cs1-small,real,8.598,7.501,1.1463
flash_16k_L22,fp32,1,4099,512,cs1-small,real,8.545,7.536,1.134
flash_16k_L24,fp32,1,4099,512,cs1-small,real,9.011,7.757,1.1617
flash_16k_L26,fp32,1,4099,512,cs1-small,real,8.83,7.566,1.167
flash_16k_L28,fp32,1,4099,512,cs1-small,real,8.709,7.537,1.1554
flash_16k_L30,fp32,1,4099,512,cs1-small,real,9.073,7.87,1.1529
flash_16k_L32,fp32,1,4099,512,cs1-small,real,8.8,7.665,1.148
flash_16k_L34,fp32,1,4099,512,cs1-small,real,8.691,7.637,1.1381
flash_16k_L36,fp32,1,4099,512,cs1-small,real,9.952,8.901,1.1181
flash_16k_L38,fp32,1,4099,512,cs1-small,real,9.03,7.851,1.1502
flash_16k_L40,fp32,1,4099,512,cs1-small,real,8.67,7.648,1.1337
flash_16k_L42,fp32,1,4099,512,cs1-small,real,8.507,7.531,1.1296
flash_256k_L02,fp32,4,65538,512,cs4,real,13.918,12.016,1.1583
flash_256k_L04,fp32,4,65538,512,cs4,real,15.189,13.048,1.1641
flash_256k_L06,fp32,4,65538,512,cs4,real,13.472,11.85,1.1369
flash_256k_L08,fp32,4,65538,512,cs4,real,15.134,12.944,1.1692
flash_256k_L10,fp32,4,65538,512,cs4,real,14.315,12.672,1.1297
flash_256k_L12,fp32,4,65538,512,cs4,real,16.725,13.995,1.195
flash_256k_L14,fp32,4,65538,512,cs4,real,14.949,12.979,1.1517
flash_256k_L16,fp32,4,65538,512,cs4,real,13.836,12.133,1.1404
flash_256k_L18,fp32,4,65538,512,cs4,real,13.136,11.773,1.1158
flash_256k_L20,fp32,4,65538,512,cs4,real,13.616,11.734,1.1604
flash_256k_L22,fp32,4,65538,512,cs4,real,13.747,12.001,1.1455
flash_256k_L24,fp32,4,65538,512,cs4,real,19.337,17.897,1.0805
flash_256k_L26,fp32,4,65538,512,cs4,real,14.739,12.926,1.1402
flash_256k_L28,fp32,4,65538,512,cs4,real,15.801,13.256,1.192
flash_256k_L30,fp32,4,65538,512,cs4,real,14.414,12.641,1.1402
flash_256k_L32,fp32,4,65538,512,cs4,real,16.899,14.339,1.1785
flash_256k_L34,fp32,4,65538,512,cs4,real,13.409,11.841,1.1324
flash_256k_L36,fp32,4,65538,512,cs4,real,13.086,11.517,1.1363
flash_256k_L38,fp32,4,65538,512,cs4,real,14.843,13.101,1.133
flash_256k_L40,fp32,4,65538,512,cs4,real,13.79,11.993,1.1498
flash_256k_L42,fp32,4,65538,512,cs4,real,13.438,11.854,1.1336
flash_32k_L02,fp32,1,8195,512,cs1-small,real,9.44,7.845,1.2034
flash_32k_L04,fp32,1,8195,512,cs1-small,real,9.269,7.819,1.1854
flash_32k_L06,fp32,1,8195,512,cs1-small,real,10.713,9.419,1.1374
flash_32k_L08,fp32,1,8195,512,cs1-small,real,9.317,7.989,1.1662
flash_32k_L10,fp32,1,8195,512,cs1-small,real,9.321,8.008,1.164
flash_32k_L12,fp32,1,8195,512,cs1-small,real,9.555,8.133,1.1749
flash_32k_L14,fp32,1,8195,512,cs1-small,real,9.144,7.813,1.1704
flash_32k_L16,fp32,1,8195,512,cs1-small,real,9.605,8.101,1.1856
