uuid,dt,arm,K,N,cs,exact
v32_16k_L03,fp32,base,2048,16399,1,True
v32_16k_L03,fp32,all,2048,16399,1,True
v32_16k_L04,fp32,base,2048,16399,1,True
v32_16k_L04,fp32,all,2048,16399,1,True
v32_16k_L05,fp32,base,2048,16399,1,True
v32_16k_L05,fp32,all,2048,16399,1,True
v32_16k_L06,fp32,base,2048,16399,1,True
v32_16k_L06,fp32,all,2048,16399,1,True
v32_16k_L07,fp32,base,2048,16399,1,True
v32_16k_L07,fp32,all,2048,16399,1,True
v32_16k_L08,fp32,base,2048,16399,1,True
v32_16k_L08,fp32,all,2048,16399,1,True
v32_16k_L09,fp32,base,2048,16399,1,True
v32_16k_L09,fp32,all,2048,16399,1,True
v32_16k_L10,fp32,base,2048,16399,1,True
v32_16k_L10,fp32,all,2048,16399,1,True
v32_16k_L11,fp32,base,2048,16399,1,True
v32_16k_L11,fp32,all,2048,16399,1,True
v32_16k_L12,fp32,base,2048,16399,1,True
v32_16k_L12,fp32,all,2048,16399,1,True
v32_16k_L13,fp32,base,2048,16399,1,True
v32_16k_L13,fp32,all,2048,16399,1,True
v32_16k_L14,fp32,base,2048,16399,1,True
v32_16k_L14,fp32,all,2048,16399,1,True
v32_16k_L15,fp32,base,2048,16399,1,True
v32_16k_L15,fp32,all,2048,16399,1,True
v32_16k_L16,fp32,base,2048,16399,1,True
v32_16k_L16,fp32,all,2048,16399,1,True
v32_16k_L17,fp32,base,2048,16399,1,True
v32_16k_L17,fp32,all,2048,16399,1,True
v32_16k_L18,fp32,base,2048,16399,1,True
v32_16k_L18,fp32,all,2048,16399,1,True
v32_16k_L19,fp32,base,2048,16399,1,True
v32_16k_L19,fp32,all,2048,16399,1,True
v32_16k_L20,fp32,base,2048,16399,1,True
v32_16k_L20,fp32,all,2048,16399,1,True
v32_16k_L21,fp32,base,2048,16399,1,True
v32_16k_L21,fp32,all,2048,16399,1,True
v32_16k_L22,fp32,base,2048,16399,1,True
v32_16k_L22,fp32,all,2048,16399,1,True
v32_16k_L23,fp32,base,2048,16399,1,True
v32_16k_L23,fp32,all,2048,16399,1,True
v32_16k_L24,fp32,base,2048,16399,1,True
v32_16k_L24,fp32,all,2048,16399,1,True
v32_16k_L25,fp32,base,2048,16399,1,True
v32_16k_L25,fp32,all,2048,16399,1,True
v32_16k_L26,fp32,base,2048,16399,1,True
v32_16k_L26,fp32,all,2048,16399,1,True
v32_16k_L27,fp32,base,2048,16399,1,True
v32_16k_L27,fp32,all,2048,16399,1,True
v32_16k_L28,fp32,base,2048,16399,1,True
v32_16k_L28,fp32,all,2048,16399,1,True
v32_16k_L29,fp32,base,2048,16399,1,True
v32_16k_L29,fp32,all,2048,16399,1,True
v32_16k_L30,fp32,base,2048,16399,1,True
v32_16k_L30,fp32,all,2048,16399,1,True
v32_16k_L31,fp32,base,2048,16399,1,True
v32_16k_L31,fp32,all,2048,16399,1,True
v32_16k_L32,fp32,base,2048,16399,1,True
v32_16k_L32,fp32,all,2048,16399,1,True
v32_16k_L33,fp32,base,2048,16399,1,True
v32_16k_L33,fp32,all,2048,16399,1,True
v32_16k_L34,fp32,base,2048,16399,1,True
v32_16k_L34,fp32,all,2048,16399,1,True
v32_16k_L35,fp32,base,2048,16399,1,True
v32_16k_L35,fp32,all,2048,16399,1,True
v32_16k_L36,fp32,base,2048,16399,1,True
v32_16k_L36,fp32,all,2048,16399,1,True
v32_16k_L37,fp32,base,2048,16399,1,True
v32_16k_L37,fp32,all,2048,16399,1,True
v32_16k_L38,fp32,base,2048,16399,1,True
