cell,N,model,BS,cand_us,pr_us,speedup,exact
flash_4k_L10,1027,flash,1,4.502,7.552,1.6776,OK
flash_4k_L10,1027,flash,2,4.543,7.69435,1.6938,OK
flash_4k_L10,1027,flash,4,4.518,7.50535,1.6611,OK
flash_4k_L10,1027,flash,8,4.554,7.5855500000000005,1.6659,OK
flash_4k_L10,1027,flash,16,4.524,7.93915,1.7549,OK
flash_4k_L10,1027,flash,32,4.555,8.0496,1.7672,OK
flash_4k_L10,1027,flash,64,4.652,8.0448,1.7293,OK
flash_4k_L10,1027,flash,128,4.753,8.327950000000001,1.7521,OK
flash_4k_L10,1027,flash,256,6.526,9.343950000000001,1.4318,OK
flash_4k_L10,1027,flash,512,11.393,17.1677,1.5068,OK
flash_4k_L10,1027,flash,1024,20.673,31.7323,1.535,OK
flash_4k_L22,1027,flash,1,3.89,7.44795,1.9147,OK
flash_4k_L22,1027,flash,2,3.939,7.6223,1.9353,OK
flash_4k_L22,1027,flash,4,4.026,7.44475,1.8491,OK
flash_4k_L22,1027,flash,8,4.029,7.56155,1.8769,OK
flash_4k_L22,1027,flash,16,4.308,7.95665,1.8468,OK
flash_4k_L22,1027,flash,32,4.42,7.95185,1.7992,OK
flash_4k_L22,1027,flash,64,4.47,8.04945,1.8006,OK
flash_4k_L22,1027,flash,128,4.618,8.3632,1.8109,OK
flash_4k_L22,1027,flash,256,5.902,9.33105,1.581,OK
flash_4k_L22,1027,flash,512,10.149,17.166150000000002,1.6914,OK
flash_4k_L22,1027,flash,1024,18.144,31.5517,1.7389,OK
flash_4k_L34,1027,flash,1,3.974,7.779100000000001,1.9573,OK
flash_4k_L34,1027,flash,2,4.042,7.89595,1.9537,OK
flash_4k_L34,1027,flash,4,4.044,7.75835,1.9184,OK
flash_4k_L34,1027,flash,8,4.082,7.7166999999999994,1.8905,OK
flash_4k_L34,1027,flash,16,4.438,8.02395,1.8082,OK
flash_4k_L34,1027,flash,32,4.51,8.1824,1.8143,OK
flash_4k_L34,1027,flash,64,4.563,8.14705,1.7854,OK
flash_4k_L34,1027,flash,128,4.754,8.3455,1.7553,OK
flash_4k_L34,1027,flash,256,6.517,9.43515,1.4478,OK
flash_4k_L34,1027,flash,512,11.401,17.2845,1.516,OK
flash_4k_L34,1027,flash,1024,20.736,31.91755,1.5393,OK
flash_8k_L10,2051,flash,1,4.548,7.990399999999999,1.7567,OK
flash_8k_L10,2051,flash,2,4.537,8.07675,1.7802,OK
flash_8k_L10,2051,flash,4,4.612,7.8527,1.7028,OK
flash_8k_L10,2051,flash,8,4.662,8.0591,1.7286,OK
flash_8k_L10,2051,flash,16,4.947,8.184,1.6543,OK
flash_8k_L10,2051,flash,32,5.05,8.357700000000001,1.6549,OK
flash_8k_L10,2051,flash,64,5.165,8.389850000000001,1.6244,OK
flash_8k_L10,2051,flash,128,5.364,8.8464,1.6493,OK
flash_8k_L10,2051,flash,256,8.13,9.9229,1.2205,OK
flash_8k_L10,2051,flash,512,14.314,18.19975,1.2715,OK
flash_8k_L10,2051,flash,1024,26.119,32.665099999999995,1.2506,OK
flash_8k_L22,2051,flash,1,4.331,7.9038,1.825,OK
