cell,Npad,BS,prod_us,best_cfg,best_us,pr_local,pr_report,x_best_vs_replocal,x_best_vs_report,anchor_drift
flash_16k_L22,4160,256,17.98,prod,17.98,21.44,10.96,1.192,0.61,1.956
flash_16k_L22,4160,512,26.34,prod,26.34,30.02,19.93,1.14,0.757,1.506
flash_16k_L22,4160,1024,44.99,prod,44.99,45.73,35.79,1.016,0.796,1.278
pro_1024k_L14,262144,16,30.78,"1024,8,8,4,2",29.63,1131.1,23.07,38.172,0.779,49.032
pro_1024k_L14,262144,32,39.46,"1024,4,0,8,1",32.42,1104.83,26.2,34.083,0.808,42.167
pro_1024k_L14,262144,256,123.68,prod,123.68,119.49,110.46,0.966,0.893,1.082
pro_1024k_L14,262144,512,228.26,"1024,2,0,4,2",219.36,210.46,202.3,0.959,0.922,1.04
pro_1024k_L14,262144,1024,410.82,"1024,2,0,4,2",409.44,387.58,381.72,0.947,0.932,1.015
pro_16k_L46,4160,256,18.24,prod,18.24,21.38,11.74,1.172,0.644,1.821
pro_16k_L46,4160,512,28.06,prod,28.06,29.98,21.17,1.068,0.754,1.416
pro_16k_L46,4160,1024,45.95,prod,45.95,48.0,38.91,1.045,0.847,1.234
pro_64k_L30,16448,2,17.7,"1024,4,0,8,1",16.35,20.8,10.65,1.272,0.651,1.953
pro_64k_L30,16448,4,15.94,prod,15.94,20.13,10.49,1.263,0.658,1.919
pro_64k_L30,16448,8,16.38,prod,16.38,21.41,10.36,1.307,0.633,2.065
pro_64k_L30,16448,16,16.1,prod,16.1,21.28,10.73,1.322,0.667,1.983
pro_64k_L30,16448,32,16.19,prod,16.19,20.96,11.08,1.294,0.684,1.891
pro_64k_L30,16448,64,17.92,"1024,1,0,6,2",17.06,21.22,11.49,1.244,0.674,1.847
pro_64k_L30,16448,128,18.21,prod,18.21,22.34,12.31,1.227,0.676,1.814
pro_64k_L30,16448,256,24.7,"512,1,0,6,2",23.65,25.57,15.37,1.081,0.65,1.664
pro_64k_L30,16448,512,38.53,"512,1,0,6,2",36.06,38.62,27.96,1.071,0.775,1.381
pro_64k_L30,16448,1024,61.31,"512,1,0,6,2",55.71,63.46,51.05,1.139,0.916,1.243
v32_64k_L34,65600,128,35.17,"1024,1,0,6,4",29.34,34.34,24.31,1.17,0.829,1.412
v32_64k_L34,65600,256,51.87,"512,1,0,6,4",45.47,49.92,38.75,1.098,0.852,1.288
v32_64k_L34,65600,512,91.97,"512,1,0,6,4",75.78,85.15,73.78,1.124,0.974,1.154
v32_64k_L34,65600,1024,146.75,"512,1,0,6,4",120.38,134.08,122.63,1.114,1.019,1.093
