==PROF== Connected to process 13206 (/usr/bin/python3.12)
[crux0] floor bytes = 0.537 GB (BS512 x N262127 x 4)
==PROF== Disconnected from process 13206
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","13206","python3.12","127.0.0.1","void native::vectorized_elementwise_kernel<4, native::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)","1","7","(128, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","4608"
"0","13206","python3.12","127.0.0.1","void native::vectorized_elementwise_kernel<4, native::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)","1","7","(128, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"0","13206","python3.12","127.0.0.1","void native::vectorized_elementwise_kernel<4, native::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)","1","7","(128, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","4448"
"1","13206","python3.12","127.0.0.1","void mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)","1","7","(512, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","2816"
"1","13206","python3.12","127.0.0.1","void mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)","1","7","(512, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"1","13206","python3.12","127.0.0.1","void mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)","1","7","(512, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","3744"
"2","13206","python3.12","127.0.0.1","void mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 1>(cuda::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","1055232"
"2","13206","python3.12","127.0.0.1","void mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 1>(cuda::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"2","13206","python3.12","127.0.0.1","void mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 1>(cuda::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","7104"
"3","13206","python3.12","127.0.0.1","mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","139520"
"3","13206","python3.12","127.0.0.1","mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"3","13206","python3.12","127.0.0.1","mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","20096"
"4","13206","python3.12","127.0.0.1","void mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned int *, unsigned int *, unsigned int, int, bool, unsigned int *, T2 *, unsigned int *, T1 *, unsigned int)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","40448"
"4","13206","python3.12","127.0.0.1","void mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned int *, unsigned int *, unsigned int, int, bool, unsigned int *, T2 *, unsigned int *, T1 *, unsigned int)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"4","13206","python3.12","127.0.0.1","void mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned int *, unsigned int *, unsigned int, int, bool, unsigned int *, T2 *, unsigned int *, T1 *, unsigned int)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","6016"
"5","13206","python3.12","127.0.0.1","void mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 1>(cuda::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","1054720"
"5","13206","python3.12","127.0.0.1","void mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 1>(cuda::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"5","13206","python3.12","127.0.0.1","void mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 1>(cuda::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","6624"
"6","13206","python3.12","127.0.0.1","mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","139520"
"6","13206","python3.12","127.0.0.1","mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"6","13206","python3.12","127.0.0.1","mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","19776"
"7","13206","python3.12","127.0.0.1","void mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned int *, unsigned int *, unsigned int, int, bool, unsigned int *, T2 *, unsigned int *, T1 *, unsigned int)","1","7","(256, 1, 1)","(256, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","105984"
