cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_1024k_L10,2,29.039,21.1133,0.7271,2.0048,OK
flash_1024k_L10,4,30.335,21.658900000000003,0.714,1.9016,OK
flash_1024k_L10,8,32.271,23.148400000000002,0.7173,1.6653,OK
flash_1024k_L10,16,35.575,23.990099999999998,0.6744,1.0553,OK
flash_1024k_L10,32,38.623,27.13085,0.7024,1.063,OK
flash_1024k_L10,64,45.167,39.78515,0.8808,1.1784,OK
flash_1024k_L10,128,59.196,81.6164,1.3788,1.3063,OK
flash_1024k_L10,256,88.271,151.95795,1.7215,1.3018,OK
flash_1024k_L10,512,147.643,271.70509999999996,1.8403,1.2914,OK
flash_1024k_L10,1024,246.494,519.713,2.1084,1.2959,OK
flash_1024k_L22,2,28.43,20.81905,0.7323,1.8004,OK
flash_1024k_L22,4,29.264,21.433349999999997,0.7324,1.7498,OK
flash_1024k_L22,8,31.139,23.1869,0.7446,1.6818,OK
flash_1024k_L22,16,33.214,24.12295,0.7263,1.0595,OK
flash_1024k_L22,32,36.397,27.1644,0.7463,1.079,OK
flash_1024k_L22,64,42.521,39.0539,0.9185,1.1574,OK
flash_1024k_L22,128,56.693,80.88865,1.4268,1.298,OK
flash_1024k_L22,256,86.807,151.04935,1.7401,1.2953,OK
flash_1024k_L22,512,145.764,271.1442,1.8602,1.2878,OK
flash_1024k_L22,1024,243.965,517.36995,2.1207,1.2875,OK
flash_1024k_L34,2,26.466,19.4157,0.7336,1.8401,OK
flash_1024k_L34,4,27.673,20.09095,0.726,1.7547,OK
flash_1024k_L34,8,29.903,22.1757,0.7416,1.5964,OK
flash_1024k_L34,16,32.917,23.011,0.6991,1.016,OK
flash_1024k_L34,32,36.063,26.01725,0.7214,1.0291,OK
flash_1024k_L34,64,42.279,38.305099999999996,0.906,1.1283,OK
flash_1024k_L34,128,56.362,62.27285,1.1049,0.993,OK
flash_1024k_L34,256,86.441,108.2084,1.2518,0.9264,OK
flash_1024k_L34,512,142.341,198.40570000000002,1.3939,0.9411,OK
flash_1024k_L34,1024,236.578,374.5765,1.5833,0.9301,OK
flash_128k_L10,2,21.729,12.479899999999999,0.5743,1.4962,OK
flash_128k_L10,4,21.594,12.77915,0.5918,1.4783,OK
flash_128k_L10,8,23.255,12.736,0.5477,1.4388,OK
flash_128k_L10,16,22.892,13.23335,0.5781,1.2497,OK
flash_128k_L10,32,23.955,13.70825,0.5723,1.2263,OK
flash_128k_L10,64,25.908,14.2942,0.5517,1.1956,OK
flash_128k_L10,128,29.066,15.33735,0.5277,1.1352,OK
flash_128k_L10,256,33.939,20.934099999999997,0.6168,0.9655,OK
flash_128k_L10,512,58.012,38.92275,0.6709,1.0195,OK
flash_128k_L10,1024,93.774,67.77515,0.7227,1.0945,OK
flash_128k_L22,2,21.733,11.468549999999999,0.5277,1.4856,OK
flash_128k_L22,4,21.825,11.788549999999999,0.5401,1.4648,OK
flash_128k_L22,8,21.915,11.82855,0.5398,1.4305,OK
flash_128k_L22,16,22.5,12.331,0.5481,1.2383,OK
flash_128k_L22,32,23.637,12.731,0.5386,1.2156,OK
flash_128k_L22,64,24.596,13.3615,0.5432,1.1836,OK
flash_128k_L22,128,27.756,14.383799999999999,0.5182,1.1112,OK
flash_128k_L22,256,32.869,19.747,0.6008,0.9453,OK
flash_128k_L22,512,56.121,36.876349999999995,0.6571,1.009,OK
flash_128k_L22,1024,92.366,63.5673,0.6882,1.0793,OK
flash_128k_L34,2,21.336,11.815850000000001,0.5538,1.5248,OK
flash_128k_L34,4,21.178,11.9599,0.5647,1.5241,OK
flash_128k_L34,8,22.208,12.0271,0.5416,1.4947,OK
flash_128k_L34,16,23.511,12.483,0.5309,1.2304,OK
flash_128k_L34,32,23.175,12.7757,0.5513,1.2084,OK
flash_128k_L34,64,25.149,13.423950000000001,0.5338,1.1763,OK
flash_128k_L34,128,27.76,14.4527,0.5206,1.1113,OK
flash_128k_L34,256,32.569,19.69565,0.6047,0.9377,OK
flash_128k_L34,512,55.088,36.83945,0.6687,0.9971,OK
flash_128k_L34,1024,90.883,63.7624,0.7016,1.0746,OK
flash_16k_L10,2,15.117,8.92,0.5901,1.9616,OK
flash_16k_L10,4,15.042,8.820450000000001,0.5864,1.8965,OK
flash_16k_L10,8,15.191,9.02075,0.5938,1.9247,OK
flash_16k_L10,16,15.565,9.211,0.5918,1.8213,OK
flash_16k_L10,32,15.609,9.288,0.595,1.8159,OK
flash_16k_L10,64,15.881,9.54195,0.6008,1.8002,OK
flash_16k_L10,128,16.147,9.77735,0.6055,1.7615,OK
flash_16k_L10,256,19.815,11.379100000000001,0.5743,1.0861,OK
flash_16k_L10,512,34.947,20.5533,0.5881,1.0974,OK
flash_16k_L10,1024,54.69,36.89395,0.6746,1.0934,OK
flash_16k_L22,2,16.286,8.52635,0.5235,1.3441,OK
flash_16k_L22,4,16.192,8.705549999999999,0.5377,1.3671,OK
flash_16k_L22,8,16.322,8.67665,0.5316,1.3584,OK
flash_16k_L22,16,16.663,8.9086,0.5346,1.3897,OK
flash_16k_L22,32,16.816,9.02535,0.5367,1.3975,OK
flash_16k_L22,64,16.912,9.211049999999998,0.5447,1.3998,OK
flash_16k_L22,128,17.225,9.54235,0.554,1.3903,OK
flash_16k_L22,256,21.296,10.961549999999999,0.5147,0.9202,OK
flash_16k_L22,512,37.891,19.926099999999998,0.5259,0.9269,OK
flash_16k_L22,1024,59.4,35.79475,0.6026,0.9181,OK
flash_16k_L34,2,15.151,8.51665,0.5621,1.3724,OK
flash_16k_L34,4,15.351,8.61585,0.5613,1.3907,OK
flash_16k_L34,8,15.355,8.73745,0.569,1.4092,OK
flash_16k_L34,16,15.398,8.7711,0.5696,1.4104,OK
flash_16k_L34,32,15.542,9.02225,0.5805,1.4392,OK
flash_16k_L34,64,15.671,9.251,0.5903,1.4462,OK
flash_16k_L34,128,15.931,9.52465,0.5979,1.4452,OK
flash_16k_L34,256,20.034,10.9566,0.5469,0.922,OK
flash_16k_L34,512,35.385,19.78855,0.5592,0.9254,OK
flash_16k_L34,1024,55.611,35.564099999999996,0.6395,0.9149,OK
flash_256k_L10,2,23.373,14.06705,0.6019,1.3909,OK
flash_256k_L10,4,22.848,14.307,0.6262,1.3647,OK
flash_256k_L10,8,24.2,14.61895,0.6041,1.3495,OK
flash_256k_L10,16,25.125,14.9888,0.5966,1.1135,OK
flash_256k_L10,32,26.553,15.8542,0.5971,0.9483,OK
flash_256k_L10,64,28.949,18.2238,0.6295,0.9947,OK
flash_256k_L10,128,33.495,20.356450000000002,0.6077,0.9697,OK
flash_256k_L10,256,42.437,31.7261,0.7476,0.9393,OK
flash_256k_L10,512,77.084,60.22005,0.7812,0.9615,OK
flash_256k_L10,1024,125.281,100.51065,0.8023,0.9983,OK
flash_256k_L22,2,22.954,13.26705,0.578,1.1542,OK
flash_256k_L22,4,23.596,13.42855,0.5691,1.1617,OK
flash_256k_L22,8,24.129,13.74385,0.5696,1.1557,OK
flash_256k_L22,16,24.923,14.052700000000002,0.5638,1.042,OK
flash_256k_L22,32,25.802,14.9806,0.5806,0.9461,OK
flash_256k_L22,64,28.007,17.699,0.6319,1.0236,OK
flash_256k_L22,128,31.907,19.811,0.6209,0.881,OK
flash_256k_L22,256,41.441,31.057599999999997,0.7494,0.8414,OK
flash_256k_L22,512,75.292,58.86645,0.7818,0.8576,OK
flash_256k_L22,1024,122.616,98.39245,0.8024,0.8887,OK
flash_256k_L34,2,23.167,13.8094,0.5961,1.4586,OK
flash_256k_L34,4,23.527,13.9502,0.5929,1.4563,OK
flash_256k_L34,8,23.571,14.3919,0.6106,1.4556,OK
flash_256k_L34,16,24.668,14.6814,0.5952,1.1968,OK
flash_256k_L34,32,26.275,15.647950000000002,0.5955,1.0271,OK
flash_256k_L34,64,28.552,18.10705,0.6342,1.0945,OK
flash_256k_L34,128,33.034,20.236549999999998,0.6126,1.0133,OK
flash_256k_L34,256,41.288,31.5598,0.7644,0.9643,OK
flash_256k_L34,512,75.054,59.455349999999996,0.7922,0.9815,OK
flash_256k_L34,1024,122.161,99.66755,0.8159,1.0248,OK
flash_32k_L10,2,21.082,8.9424,0.4242,1.1381,OK
flash_32k_L10,4,21.46,8.763200000000001,0.4083,1.1049,OK
flash_32k_L10,8,21.718,9.13115,0.4204,1.1449,OK
flash_32k_L10,16,21.693,9.2608,0.4269,1.1613,OK
flash_32k_L10,32,22.298,9.366299999999999,0.42,1.1545,OK
flash_32k_L10,64,22.695,9.683200000000001,0.4267,1.165,OK
flash_32k_L10,128,24.638,10.235149999999999,0.4154,1.1653,OK
flash_32k_L10,256,27.875,12.3757,0.444,0.9084,OK
flash_32k_L10,512,45.722,22.095650000000003,0.4833,0.9223,OK
flash_32k_L10,1024,69.946,39.53385,0.5652,0.945,OK
flash_32k_L22,2,20.682,9.032,0.4367,1.2037,OK
flash_32k_L22,4,20.58,8.870149999999999,0.431,1.1782,OK
flash_32k_L22,8,21.798,9.17905,0.4211,1.2161,OK
flash_32k_L22,16,21.435,9.337549999999998,0.4356,1.2249,OK
