uuid,model,cs,N,K,band,base_us
flash_1024k_L02,flash,8,262127,512,32k-1M,19.674
flash_1024k_L04,flash,8,262127,512,32k-1M,18.622
flash_1024k_L06,flash,8,262127,512,32k-1M,18.648
flash_1024k_L08,flash,8,262127,512,32k-1M,19.098
flash_1024k_L10,flash,8,262127,512,32k-1M,18.547
flash_1024k_L12,flash,8,262127,512,32k-1M,18.981
flash_1024k_L14,flash,8,262127,512,32k-1M,18.832
flash_1024k_L16,flash,8,262127,512,32k-1M,19.45
flash_1024k_L18,flash,8,262127,512,32k-1M,18.65
flash_1024k_L20,flash,8,262127,512,32k-1M,20.021
flash_1024k_L22,flash,8,262127,512,32k-1M,18.474
flash_1024k_L24,flash,8,262127,512,32k-1M,20.256
flash_1024k_L26,flash,8,262127,512,32k-1M,19.232
flash_1024k_L28,flash,8,262127,512,32k-1M,18.89
flash_1024k_L30,flash,8,262127,512,32k-1M,19.222
flash_1024k_L32,flash,8,262127,512,32k-1M,22.243
flash_1024k_L34,flash,8,262127,512,32k-1M,19.649
flash_1024k_L36,flash,8,262127,512,32k-1M,18.459
flash_1024k_L38,flash,8,262127,512,32k-1M,19.107
flash_1024k_L40,flash,8,262127,512,32k-1M,18.546
flash_1024k_L42,flash,8,262127,512,32k-1M,18.608
flash_128k_L02,flash,1,32771,512,32k-1M,13.222
flash_128k_L04,flash,1,32771,512,32k-1M,12.384
flash_128k_L06,flash,1,32771,512,32k-1M,12.95
flash_128k_L08,flash,1,32771,512,32k-1M,12.528
flash_128k_L10,flash,1,32771,512,32k-1M,13.437
flash_128k_L12,flash,1,32771,512,32k-1M,13.09
flash_128k_L14,flash,1,32771,512,32k-1M,12.957
flash_128k_L16,flash,1,32771,512,32k-1M,13.112
flash_128k_L18,flash,1,32771,512,32k-1M,12.928
flash_128k_L20,flash,1,32771,512,32k-1M,12.502
flash_128k_L22,flash,1,32771,512,32k-1M,12.667
flash_128k_L24,flash,1,32771,512,32k-1M,13.182
flash_128k_L26,flash,1,32771,512,32k-1M,12.435
flash_128k_L28,flash,1,32771,512,32k-1M,14.482
flash_128k_L30,flash,1,32771,512,32k-1M,12.467
flash_128k_L32,flash,1,32771,512,32k-1M,13.771
flash_128k_L34,flash,1,32771,512,32k-1M,12.53
flash_128k_L36,flash,1,32771,512,32k-1M,14.094
flash_128k_L38,flash,1,32771,512,32k-1M,12.691
flash_128k_L40,flash,1,32771,512,32k-1M,12.771
flash_128k_L42,flash,1,32771,512,32k-1M,17.629
flash_16k_L02,flash,1,4099,512,4k-32k,8.786
flash_16k_L04,flash,1,4099,512,4k-32k,8.382
flash_16k_L06,flash,1,4099,512,4k-32k,8.722
flash_16k_L08,flash,1,4099,512,4k-32k,8.605
flash_16k_L10,flash,1,4099,512,4k-32k,8.587
flash_16k_L12,flash,1,4099,512,4k-32k,8.602
flash_16k_L14,flash,1,4099,512,4k-32k,8.774
flash_16k_L16,flash,1,4099,512,4k-32k,8.624
flash_16k_L18,flash,1,4099,512,4k-32k,9.422
flash_16k_L20,flash,1,4099,512,4k-32k,8.437
flash_16k_L22,flash,1,4099,512,4k-32k,8.389
flash_16k_L24,flash,1,4099,512,4k-32k,8.83
flash_16k_L26,flash,1,4099,512,4k-32k,8.61
flash_16k_L28,flash,1,4099,512,4k-32k,8.555
flash_16k_L30,flash,1,4099,512,4k-32k,8.877
flash_16k_L32,flash,1,4099,512,4k-32k,8.661
flash_16k_L34,flash,1,4099,512,4k-32k,8.536
flash_16k_L36,flash,1,4099,512,4k-32k,9.728
flash_16k_L38,flash,1,4099,512,4k-32k,8.786
flash_16k_L40,flash,1,4099,512,4k-32k,8.49
flash_16k_L42,flash,1,4099,512,4k-32k,8.317
flash_256k_L02,flash,4,65538,512,32k-1M,14.458
flash_256k_L04,flash,4,65538,512,32k-1M,15.626
flash_256k_L06,flash,4,65538,512,32k-1M,13.87
flash_256k_L08,flash,4,65538,512,32k-1M,15.61
flash_256k_L10,flash,4,65538,512,32k-1M,14.824
flash_256k_L12,flash,4,65538,512,32k-1M,17.184
flash_256k_L14,flash,4,65538,512,32k-1M,15.434
flash_256k_L16,flash,4,65538,512,32k-1M,14.259
flash_256k_L18,flash,4,65538,512,32k-1M,13.566
flash_256k_L20,flash,4,65538,512,32k-1M,13.981
flash_256k_L22,flash,4,65538,512,32k-1M,14.251
flash_256k_L24,flash,4,65538,512,32k-1M,19.776
flash_256k_L26,flash,4,65538,512,32k-1M,15.23
flash_256k_L28,flash,4,65538,512,32k-1M,16.28
flash_256k_L30,flash,4,65538,512,32k-1M,14.915
flash_256k_L32,flash,4,65538,512,32k-1M,17.373
flash_256k_L34,flash,4,65538,512,32k-1M,13.813
flash_256k_L36,flash,4,65538,512,32k-1M,13.534
flash_256k_L38,flash,4,65538,512,32k-1M,15.325
flash_256k_L40,flash,4,65538,512,32k-1M,14.194
flash_256k_L42,flash,4,65538,512,32k-1M,13.806
flash_32k_L02,flash,1,8195,512,32k-1M,9.701
flash_32k_L04,flash,1,8195,512,32k-1M,9.6
flash_32k_L06,flash,1,8195,512,32k-1M,11.032
flash_32k_L08,flash,1,8195,512,32k-1M,9.562
flash_32k_L10,flash,1,8195,512,32k-1M,9.624
flash_32k_L12,flash,1,8195,512,32k-1M,9.878
flash_32k_L14,flash,1,8195,512,32k-1M,9.648
flash_32k_L16,flash,1,8195,512,32k-1M,9.928
flash_32k_L18,flash,1,8195,512,32k-1M,9.582
flash_32k_L20,flash,1,8195,512,32k-1M,9.566
flash_32k_L22,flash,1,8195,512,32k-1M,9.741
flash_32k_L24,flash,1,8195,512,32k-1M,9.552
flash_32k_L26,flash,1,8195,512,32k-1M,9.658
flash_32k_L28,flash,1,8195,512,32k-1M,11.371
flash_32k_L30,flash,1,8195,512,32k-1M,9.458
flash_32k_L32,flash,1,8195,512,32k-1M,9.744
flash_32k_L34,flash,1,8195,512,32k-1M,9.642
