[gate] fails: 0

TAX: model,isl,BS,stock_us,mt_us,x_mt
v32,16k,16,16.0,15.6,1.022
v32,16k,64,19.2,17.5,1.099
v32,16k,256,28.3,24.7,1.144
v32,16k,1024,67.4,62.1,1.086
v32,64k,16,23.6,21.8,1.079
v32,64k,64,28.7,27.8,1.032
v32,64k,256,52.4,55.3,0.948
v32,64k,1024,128.8,132.1,0.975
v32,128k,16,23.8,23.5,1.014
v32,128k,64,34.3,34.6,0.994
v32,128k,256,80.7,79.8,1.012
v32,128k,1024,230.0,222.8,1.032
v32,256k,16,25.9,26.0,0.998
v32,256k,64,37.9,32.5,1.164
v32,256k,256,98.7,84.9,1.162
v32,256k,1024,281.4,255.8,1.100
pro,256k,16,20.4,21.2,0.962
pro,256k,64,23.8,24.0,0.993
pro,256k,256,48.3,42.0,1.151
pro,256k,1024,116.7,110.1,1.060
pro,512k,16,21.9,22.0,0.997
pro,512k,64,32.8,29.2,1.123
pro,512k,256,78.8,69.5,1.135
pro,512k,1024,220.2,206.7,1.065
pro,1024k,16,30.3,30.3,1.002
pro,1024k,64,43.3,43.3,0.999
pro,1024k,256,160.4,158.5,1.012
pro,1024k,1024,505.7,473.9,1.067
flash,512k,16,23.7,22.5,1.051
flash,512k,64,40.2,40.5,0.992
flash,512k,256,87.6,87.4,1.002
flash,512k,1024,232.4,232.3,1.000

REG: cell,BS,stock_us,mt_us,x_mt
flash_512k_L22,16,21.4,21.7,0.987
flash_512k_L22,64,30.2,30.3,0.998
flash_512k_L22,256,69.6,69.3,1.003
flash_512k_L22,1024,212.6,212.4,1.001
flash_1024k_L10,16,28.2,28.3,0.999
flash_1024k_L10,64,39.1,39.0,1.004
flash_1024k_L10,256,122.0,121.5,1.004
flash_1024k_L10,1024,405.9,406.2,0.999
pro_512k_L14,16,19.8,20.4,0.970
pro_512k_L14,64,28.4,28.7,0.992
pro_512k_L14,256,69.8,70.6,0.988
pro_512k_L14,1024,215.8,215.7,1.000
pro_1024k_L30,16,32.2,31.5,1.020
pro_1024k_L30,64,43.1,43.4,0.994
pro_1024k_L30,256,123.3,123.5,0.998
pro_1024k_L30,1024,408.5,410.6,0.995
v32_128k_L14,16,21.8,21.9,0.993
v32_128k_L14,64,32.1,32.2,0.995
v32_128k_L14,256,72.0,72.2,0.998
v32_128k_L14,1024,220.3,220.8,0.998
v32_256k_L34,16,24.1,24.0,1.003
v32_256k_L34,64,31.1,30.0,1.037
v32_256k_L34,256,84.0,82.7,1.016
v32_256k_L34,1024,255.8,252.1,1.015
v32_64k_L54,16,23.6,21.7,1.088
v32_64k_L54,64,25.4,23.8,1.070
v32_64k_L54,256,51.1,42.0,1.215
v32_64k_L54,1024,145.3,118.0,1.231
pro_64k_L30,16,15.5,15.7,0.988
pro_64k_L30,64,16.3,16.7,0.975
pro_64k_L30,256,23.7,20.6,1.154
pro_64k_L30,1024,60.7,51.5,1.178
flash_64k_L22,16,15.2,15.1,1.004
flash_64k_L22,64,15.5,15.5,1.000
flash_64k_L22,256,22.1,21.9,1.010
flash_64k_L22,1024,53.3,54.8,0.973
v32_16k_L14,16,15.5,15.5,1.000
v32_16k_L14,64,16.7,16.7,0.998
v32_16k_L14,256,23.3,23.3,1.001
v32_16k_L14,1024,58.8,59.2,0.993
