[gate] fails: 0

TAX: model,isl,BS,stock_us,mt_us,x_mt
v32,16k,16,16.2,16.2,1.002
v32,16k,64,18.6,18.2,1.021
v32,16k,256,28.8,24.9,1.155
v32,16k,1024,68.0,62.1,1.095
v32,64k,16,24.4,22.1,1.104
v32,64k,64,29.2,28.0,1.042
v32,64k,256,52.4,52.0,1.009
v32,64k,1024,129.4,127.8,1.012
v32,128k,16,23.3,22.8,1.021
v32,128k,64,35.3,34.8,1.014
v32,128k,256,81.2,80.3,1.012
v32,128k,1024,230.5,222.7,1.035
v32,256k,16,26.7,26.3,1.012
v32,256k,64,38.7,32.9,1.177
v32,256k,256,99.3,85.1,1.168
v32,256k,1024,281.0,256.4,1.096
pro,256k,16,21.0,20.4,1.028
pro,256k,64,24.6,24.2,1.017
pro,256k,256,49.3,41.7,1.184
pro,256k,1024,117.0,110.1,1.062
pro,512k,16,22.7,22.3,1.017
pro,512k,64,33.6,29.2,1.151
pro,512k,256,79.2,70.1,1.130
pro,512k,1024,221.2,208.0,1.063
pro,1024k,16,31.2,30.5,1.023
pro,1024k,64,44.3,43.5,1.018
pro,1024k,256,161.7,158.4,1.021
pro,1024k,1024,507.6,474.2,1.071
flash,512k,16,23.4,22.8,1.028
flash,512k,64,40.9,40.5,1.011
flash,512k,256,87.8,87.2,1.007
flash,512k,1024,233.0,233.0,1.000

REG: cell,BS,stock_us,mt_us,x_mt
flash_512k_L22,16,22.6,21.9,1.031
flash_512k_L22,64,30.7,29.7,1.036
flash_512k_L22,256,70.6,69.9,1.010
flash_512k_L22,1024,212.9,213.0,1.000
flash_1024k_L10,16,28.1,28.5,0.983
flash_1024k_L10,64,39.4,38.9,1.013
flash_1024k_L10,256,122.6,122.0,1.004
flash_1024k_L10,1024,406.9,406.6,1.001
pro_512k_L14,16,20.9,20.3,1.028
pro_512k_L14,64,29.3,28.9,1.017
pro_512k_L14,256,70.3,70.6,0.996
pro_512k_L14,1024,216.4,215.9,1.003
pro_1024k_L30,16,32.0,31.6,1.012
pro_1024k_L30,64,43.8,43.3,1.013
pro_1024k_L30,256,123.9,123.7,1.001
pro_1024k_L30,1024,409.5,411.1,0.996
v32_128k_L14,16,22.9,22.1,1.036
v32_128k_L14,64,32.8,32.4,1.015
v32_128k_L14,256,73.0,72.1,1.012
v32_128k_L14,1024,221.2,220.6,1.002
v32_256k_L34,16,24.9,24.3,1.024
v32_256k_L34,64,32.5,30.7,1.059
v32_256k_L34,256,85.1,83.3,1.022
v32_256k_L34,1024,257.4,252.6,1.019
v32_64k_L54,16,24.6,22.1,1.111
v32_64k_L54,64,26.8,24.1,1.114
v32_64k_L54,256,52.0,52.2,0.997
v32_64k_L54,1024,145.6,145.6,1.000
pro_64k_L30,16,16.4,16.1,1.018
pro_64k_L30,64,16.9,16.5,1.021
pro_64k_L30,256,23.9,20.7,1.154
pro_64k_L30,1024,61.7,51.6,1.195
flash_64k_L22,16,15.9,15.0,1.062
flash_64k_L22,64,16.5,16.3,1.016
flash_64k_L22,256,22.5,22.3,1.009
flash_64k_L22,1024,55.2,54.8,1.007
v32_16k_L14,16,16.2,15.9,1.014
v32_16k_L14,64,16.8,16.4,1.023
v32_16k_L14,256,23.4,22.8,1.025
v32_16k_L14,1024,59.8,59.4,1.006
