cell,BS,champ_us,pr_us,speedup,exact
flash_1024k_L10,1,22.186,21.19175,0.9552,OK
flash_1024k_L10,2,22.109,21.1133,0.955,OK
flash_1024k_L10,4,22.49,21.658900000000003,0.963,OK
flash_1024k_L10,8,29.031,23.148400000000002,0.7974,OK
flash_1024k_L10,16,29.936,23.990099999999998,0.8014,OK
flash_1024k_L10,32,23.281,27.13085,1.1654,OK
flash_1024k_L10,64,23.59,39.78515,1.6865,OK
flash_1024k_L10,128,23.705,81.6164,3.443,OK
flash_1024k_L10,256,23.753,151.95795,6.3975,OK
flash_1024k_L10,512,23.717,271.70509999999996,11.4562,OK
flash_1024k_L10,1024,23.967,519.713,21.6845,OK
flash_1024k_L22,1,20.929,20.778950000000002,0.9928,OK
flash_1024k_L22,2,21.349,20.81905,0.9752,OK
flash_1024k_L22,4,21.728,21.433349999999997,0.9864,OK
flash_1024k_L22,8,27.799,23.1869,0.8341,OK
flash_1024k_L22,16,28.592,24.12295,0.8437,OK
flash_1024k_L22,32,22.61,27.1644,1.2014,OK
flash_1024k_L22,64,22.613,39.0539,1.7271,OK
flash_1024k_L22,128,22.727,80.88865,3.5592,OK
flash_1024k_L22,256,22.744,151.04935,6.6413,OK
flash_1024k_L22,512,22.72,271.1442,11.934,OK
flash_1024k_L22,1024,22.993,517.36995,22.5012,OK
flash_1024k_L34,1,19.906,19.30695,0.9699,OK
flash_1024k_L34,2,19.942,19.4157,0.9736,OK
flash_1024k_L34,4,20.5,20.09095,0.9801,OK
flash_1024k_L34,8,26.834,22.1757,0.8264,OK
flash_1024k_L34,16,27.531,23.011,0.8358,OK
flash_1024k_L34,32,21.182,26.01725,1.2282,OK
flash_1024k_L34,64,21.215,38.305099999999996,1.8056,OK
flash_1024k_L34,128,21.369,62.27285,2.9141,OK
flash_1024k_L34,256,21.405,108.2084,5.0554,OK
flash_1024k_L34,512,21.634,198.40570000000002,9.1709,OK
flash_1024k_L34,1024,21.825,374.5765,17.1627,OK
flash_128k_L10,1,15.181,12.59515,0.8297,OK
flash_128k_L10,2,15.24,12.479899999999999,0.8189,OK
flash_128k_L10,4,15.346,12.77915,0.8328,OK
flash_128k_L10,8,15.262,12.736,0.8345,OK
flash_128k_L10,16,15.702,13.23335,0.8428,OK
flash_128k_L10,32,16.089,13.70825,0.852,OK
flash_128k_L10,64,16.57,14.2942,0.8627,OK
flash_128k_L10,128,16.546,15.33735,0.9269,OK
flash_128k_L10,256,16.667,20.934099999999997,1.2561,OK
flash_128k_L10,512,16.826,38.92275,2.3132,OK
flash_128k_L10,1024,17.089,67.77515,3.966,OK
flash_128k_L22,1,14.079,11.6271,0.8259,OK
flash_128k_L22,2,14.241,11.468549999999999,0.8053,OK
flash_128k_L22,4,14.39,11.788549999999999,0.8192,OK
flash_128k_L22,8,14.493,11.82855,0.8161,OK
flash_128k_L22,16,14.866,12.331,0.8295,OK
flash_128k_L22,32,15.321,12.731,0.8309,OK
flash_128k_L22,64,15.995,13.3615,0.8354,OK
flash_128k_L22,128,16.062,14.383799999999999,0.8955,OK
flash_128k_L22,256,15.747,19.747,1.254,OK
flash_128k_L22,512,15.877,36.876349999999995,2.3226,OK
flash_128k_L22,1024,16.194,63.5673,3.9254,OK
flash_128k_L34,1,14.15,12.014299999999999,0.8491,OK
flash_128k_L34,2,14.233,11.815850000000001,0.8302,OK
flash_128k_L34,4,14.324,11.9599,0.8349,OK
flash_128k_L34,8,14.482,12.0271,0.8305,OK
flash_128k_L34,16,14.649,12.483,0.8521,OK
flash_128k_L34,32,14.921,12.7757,0.8562,OK
flash_128k_L34,64,15.427,13.423950000000001,0.8702,OK
flash_128k_L34,128,15.972,14.4527,0.9049,OK
flash_128k_L34,256,15.941,19.69565,1.2355,OK
flash_128k_L34,512,16.15,36.83945,2.2811,OK
flash_128k_L34,1024,16.354,63.7624,3.8988,OK
flash_16k_L10,1,8.319,8.988700000000001,1.0805,OK
flash_16k_L10,2,8.409,8.92,1.0608,OK
flash_16k_L10,4,8.63,8.820450000000001,1.022,OK
flash_16k_L10,8,8.58,9.02075,1.0513,OK
flash_16k_L10,16,8.869,9.211,1.0386,OK
flash_16k_L10,32,9.09,9.288,1.0217,OK
flash_16k_L10,64,9.245,9.54195,1.0321,OK
flash_16k_L10,128,9.462,9.77735,1.0334,OK
flash_16k_L10,256,16.107,11.379100000000001,0.7065,OK
flash_16k_L10,512,10.321,20.5533,1.9915,OK
flash_16k_L10,1024,10.367,36.89395,3.5589,OK
flash_16k_L22,1,8.254,8.69745,1.0537,OK
flash_16k_L22,2,8.301,8.52635,1.0271,OK
flash_16k_L22,4,8.283,8.705549999999999,1.051,OK
flash_16k_L22,8,8.285,8.67665,1.0473,OK
flash_16k_L22,16,8.679,8.9086,1.0265,OK
flash_16k_L22,32,8.808,9.02535,1.0247,OK
flash_16k_L22,64,8.897,9.211049999999998,1.0354,OK
flash_16k_L22,128,9.197,9.54235,1.0375,OK
flash_16k_L22,256,15.904,10.961549999999999,0.6892,OK
flash_16k_L22,512,10.162,19.926099999999998,1.9609,OK
flash_16k_L22,1024,10.372,35.79475,3.451,OK
flash_16k_L34,1,8.36,8.82075,1.0552,OK
flash_16k_L34,2,8.401,8.51665,1.0137,OK
flash_16k_L34,4,8.61,8.61585,1.0007,OK
flash_16k_L34,8,8.57,8.73745,1.0195,OK
flash_16k_L34,16,8.577,8.7711,1.0226,OK
flash_16k_L34,32,8.749,9.02225,1.0313,OK
flash_16k_L34,64,8.9,9.251,1.0394,OK
flash_16k_L34,128,9.122,9.52465,1.0442,OK
flash_16k_L34,256,16.0,10.9566,0.6848,OK
flash_16k_L34,512,10.189,19.78855,1.9422,OK
flash_16k_L34,1024,10.524,35.564099999999996,3.3793,OK
flash_256k_L10,1,14.922,13.61895,0.9127,OK
flash_256k_L10,2,15.18,14.06705,0.9267,OK
