cell,K,npad,h,vK,c_minhint,c_m1d8,c_m2d8,c_m4d8,c_m6d8,c_m7d8,rank_hK_count
flash_4k_L10,512,1088,0.846,-0.74927,912,64,129,264,428,548,511
flash_8k_L10,512,2112,0.672,1.03378,1819,74,149,333,612,849,510
flash_16k_L10,512,4160,0.648,-0.49961,3212,69,144,345,657,999,512
flash_32k_L10,512,8256,0.723,0.76996,3057,65,134,301,542,835,510
flash_64k_L10,512,16448,0.582,0.12754,4098,69,154,400,874,1249,507
flash_128k_L10,512,32832,0.523,0.67237,9169,74,171,473,1058,1749,510
flash_256k_L10,512,65600,0.193,0.80700,54710,282,749,2998,8772,14944,506
flash_512k_L10,512,131136,0.455,1.33094,34164,78,194,659,1889,4458,507
flash_1024k_L10,512,262144,0.385,1.84614,25726,91,246,899,2427,4281,507
flash_4k_L22,512,1088,0.639,0.24031,1016,82,172,368,630,784,509
flash_8k_L22,512,2112,0.334,-0.80691,2051,176,369,828,1450,1777,508
flash_16k_L22,512,4160,0.344,0.72711,3955,127,324,811,1503,2165,504
flash_32k_L22,512,8256,0.686,-0.36357,3500,66,136,324,596,943,511
flash_64k_L22,512,16448,0.076,2.23719,16354,847,2165,5681,9561,12656,484
flash_128k_L22,512,32832,0.701,0.44158,3301,64,131,305,626,973,512
flash_256k_L22,512,65600,0.279,0.40792,38997,158,411,1887,6172,12770,499
flash_512k_L22,512,131136,0.057,1.74944,129703,1468,4424,18094,52951,85838,447
flash_1024k_L22,512,262144,0.422,2.43559,46082,75,221,715,2104,4835,512
flash_4k_L34,512,1088,0.695,-1.22115,1017,86,171,353,553,700,512
flash_8k_L34,512,2112,0.611,-0.11430,1843,70,147,381,746,1071,509
flash_16k_L34,512,4160,0.348,-0.50001,3840,186,355,744,1266,1780,511
flash_32k_L34,512,8256,0.670,-0.16016,2125,64,137,328,612,861,512
flash_64k_L34,512,16448,0.145,0.38316,15898,410,1050,2424,4560,6398,512
flash_128k_L34,512,32832,0.688,0.13335,3947,64,137,316,594,889,504
flash_256k_L34,512,65600,0.631,-0.11855,10811,64,133,346,773,1685,509
flash_512k_L34,512,131136,0.283,0.84164,46979,103,380,1799,6753,11552,510
flash_1024k_L34,512,262144,0.379,1.56070,8656,71,230,780,1636,2756,509
pro_4k_L14,1024,1088,0.997,-1.54474,1027,128,256,512,768,896,1023
pro_8k_L14,1024,2112,0.830,-1.29437,1991,128,257,535,883,1122,1022
pro_16k_L14,1024,4160,0.773,-0.89239,3636,128,256,539,973,1336,1024
pro_32k_L14,1024,8256,0.874,-0.38219,2106,128,256,514,820,1025,1024
pro_64k_L14,1024,16448,0.606,-0.21293,10790,135,287,726,1666,2765,1020
pro_128k_L14,1024,32832,0.812,-0.09467,2981,128,256,522,860,1176,1020
pro_256k_L14,1024,65600,0.799,0.13583,3340,128,258,536,919,1245,1023
pro_512k_L14,1024,131136,0.780,0.39224,4614,128,257,541,956,1345,1018
pro_1024k_L14,1024,262144,0.710,0.64129,7505,128,261,578,1124,1755,1024
pro_4k_L30,1024,1088,0.998,-2.94486,1027,128,256,512,768,897,1024
pro_8k_L30,1024,2112,0.461,-0.06818,2049,294,572,1091,1607,1833,1023
pro_16k_L30,1024,4160,0.739,-0.98858,3027,130,266,599,1044,1424,1024
pro_32k_L30,1024,8256,0.530,-0.80560,7517,151,341,910,2190,3481,1020
pro_64k_L30,1024,16448,0.312,-0.57075,16108,222,718,2297,5572,8580,1023
pro_128k_L30,1024,32832,0.326,-0.47215,31587,193,630,2277,7281,12950,1019
pro_256k_L30,1024,65600,0.358,-0.33158,53906,168,553,2360,7845,14298,1023
pro_512k_L30,1024,131136,0.230,-0.28898,112885,229,1327,6299,17895,32094,1011
pro_1024k_L30,1024,262144,0.267,0.81151,189051,154,844,4877,20555,41927,1000
pro_4k_L46,1024,1088,0.998,-3.92798,1026,128,256,512,768,896,1024
pro_8k_L46,1024,2112,0.611,-1.88075,2049,162,373,797,1320,1635,1021
pro_16k_L46,1024,4160,0.829,-1.72392,3332,128,256,526,860,1149,1024
pro_32k_L46,1024,8256,0.752,-2.08323,3842,128,258,565,1018,1449,1024
pro_64k_L46,1024,16448,0.519,-1.74832,13941,130,310,960,2209,3646,1023
pro_128k_L46,1024,32832,0.609,-2.08870,16780,128,269,704,1785,3148,1023
pro_256k_L46,1024,65600,0.709,-1.31503,16069,128,256,564,1162,1931,1019
pro_512k_L46,1024,131136,0.664,-1.00317,12337,128,259,600,1382,2232,1017
pro_1024k_L46,1024,262144,0.640,-0.37445,77672,128,257,616,1637,4007,1024
v32_4k_L14,2048,4160,0.810,-4.26984,3802,257,523,1091,1812,2336,2048
v32_8k_L14,2048,8256,0.923,-3.97266,3255,257,513,1025,1555,1887,2046
v32_16k_L14,2048,16448,0.902,-5.17646,3357,257,513,1027,1593,1952,2048
v32_32k_L14,2048,32832,0.758,-4.83853,17075,261,528,1131,2008,2909,2047
v32_64k_L14,2048,65600,0.854,-4.49796,4871,257,513,1027,1653,2161,2045
v32_128k_L14,2048,131136,0.904,-4.24232,5684,257,513,1030,1589,1947,2046
v32_256k_L14,2048,163776,0.913,-4.14077,4739,257,513,1028,1585,1923,2048
v32_4k_L34,2048,4160,0.729,-5.43907,4110,258,541,1215,2173,2814,2045
v32_8k_L34,2048,8256,0.842,-5.04544,5536,257,513,1033,1702,2235,2047
v32_16k_L34,2048,16448,0.533,-3.72782,15174,297,663,1850,4005,5773,2048
v32_32k_L34,2048,32832,0.429,-5.58076,31266,306,840,2732,7245,12677,2046
v32_64k_L34,2048,65600,0.406,-5.07554,64217,275,743,3528,13345,28351,2040
v32_128k_L34,2048,131136,0.620,-4.35769,22088,257,544,1381,3198,5073,2044
v32_256k_L34,2048,163776,0.865,-5.09732,4425,257,513,1027,1629,2109,2048
v32_4k_L54,2048,4160,0.719,-4.24672,3999,260,550,1232,2179,2796,2047
v32_8k_L54,2048,8256,0.908,-5.62175,4045,257,513,1025,1570,1918,2046
v32_16k_L54,2048,16448,0.676,-3.30011,12737,263,535,1238,2581,4155,2048
v32_32k_L54,2048,32832,0.512,-6.10201,22293,277,647,1974,4729,7880,2047
v32_64k_L54,2048,65600,0.745,-5.68119,20736,257,519,1111,2076,3027,2043
v32_128k_L54,2048,131136,0.930,-5.63710,3320,257,513,1025,1551,1845,2046
v32_256k_L54,2048,163776,0.865,-4.64759,6343,257,514,1042,1642,2106,2046
