model,isl,L,K,npad,h,onepass6,onepass8,best_c
flash,1024k,2,512,262144,0.514,1,1,715
flash,1024k,4,512,262144,0.703,1,1,584
flash,1024k,6,512,262144,0.684,1,1,615
flash,1024k,8,512,262144,0.627,1,1,760
flash,1024k,10,512,262144,0.385,1,1,899
flash,1024k,12,512,262144,0.285,1,1,794
flash,1024k,14,512,262144,0.357,1,1,547
flash,1024k,16,512,262144,0.262,1,1,1551
flash,1024k,18,512,262144,0.312,1,1,712
flash,1024k,20,512,262144,0.566,1,1,626
flash,1024k,22,512,262144,0.422,1,1,715
flash,1024k,24,512,262144,0.488,1,1,536
flash,1024k,26,512,262144,0.578,1,1,619
flash,1024k,28,512,262144,0.660,1,1,709
flash,1024k,30,512,262144,0.514,1,1,790
flash,1024k,32,512,262144,0.424,1,1,727
flash,1024k,34,512,262144,0.379,1,1,780
flash,1024k,36,512,262144,0.838,1,1,576
flash,1024k,38,512,262144,0.619,1,1,528
flash,1024k,40,512,262144,0.381,1,1,1107
flash,1024k,42,512,262144,0.758,1,1,716
flash,128k,2,512,32832,0.604,1,1,547
flash,128k,4,512,32832,0.805,1,1,621
flash,128k,6,512,32832,0.637,1,1,715
flash,128k,8,512,32832,0.742,1,1,524
flash,128k,10,512,32832,0.523,1,1,703
flash,128k,12,512,32832,0.490,1,1,543
flash,128k,14,512,32832,0.578,1,1,603
flash,128k,16,512,32832,0.564,1,1,626
flash,128k,18,512,32832,0.637,1,1,758
flash,128k,20,512,32832,0.785,1,1,690
flash,128k,22,512,32832,0.701,1,1,626
flash,128k,24,512,32832,0.609,1,1,548
flash,128k,26,512,32832,0.744,1,1,520
flash,128k,28,512,32832,0.855,1,1,535
flash,128k,30,512,32832,0.777,1,1,651
flash,128k,32,512,32832,0.475,1,1,566
flash,128k,34,512,32832,0.688,1,1,594
flash,128k,36,512,32832,0.898,1,1,745
flash,128k,38,512,32832,0.727,1,1,552
flash,128k,40,512,32832,0.832,1,1,572
flash,128k,42,512,32832,0.863,1,1,521
flash,256k,2,512,65600,0.303,1,1,777
flash,256k,4,512,65600,0.184,1,1,908
flash,256k,6,512,65600,0.303,1,1,779
flash,256k,8,512,65600,0.158,1,1,890
