
== aggregate per (AR,HS,variant) ==
  ('AR4', 2, 'a4_2580'): 587/677
  ('AR4', 2, 'a4_2587'): 554/677
  ('AR4', 2, 'a4_3070'): 596/677
  ('AR4', 2, 'a4_3075'): 602/677
  ('AR4', 2, 'a4_3085'): 571/677
  ('AR4', 2, 'a4_3570'): 600/677
  ('AR4', 2, 'a4_5085'): 640/677
  ('AR4', 2, 'a4_5090'): 630/677
  ('AR4', 2, 'a4_5588'): 646/677
  ('AR4', 2, 'a4_6090'): 639/677
  ('AR4', 2, 'stock'): 575/677
  ('AR4', 4, 'a4_2580'): 48/60
  ('AR4', 4, 'a4_2587'): 46/60
  ('AR4', 4, 'a4_3070'): 56/60
  ('AR4', 4, 'a4_3075'): 50/60
  ('AR4', 4, 'a4_3085'): 48/60
  ('AR4', 4, 'a4_3570'): 58/60
  ('AR4', 4, 'a4_5085'): 50/60
  ('AR4', 4, 'a4_5090'): 50/60
  ('AR4', 4, 'a4_5588'): 48/60
  ('AR4', 4, 'a4_6090'): 48/60
  ('AR4', 4, 'stock'): 46/60
  ('AR6', 1, 'a6_hi'): 19/21
  ('AR6', 1, 'a6_shift'): 20/21
  ('AR6', 1, 'stock'): 21/21
  ('AR6', 2, 'a6_hi'): 233/234
  ('AR6', 2, 'a6_shift'): 233/234
  ('AR6', 2, 'stock'): 232/234
  ('AR6', 4, 'a6_hi'): 375/380
  ('AR6', 4, 'a6_shift'): 379/380
  ('AR6', 4, 'stock'): 372/380
