
== aggregate per (AR,HS,variant) ==
  ('AR4', 2, 'a4_3070'): 596/677
  ('AR4', 2, 'a4_3575'): 609/677
  ('AR4', 2, 'a4_4080'): 624/677
  ('AR4', 2, 'a4_5085'): 640/677
  ('AR4', 2, 'stock'): 575/677
  ('AR4', 4, 'a4_3070'): 56/60
  ('AR4', 4, 'a4_3575'): 52/60
  ('AR4', 4, 'a4_4080'): 52/60
  ('AR4', 4, 'a4_5085'): 50/60
  ('AR4', 4, 'stock'): 46/60
  ('AR6', 1, 'a6_shift'): 20/21
  ('AR6', 1, 'stock'): 21/21
  ('AR6', 2, 'a6_shift'): 233/234
  ('AR6', 2, 'stock'): 232/234
  ('AR6', 4, 'a6_shift'): 379/380
  ('AR6', 4, 'stock'): 372/380
