model,isl,BS,n_layers,n_p0,hetero_us,p0only_us,tax
v32,64k,16,58,54,23.3,23.1,1.008
v32,64k,64,58,54,29.6,28.0,1.056
v32,64k,256,58,54,52.3,51.6,1.013
v32,64k,1024,58,54,128.8,128.9,0.999
v32,16k,16,58,58,16.0,15.5,1.035
v32,16k,64,58,58,17.5,17.0,1.030
v32,16k,256,58,58,28.0,28.0,1.001
v32,16k,1024,58,58,67.3,67.7,0.995
v32,256k,16,58,46,25.2,25.7,0.984
v32,256k,64,58,46,38.1,35.6,1.070
v32,256k,256,58,46,98.7,87.6,1.126
v32,256k,1024,58,46,281.2,261.8,1.074
v32,128k,16,58,53,22.7,23.4,0.970
v32,128k,64,58,53,34.5,34.3,1.007
v32,128k,256,58,53,81.1,73.4,1.104
v32,128k,1024,58,53,229.3,218.8,1.048
pro,512k,16,30,30,22.0,21.5,1.024
pro,512k,64,30,30,33.0,32.7,1.009
pro,512k,256,30,30,78.8,78.4,1.004
pro,512k,1024,30,30,220.4,220.0,1.002
pro,1024k,16,30,29,30.1,30.0,1.003
pro,1024k,64,30,29,42.7,43.1,0.990
pro,1024k,256,30,29,160.9,143.3,1.123
pro,1024k,1024,30,29,505.4,482.1,1.048
pro,256k,16,30,30,19.9,19.9,1.002
pro,256k,64,30,30,23.6,23.4,1.011
pro,256k,256,30,30,48.3,48.7,0.991
pro,256k,1024,30,30,115.8,116.6,0.993
flash,512k,16,21,20,23.5,21.3,1.101
flash,512k,64,21,20,40.2,29.7,1.352
flash,512k,256,21,20,88.0,69.2,1.271
flash,512k,1024,21,20,232.9,203.9,1.142
