group,BS,nlayers,t_het_us,t_rep_mean_us,t_rep_max_us,tax_est
v32_64k,16,58,30.3,26.1,31.5,1.161
v32_64k,64,58,53.6,45.5,56.1,1.178
v32_64k,256,58,162.8,157.4,199.0,1.034
v32_128k,16,58,46.7,45.4,54.7,1.028
v32_128k,64,58,104.6,103.5,126.5,1.010
v32_128k,256,58,345.8,351.7,435.3,0.983
v32_256k,16,58,49.2,48.0,61.2,1.026
v32_256k,64,58,113.8,110.4,143.1,1.030
v32_256k,256,58,370.9,374.5,491.5,0.990
pro_256k,16,30,26.1,22.5,25.3,1.162
pro_256k,64,30,41.1,38.2,43.7,1.075
pro_256k,256,30,129.6,128.8,153.1,1.006
pro_512k,16,30,36.8,39.1,47.0,0.940
pro_512k,64,30,90.1,88.2,105.0,1.022
pro_512k,256,30,298.1,294.8,356.0,1.011
pro_1024k,16,30,45.5,49.4,64.0,0.922
pro_1024k,64,30,113.1,116.0,153.8,0.975
pro_1024k,256,30,378.1,387.1,520.7,0.977
flash_256k,16,21,26.4,21.5,26.1,1.228
flash_256k,64,21,40.8,36.8,46.8,1.109
flash_256k,256,21,124.5,122.7,161.7,1.015
flash_512k,16,21,37.0,38.2,47.1,0.968
flash_512k,64,21,80.3,85.7,110.7,0.937
flash_512k,256,21,283.2,285.3,374.1,0.993
