group,BS,variant,def_us,var_us,x_var
flash_64k,16,v3port,19.4,19.2,1.010
flash_64k,64,v3port,20.0,19.6,1.021
flash_64k,256,v3port,30.0,30.8,0.973
flash_64k,1024,v3port,81.7,83.9,0.974
flash_128k,16,v3port,20.2,22.1,0.917
flash_128k,64,v3port,24.1,23.4,1.030
flash_128k,256,v3port,36.6,39.1,0.935
flash_128k,1024,v3port,102.5,112.7,0.909
flash_512k,16,v3port,38.0,36.3,1.048
flash_512k,64,v3port,81.2,83.2,0.976
flash_512k,256,v3port,283.0,292.5,0.967
flash_512k,1024,v3port,1086.4,1107.9,0.981
flash_1024k,16,v3port,47.0,45.0,1.045
flash_1024k,64,v3port,100.8,105.9,0.952
flash_1024k,256,v3port,334.7,360.4,0.929
flash_1024k,1024,v3port,1275.5,1371.9,0.930
v32_16k,16,wide,22.1,21.3,1.036
v32_16k,64,wide,23.6,21.7,1.088
v32_16k,256,wide,36.3,34.6,1.047
v32_16k,1024,wide,100.6,100.3,1.004
v32_32k,16,wide,25.7,23.9,1.077
v32_32k,64,wide,25.8,26.6,0.971
v32_32k,256,wide,42.6,44.1,0.967
v32_32k,1024,wide,121.4,127.8,0.950
v32_256k,16,wide,49.0,44.1,1.110
v32_256k,64,wide,113.7,103.8,1.095
v32_256k,256,wide,371.7,347.7,1.069
v32_256k,1024,wide,1415.2,1324.2,1.069
pro_1024k,16,m1lo,45.4,46.3,0.981
pro_1024k,64,m1lo,113.8,114.7,0.992
pro_1024k,256,m1lo,377.6,378.4,0.998
pro_1024k,1024,m1lo,1469.0,1478.9,0.993
