group,BS,variant,def_us,var_us,x_var
v32_64k,16,v3port,30.1,26.5,1.135
v32_64k,16,wide,30.0,24.8,1.208
v32_64k,64,v3port,52.9,50.3,1.052
v32_64k,64,wide,52.9,48.5,1.092
v32_64k,256,v3port,163.0,166.4,0.980
v32_64k,256,wide,162.5,166.0,0.979
pro_256k,16,v3port,24.8,25.9,0.957
pro_256k,16,m1lo,25.7,25.0,1.028
pro_256k,64,v3port,41.1,43.1,0.953
pro_256k,64,m1lo,41.1,42.1,0.978
pro_256k,256,v3port,129.6,136.8,0.947
pro_256k,256,m1lo,129.7,133.1,0.974
flash_256k,16,v3port,25.7,21.5,1.195
flash_256k,16,m1lo,25.7,26.3,0.978
flash_256k,64,v3port,40.8,39.0,1.048
flash_256k,64,m1lo,40.9,40.4,1.012
flash_256k,256,v3port,124.2,119.0,1.044
flash_256k,256,m1lo,124.2,121.9,1.019
v32_128k,16,v3port,46.8,42.1,1.112
v32_128k,16,wide,46.4,42.5,1.093
v32_128k,64,v3port,104.5,98.7,1.058
v32_128k,64,wide,104.4,98.0,1.065
v32_128k,256,v3port,345.7,339.3,1.019
v32_128k,256,wide,345.8,337.0,1.026
pro_512k,16,v3port,36.9,37.5,0.984
pro_512k,16,m1lo,36.9,36.7,1.007
pro_512k,64,v3port,89.9,91.3,0.984
pro_512k,64,m1lo,89.8,88.6,1.014
pro_512k,256,v3port,298.5,309.6,0.964
pro_512k,256,m1lo,298.6,301.2,0.991
