cell,K,npad,passes,descent
flash_4k_L10,512,1088,direct,
flash_8k_L10,512,2112,direct,
flash_16k_L10,512,4160,direct,
flash_32k_L10,512,8256,direct,
flash_64k_L10,512,16448,0,0
flash_128k_L10,512,32832,0,0
flash_256k_L10,512,65600,0,0
flash_512k_L10,512,131136,0,0
flash_1024k_L10,512,262144,0,0
flash_4k_L22,512,1088,direct,
flash_8k_L22,512,2112,direct,
flash_16k_L22,512,4160,direct,
flash_32k_L22,512,8256,direct,
flash_64k_L22,512,16448,0,0
flash_128k_L22,512,32832,0,0
flash_256k_L22,512,65600,0,0
flash_512k_L22,512,131136,0,0
flash_1024k_L22,512,262144,0,0
flash_4k_L34,512,1088,direct,
flash_8k_L34,512,2112,direct,
flash_16k_L34,512,4160,direct,
flash_32k_L34,512,8256,direct,
flash_64k_L34,512,16448,0,0
flash_128k_L34,512,32832,0,0
flash_256k_L34,512,65600,0,0
flash_512k_L34,512,131136,0,0
flash_1024k_L34,512,262144,0,0
pro_4k_L14,1024,1088,direct,
pro_8k_L14,1024,2112,direct,
pro_16k_L14,1024,4160,direct,
pro_32k_L14,1024,8256,direct,
pro_64k_L14,1024,16448,0,0
pro_128k_L14,1024,32832,0,0
pro_256k_L14,1024,65600,0,0
pro_512k_L14,1024,131136,0,0
pro_1024k_L14,1024,262144,0,0
pro_4k_L30,1024,1088,direct,
pro_8k_L30,1024,2112,direct,
pro_16k_L30,1024,4160,direct,
pro_32k_L30,1024,8256,direct,
pro_64k_L30,1024,16448,0,0
pro_128k_L30,1024,32832,0,0
pro_256k_L30,1024,65600,0,0
pro_512k_L30,1024,131136,0,0
pro_1024k_L30,1024,262144,0,0
pro_4k_L46,1024,1088,direct,
pro_8k_L46,1024,2112,direct,
pro_16k_L46,1024,4160,direct,
pro_32k_L46,1024,8256,direct,
pro_64k_L46,1024,16448,0,0
pro_128k_L46,1024,32832,0,0
pro_256k_L46,1024,65600,0,0
pro_512k_L46,1024,131136,0,0
pro_1024k_L46,1024,262144,0,0
v32_4k_L14,2048,4160,direct,
v32_8k_L14,2048,8256,direct,
v32_16k_L14,2048,16448,0,0
v32_32k_L14,2048,32832,0,0
v32_64k_L14,2048,65600,0,0
v32_128k_L14,2048,131136,0,0
v32_256k_L14,2048,163776,0,0
v32_4k_L34,2048,4160,direct,
v32_8k_L34,2048,8256,direct,
v32_16k_L34,2048,16448,0,0
v32_32k_L34,2048,32832,0,0
v32_64k_L34,2048,65600,0,0
v32_128k_L34,2048,131136,0,0
v32_256k_L34,2048,163776,0,0
v32_4k_L54,2048,4160,direct,
v32_8k_L54,2048,8256,direct,
v32_16k_L54,2048,16448,0,0
v32_32k_L54,2048,32832,0,0
v32_64k_L54,2048,65600,0,0
v32_128k_L54,2048,131136,0,0
v32_256k_L54,2048,163776,0,0
