model,isl,BS,nrows_distinct,npad,pass_hist,descent_rows
flash,1024k,16,21,262144,p0:16,0
flash,1024k,64,21,262144,p0:64,0
flash,1024k,256,21,262144,p0:256,0
flash,1024k,1024,21,262144,p0:1024,0
flash,128k,16,21,32832,p0:16,0
flash,128k,64,21,32832,p0:64,0
flash,128k,256,21,32832,p0:256,0
flash,128k,1024,21,32832,p0:1024,0
flash,16k,-,21,4160,direct-path,skip
flash,256k,16,21,65600,p0:16,0
flash,256k,64,21,65600,p0:64,0
flash,256k,256,21,65600,p0:256,0
flash,256k,1024,21,65600,p0:1024,0
flash,32k,-,21,8256,direct-path,skip
flash,4k,-,21,1088,direct-path,skip
flash,512k,16,21,131136,p0:16,0
flash,512k,64,21,131136,p0:61 p2:3,0
flash,512k,256,21,131136,p0:244 p2:12,0
flash,512k,1024,21,131136,p0:975 p2:49,0
flash,64k,16,21,16448,p0:16,0
flash,64k,64,21,16448,p0:64,0
flash,64k,256,21,16448,p0:256,0
flash,64k,1024,21,16448,p0:1024,0
flash,8k,-,21,2112,direct-path,skip
pro,1024k,16,30,262144,p0:16,0
pro,1024k,64,30,262144,p0:64,0
pro,1024k,256,30,262144,p0:200 p1:48 p2:8,0
pro,1024k,1024,30,262144,p0:786 p1:204 p2:34,0
pro,128k,16,30,32832,p0:16,0
pro,128k,64,30,32832,p0:64,0
pro,128k,256,30,32832,p0:256,0
pro,128k,1024,30,32832,p0:1024,0
pro,16k,-,30,4160,direct-path,skip
pro,256k,16,30,65600,p0:16,0
pro,256k,64,30,65600,p0:64,0
pro,256k,256,30,65600,p0:240 p1:16,0
pro,256k,1024,30,65600,p0:956 p1:68,0
pro,32k,-,30,8256,direct-path,skip
pro,4k,-,30,1088,direct-path,skip
pro,512k,16,30,131136,p0:16,0
pro,512k,64,30,131136,p0:56 p1:8,0
pro,512k,256,30,131136,p0:224 p1:32,0
pro,512k,1024,30,131136,p0:888 p1:136,0
pro,64k,16,30,16448,p0:16,0
pro,64k,64,30,16448,p0:64,0
pro,64k,256,30,16448,p0:256,0
pro,64k,1024,30,16448,p0:1024,0
pro,8k,-,30,2112,direct-path,skip
v32,128k,16,58,131136,p0:16,0
v32,128k,64,58,131136,p0:58 p1:6,0
v32,128k,256,58,131136,p0:234 p1:22,0
v32,128k,1024,58,131136,p0:935 p1:89,0
v32,16k,16,58,16448,p0:16,0
v32,16k,64,58,16448,p0:64,0
v32,16k,256,58,16448,p0:189 p1:67,0
v32,16k,1024,58,16448,p0:760 p1:264,0
v32,256k,16,58,163776,p0:16,0
v32,256k,64,58,163776,p0:49 p1:15,0
v32,256k,256,58,163776,p0:198 p1:58,0
v32,256k,1024,58,163776,p0:810 p1:214,0
v32,32k,16,58,32832,p0:16,0
v32,32k,64,58,32832,p0:64,0
v32,32k,256,58,32832,p0:256,0
v32,32k,1024,58,32832,p0:1024,0
v32,4k,-,58,4160,direct-path,skip
v32,64k,16,58,65600,p0:16,0
v32,64k,64,58,65600,p0:60 p1:4,0
v32,64k,256,58,65600,p0:187 p1:69,0
v32,64k,1024,58,65600,p0:745 p1:279,0
v32,8k,-,58,8256,direct-path,skip
