cell,N,model,BS,cand_us,pr_us,speedup,exact
flash_4k_L10,1027,flash,1,4.474,7.552,1.6879,OK
flash_4k_L10,1027,flash,2,4.462,7.69435,1.7244,OK
flash_4k_L10,1027,flash,4,4.497,7.50535,1.6689,OK
flash_4k_L10,1027,flash,8,4.501,7.5855500000000005,1.6853,OK
flash_4k_L10,1027,flash,16,4.501,7.93915,1.7638,OK
flash_4k_L10,1027,flash,32,4.539,8.0496,1.7735,OK
flash_4k_L10,1027,flash,64,4.622,8.0448,1.7405,OK
flash_4k_L10,1027,flash,128,4.717,8.327950000000001,1.7656,OK
flash_4k_L10,1027,flash,256,6.406,9.343950000000001,1.4585,OK
flash_4k_L10,1027,flash,512,11.309,17.1677,1.518,OK
flash_4k_L10,1027,flash,1024,20.469,31.7323,1.5503,OK
flash_4k_L22,1027,flash,1,3.894,7.44795,1.9128,OK
flash_4k_L22,1027,flash,2,3.946,7.6223,1.9316,OK
flash_4k_L22,1027,flash,4,3.956,7.44475,1.8817,OK
flash_4k_L22,1027,flash,8,4.007,7.56155,1.8871,OK
flash_4k_L22,1027,flash,16,4.294,7.95665,1.8528,OK
flash_4k_L22,1027,flash,32,4.422,7.95185,1.7984,OK
flash_4k_L22,1027,flash,64,4.497,8.04945,1.7899,OK
flash_4k_L22,1027,flash,128,4.624,8.3632,1.8087,OK
flash_4k_L22,1027,flash,256,5.863,9.33105,1.5915,OK
flash_4k_L22,1027,flash,512,10.135,17.166150000000002,1.6938,OK
flash_4k_L22,1027,flash,1024,18.077,31.5517,1.7455,OK
flash_4k_L34,1027,flash,1,4.013,7.779100000000001,1.9386,OK
flash_4k_L34,1027,flash,2,4.058,7.89595,1.946,OK
flash_4k_L34,1027,flash,4,4.051,7.75835,1.9151,OK
flash_4k_L34,1027,flash,8,4.084,7.7166999999999994,1.8896,OK
flash_4k_L34,1027,flash,16,4.381,8.02395,1.8316,OK
flash_4k_L34,1027,flash,32,4.504,8.1824,1.8166,OK
flash_4k_L34,1027,flash,64,4.587,8.14705,1.7762,OK
flash_4k_L34,1027,flash,128,4.696,8.3455,1.7771,OK
flash_4k_L34,1027,flash,256,6.429,9.43515,1.4677,OK
flash_4k_L34,1027,flash,512,11.322,17.2845,1.5266,OK
flash_4k_L34,1027,flash,1024,20.496,31.91755,1.5573,OK
flash_8k_L10,2051,flash,1,4.575,7.990399999999999,1.7467,OK
flash_8k_L10,2051,flash,2,4.572,8.07675,1.7665,OK
flash_8k_L10,2051,flash,4,4.63,7.8527,1.6959,OK
flash_8k_L10,2051,flash,8,4.635,8.0591,1.7388,OK
flash_8k_L10,2051,flash,16,4.927,8.184,1.6612,OK
flash_8k_L10,2051,flash,32,5.078,8.357700000000001,1.646,OK
flash_8k_L10,2051,flash,64,5.176,8.389850000000001,1.621,OK
flash_8k_L10,2051,flash,128,5.336,8.8464,1.6578,OK
flash_8k_L10,2051,flash,256,8.027,9.9229,1.2361,OK
flash_8k_L10,2051,flash,512,14.316,18.19975,1.2713,OK
flash_8k_L10,2051,flash,1024,25.972,32.665099999999995,1.2577,OK
flash_8k_L22,2051,flash,1,4.388,7.9038,1.8011,OK
flash_8k_L22,2051,flash,2,4.431,8.03345,1.8129,OK
flash_8k_L22,2051,flash,4,4.441,7.90715,1.7805,OK
flash_8k_L22,2051,flash,8,4.534,8.0111,1.7668,OK
flash_8k_L22,2051,flash,16,4.78,8.15185,1.7054,OK
flash_8k_L22,2051,flash,32,4.957,8.2958,1.6736,OK
flash_8k_L22,2051,flash,64,5.031,8.4255,1.6747,OK
flash_8k_L22,2051,flash,128,5.213,8.79825,1.6876,OK
flash_8k_L22,2051,flash,256,8.102,9.8879,1.2204,OK
flash_8k_L22,2051,flash,512,14.25,17.8959,1.2558,OK
flash_8k_L22,2051,flash,1024,26.023,32.21405,1.2379,OK
flash_8k_L34,2051,flash,1,4.453,8.2479,1.8522,OK
flash_8k_L34,2051,flash,2,4.44,8.3695,1.8852,OK
flash_8k_L34,2051,flash,4,4.488,8.1982,1.8268,OK
flash_8k_L34,2051,flash,8,4.541,8.3632,1.8418,OK
flash_8k_L34,2051,flash,16,4.837,8.5007,1.7574,OK
flash_8k_L34,2051,flash,32,4.914,8.5118,1.732,OK
flash_8k_L34,2051,flash,64,4.995,8.62065,1.726,OK
flash_8k_L34,2051,flash,128,5.192,9.0255,1.7383,OK
flash_8k_L34,2051,flash,256,7.41,10.271799999999999,1.3862,OK
flash_8k_L34,2051,flash,512,12.91,18.6494,1.4446,OK
flash_8k_L34,2051,flash,1024,23.286,33.1742,1.4246,OK
flash_16k_L10,4099,flash,1,4.383,8.988700000000001,2.0507,OK
flash_16k_L10,4099,flash,2,4.5,8.92,1.9823,OK
flash_16k_L10,4099,flash,4,4.675,8.820450000000001,1.8866,OK
flash_16k_L10,4099,flash,8,4.637,9.02075,1.9452,OK
flash_16k_L10,4099,flash,16,4.994,9.211,1.8445,OK
flash_16k_L10,4099,flash,32,5.096,9.288,1.8225,OK
flash_16k_L10,4099,flash,64,5.249,9.54195,1.818,OK
flash_16k_L10,4099,flash,128,5.535,9.77735,1.7666,OK
flash_16k_L10,4099,flash,256,10.47,11.379100000000001,1.0868,OK
flash_16k_L10,4099,flash,512,18.595,20.5533,1.1053,OK
flash_16k_L10,4099,flash,1024,33.588,36.89395,1.0984,OK
flash_16k_L22,4099,flash,1,5.766,8.69745,1.5083,OK
flash_16k_L22,4099,flash,2,5.912,8.52635,1.4423,OK
flash_16k_L22,4099,flash,4,6.022,8.705549999999999,1.4457,OK
flash_16k_L22,4099,flash,8,6.032,8.67665,1.4385,OK
flash_16k_L22,4099,flash,16,6.26,8.9086,1.4232,OK
flash_16k_L22,4099,flash,32,6.477,9.02535,1.3934,OK
flash_16k_L22,4099,flash,64,6.55,9.211049999999998,1.4062,OK
flash_16k_L22,4099,flash,128,6.836,9.54235,1.3959,OK
flash_16k_L22,4099,flash,256,11.905,10.961549999999999,0.9207,OK
flash_16k_L22,4099,flash,512,21.543,19.926099999999998,0.925,OK
flash_16k_L22,4099,flash,1024,39.053,35.79475,0.9166,OK
flash_16k_L34,4099,flash,1,6.07,8.82075,1.4532,OK
flash_16k_L34,4099,flash,2,6.111,8.51665,1.3936,OK
flash_16k_L34,4099,flash,4,6.115,8.61585,1.4091,OK
