cell,BS,arm,cold_us,warm_us,exact,speedup_cold
flash_1024k_L16,1,gvr_pr,19.927,17.632,True,
flash_1024k_L16,1,bsx,10.362,9.715,True,1.9231
flash_1024k_L16,2,gvr_pr,19.578,17.709,True,
flash_1024k_L16,2,bsx,10.602,9.837,True,1.8467
flash_1024k_L16,4,gvr_pr,19.821,17.69,True,
flash_1024k_L16,4,bsx,11.293,10.202,True,1.7552
flash_1024k_L16,8,gvr_pr,21.626,19.405,True,
flash_1024k_L16,8,bsx,18.906,16.685,True,1.1439
flash_1024k_L16,16,gvr_pr,22.349,19.578,True,
flash_1024k_L16,16,bsx,27.152,23.776,True,0.8231
flash_1024k_L16,32,gvr_pr,25.367,20.269,True,
flash_1024k_L16,32,bsx,42.906,37.408,True,0.5912
flash_1024k_L16,64,gvr_pr,37.306,25.504,True,
flash_1024k_L16,64,bsx,80.103,71.155,True,0.4657
flash_1024k_L16,128,gvr_pr,63.402,54.042,True,
flash_1024k_L16,128,bsx,149.29,142.829,True,0.4247
flash_1024k_L16,256,gvr_pr,108.259,94.445,True,
flash_1024k_L16,256,bsx,281.85,274.33,True,0.3841
flash_1024k_L16,512,gvr_pr,199.649,184.941,True,
flash_1024k_L16,512,bsx,550.433,546.35,True,0.3627
flash_1024k_L16,1024,gvr_pr,378.73,365.012,True,
flash_1024k_L16,1024,bsx,1086.201,1084.131,True,0.3487
flash_128k_L36,1,gvr_pr,14.304,11.373,True,
flash_128k_L36,1,bsx,8.106,7.418,True,1.7647
flash_128k_L36,2,gvr_pr,13.488,11.277,True,
flash_128k_L36,2,bsx,8.077,7.533,True,1.67
flash_128k_L36,4,gvr_pr,13.395,11.526,True,
flash_128k_L36,4,bsx,8.502,7.898,True,1.5755
flash_128k_L36,8,gvr_pr,13.722,11.597,True,
flash_128k_L36,8,bsx,8.669,7.955,True,1.5829
flash_128k_L36,16,gvr_pr,13.917,11.885,True,
flash_128k_L36,16,bsx,13.907,12.583,True,1.0007
flash_128k_L36,32,gvr_pr,14.346,12.122,True,
flash_128k_L36,32,bsx,19.488,17.427,True,0.7361
flash_128k_L36,64,gvr_pr,15.059,12.237,True,
flash_128k_L36,64,bsx,30.314,27.373,True,0.4968
flash_128k_L36,128,gvr_pr,15.923,12.691,True,
flash_128k_L36,128,bsx,52.989,48.576,True,0.3005
flash_128k_L36,256,gvr_pr,22.179,17.677,True,
flash_128k_L36,256,bsx,98.724,90.048,True,0.2247
flash_128k_L36,512,gvr_pr,41.674,33.331,True,
flash_128k_L36,512,bsx,191.892,175.322,True,0.2172
flash_128k_L36,1024,gvr_pr,72.557,66.618,True,
flash_128k_L36,1024,bsx,376.789,371.752,True,0.1926
flash_32k_L36,1,gvr_pr,10.682,8.442,True,
flash_32k_L36,1,bsx,7.392,7.091,True,1.445
flash_32k_L36,2,gvr_pr,10.022,8.358,True,
flash_32k_L36,2,bsx,7.511,7.014,True,1.3345
flash_32k_L36,4,gvr_pr,10.275,8.672,True,
flash_32k_L36,4,bsx,7.469,7.098,True,1.3757
flash_32k_L36,8,gvr_pr,10.298,8.64,True,
flash_32k_L36,8,bsx,7.555,7.136,True,1.363
flash_32k_L36,16,gvr_pr,10.502,8.966,True,
flash_32k_L36,16,bsx,7.885,7.514,True,1.332
flash_32k_L36,32,gvr_pr,10.742,9.203,True,
