cell,BS,arm,cold_us,warm_us,exact,speedup_cold
flash_128k_L36,16,gvr_pr,14.493,11.872,True,
flash_128k_L36,16,bsx,13.67,11.59,True,1.0602
flash_128k_L36,32,gvr_pr,14.432,12.192,True,
flash_128k_L36,32,bsx,14.451,12.122,True,0.9987
flash_128k_L36,64,gvr_pr,15.127,12.205,True,
flash_128k_L36,64,bsx,16.042,13.062,True,0.943
flash_128k_L36,128,gvr_pr,15.942,12.678,True,
flash_128k_L36,128,bsx,18.509,15.123,True,0.8613
flash_128k_L36,256,gvr_pr,22.23,17.658,True,
flash_128k_L36,256,bsx,19.904,14.899,True,1.1169
flash_128k_L36,1024,gvr_pr,72.602,66.669,True,
flash_128k_L36,1024,bsx,68.915,63.175,True,1.0535
pro_128k_L30,16,gvr_pr,14.205,11.731,True,
pro_128k_L30,16,bsx,14.582,12.794,True,0.9741
pro_128k_L30,32,gvr_pr,13.99,11.859,True,
pro_128k_L30,32,bsx,15.587,13.235,True,0.8976
pro_128k_L30,64,gvr_pr,14.691,11.802,True,
pro_128k_L30,64,bsx,17.338,14.541,True,0.8474
pro_128k_L30,128,gvr_pr,15.466,12.077,True,
pro_128k_L30,128,bsx,20.339,16.448,True,0.7604
pro_128k_L30,256,gvr_pr,21.43,16.774,True,
pro_128k_L30,256,bsx,22.429,17.011,True,0.9555
pro_128k_L30,1024,gvr_pr,68.96,63.059,True,
pro_128k_L30,1024,bsx,77.76,71.827,True,0.8868
v32_16k_L20,16,gvr_pr,13.027,11.366,True,
v32_16k_L20,16,bsx,16.861,15.706,True,0.7726
v32_16k_L20,32,gvr_pr,13.107,11.437,True,
v32_16k_L20,32,bsx,17.926,16.41,True,0.7312
v32_16k_L20,64,gvr_pr,13.578,11.667,True,
v32_16k_L20,64,bsx,18.102,15.597,True,0.75
v32_16k_L20,128,gvr_pr,14.451,11.917,True,
v32_16k_L20,128,bsx,20.784,17.427,True,0.6953
v32_16k_L20,256,gvr_pr,18.976,15.968,True,
v32_16k_L20,256,bsx,20.794,16.461,True,0.9126
v32_16k_L20,1024,gvr_pr,63.907,53.581,True,
v32_16k_L20,1024,bsx,69.936,58.573,True,0.9138
v32_64k_L20,16,gvr_pr,19.002,16.576,True,
v32_64k_L20,16,bsx,19.76,17.734,True,0.9616
v32_64k_L20,32,gvr_pr,19.456,16.896,True,
v32_64k_L20,32,bsx,21.296,19.091,True,0.9136
v32_64k_L20,64,gvr_pr,22.042,18.541,True,
v32_64k_L20,64,bsx,25.184,21.843,True,0.8752
v32_64k_L20,128,gvr_pr,22.8,18.643,True,
v32_64k_L20,128,bsx,32.006,26.887,True,0.7124
v32_64k_L20,256,gvr_pr,36.307,27.712,True,
v32_64k_L20,256,bsx,36.992,27.539,True,0.9815
v32_64k_L20,1024,gvr_pr,114.538,103.341,True,
v32_64k_L20,1024,bsx,123.021,116.506,True,0.931
v32_256k_L20,16,gvr_pr,22.362,18.701,True,
v32_256k_L20,16,bsx,21.146,18.278,True,1.0575
v32_256k_L20,32,gvr_pr,23.363,19.034,True,
v32_256k_L20,32,bsx,22.298,18.995,True,1.0478
v32_256k_L20,64,gvr_pr,28.371,22.605,True,
v32_256k_L20,64,bsx,27.619,21.914,True,1.0272
v32_256k_L20,128,gvr_pr,44.083,28.294,True,
v32_256k_L20,128,bsx,40.058,26.995,True,1.1005
v32_256k_L20,256,gvr_pr,80.793,70.451,True,
v32_256k_L20,256,bsx,58.861,47.302,True,1.3726
v32_256k_L20,1024,gvr_pr,263.517,252.23,True,
v32_256k_L20,1024,bsx,191.75,181.792,True,1.3743
