cell,BS,arm,cold_us,warm_us,exact
flash_128k_L02,1,gvr_pr,13.3344,10.4064,1
flash_128k_L02,1,bsx,8.0576,7.3408,1
flash_128k_L02,2,gvr_pr,12.3872,10.3744,1
flash_128k_L02,2,bsx,8.1504,7.4688,1
flash_128k_L02,4,gvr_pr,12.489600000000001,10.3232,1
flash_128k_L02,4,bsx,8.521600000000001,7.8591999999999995,1
flash_128k_L02,8,gvr_pr,12.4704,10.489600000000001,1
flash_128k_L02,8,bsx,8.64,7.897600000000001,1
flash_128k_L02,16,gvr_pr,12.7104,10.7712,1
flash_128k_L02,16,bsx,15.2384,13.088,1
flash_128k_L02,32,gvr_pr,13.0048,10.8416,1
flash_128k_L02,32,bsx,15.5776,13.3184,1
flash_128k_L02,64,gvr_pr,13.6736,10.9248,1
flash_128k_L02,64,bsx,17.0304,14.528,1
flash_128k_L02,128,gvr_pr,14.6688,11.3152,1
flash_128k_L02,128,bsx,17.872,14.329600000000001,1
flash_128k_L02,256,gvr_pr,20.2336,15.232,1
flash_128k_L02,256,bsx,21.3856,17.312,1
flash_128k_L02,512,gvr_pr,37.488,28.5888,1
flash_128k_L02,512,bsx,40.6304,33.382400000000004,1
flash_128k_L02,1024,gvr_pr,63.4176,57.9328,1
flash_128k_L02,1024,bsx,75.264,69.9392,1
flash_128k_L22,1,gvr_pr,13.1744,10.688,1
flash_128k_L22,1,bsx,7.9712,7.4112,1
flash_128k_L22,2,gvr_pr,12.352,10.6432,1
flash_128k_L22,2,bsx,7.9872,7.3408,1
flash_128k_L22,4,gvr_pr,12.348799999999999,10.6944,1
flash_128k_L22,4,bsx,7.945600000000001,7.4112,1
flash_128k_L22,8,gvr_pr,12.444799999999999,10.6368,1
flash_128k_L22,8,bsx,8.1248,7.4624,1
flash_128k_L22,16,gvr_pr,12.6816,10.784,1
flash_128k_L22,16,bsx,14.8189,12.6656,1
flash_128k_L22,32,gvr_pr,12.9472,10.7072,1
flash_128k_L22,32,bsx,15.2544,12.9152,1
flash_128k_L22,64,gvr_pr,13.651200000000001,10.7968,1
flash_128k_L22,64,bsx,17.1008,14.220799999999999,1
flash_128k_L22,128,gvr_pr,14.4544,11.0848,1
flash_128k_L22,128,bsx,18.326400000000003,14.3872,1
flash_128k_L22,256,gvr_pr,19.7632,15.123,1
flash_128k_L22,256,bsx,22.3488,17.5808,1
flash_128k_L22,512,gvr_pr,37.1008,28.2112,1
flash_128k_L22,512,bsx,42.2528,33.267199999999995,1
flash_128k_L22,1024,gvr_pr,63.8815,57.216,1
flash_128k_L22,1024,bsx,77.3343,72.307,1
flash_256k_L42,1,gvr_pr,13.8464,11.9424,1
flash_256k_L42,1,bsx,10.1376,9.3952,1
flash_256k_L42,2,gvr_pr,13.6448,12.083200000000001,1
flash_256k_L42,2,bsx,10.092799999999999,9.619200000000001,1
flash_256k_L42,4,gvr_pr,14.028799999999999,12.4674,1
flash_256k_L42,4,bsx,10.505700000000001,9.9264,1
flash_256k_L42,8,gvr_pr,14.377600000000001,12.492799999999999,1
flash_256k_L42,8,bsx,10.8672,10.0544,1
flash_256k_L42,16,gvr_pr,14.8193,12.601600000000001,1
flash_256k_L42,16,bsx,15.9009,13.9584,1
flash_256k_L42,32,gvr_pr,15.734399999999999,13.0944,1
flash_256k_L42,32,bsx,17.3312,14.9696,1
flash_256k_L42,64,gvr_pr,18.1248,14.5984,1
flash_256k_L42,64,bsx,20.9408,17.734599999999997,1
flash_256k_L42,128,gvr_pr,20.819200000000002,15.5456,1
flash_256k_L42,128,bsx,22.957,17.3952,1
flash_256k_L42,256,gvr_pr,32.1154,21.645,1
flash_256k_L42,256,bsx,30.345599999999997,21.6384,1
flash_256k_L42,512,gvr_pr,60.275400000000005,50.0162,1
flash_256k_L42,512,bsx,56.425599999999996,48.2752,1
flash_256k_L42,1024,gvr_pr,101.0338,86.04180000000001,1
flash_256k_L42,1024,bsx,99.9202,91.71860000000001,1
flash_4k_L02,1,gvr_pr,10.304,8.544,1
flash_4k_L02,1,bsx,4.4224,3.8464,1
flash_4k_L02,2,gvr_pr,9.6608,8.5312,1
flash_4k_L02,2,bsx,4.4576,3.9808000000000003,1
flash_4k_L02,4,gvr_pr,9.696,8.492799999999999,1
