cell,BS,arm,cold_us,warm_us,exact
flash_1024k_L02,1,gvr_pr,19.712,17.3568,1
flash_1024k_L02,1,bsx,10.2944,9.6,1
flash_1024k_L02,2,gvr_pr,19.500799999999998,17.5424,1
flash_1024k_L02,2,bsx,10.5184,9.7216,1
flash_1024k_L02,4,gvr_pr,19.737599999999997,17.5616,1
flash_1024k_L02,4,bsx,11.232,10.035200000000001,1
flash_1024k_L02,8,gvr_pr,21.782400000000003,19.7312,1
flash_1024k_L02,8,bsx,15.3536,13.792,1
flash_1024k_L02,16,gvr_pr,22.988799999999998,20.006400000000003,1
flash_1024k_L02,16,bsx,18.121599999999997,14.540799999999999,1
flash_1024k_L02,32,gvr_pr,25.648,20.627200000000002,1
flash_1024k_L02,32,bsx,20.256,15.3344,1
flash_1024k_L02,64,gvr_pr,37.6256,25.5808,1
flash_1024k_L02,64,bsx,29.846400000000003,19.872,1
flash_1024k_L02,128,gvr_pr,63.2416,53.6064,1
flash_1024k_L02,128,bsx,50.425599999999996,40.0896,1
flash_1024k_L02,256,gvr_pr,107.376,94.368,1
flash_1024k_L02,256,bsx,75.1712,58.784,1
flash_1024k_L02,512,gvr_pr,198.112,184.1792,1
flash_1024k_L02,512,bsx,130.704,115.8912,1
flash_1024k_L02,1024,gvr_pr,376.9375,364.0256,1
flash_1024k_L02,1024,bsx,238.06070000000003,223.8976,1
flash_1024k_L22,1,gvr_pr,18.947200000000002,16.5248,1
flash_1024k_L22,1,bsx,11.0304,10.368,1
flash_1024k_L22,2,gvr_pr,18.6112,16.6144,1
flash_1024k_L22,2,bsx,11.2128,10.4704,1
flash_1024k_L22,4,gvr_pr,18.761599999999998,16.6784,1
flash_1024k_L22,4,bsx,11.936,10.8288,1
flash_1024k_L22,8,gvr_pr,20.752,18.5856,1
flash_1024k_L22,8,bsx,15.3792,13.792,1
flash_1024k_L22,16,gvr_pr,21.6992,18.7648,1
flash_1024k_L22,16,bsx,19.8592,16.1856,1
flash_1024k_L22,32,gvr_pr,24.6176,19.392,1
flash_1024k_L22,32,bsx,21.6288,16.729599999999998,1
flash_1024k_L22,64,gvr_pr,36.435199999999995,24.352,1
flash_1024k_L22,64,bsx,30.896,21.4784,1
flash_1024k_L22,128,gvr_pr,62.3136,52.8,1
flash_1024k_L22,128,bsx,52.0448,42.668800000000005,1
flash_1024k_L22,256,gvr_pr,106.768,93.89439999999999,1
flash_1024k_L22,256,bsx,76.27839999999999,60.2176,1
flash_1024k_L22,512,gvr_pr,196.9983,182.5024,1
flash_1024k_L22,512,bsx,133.95520000000002,119.3216,1
flash_1024k_L22,1024,gvr_pr,374.1888,360.7038,1
flash_1024k_L22,1024,bsx,244.224,226.98239999999998,1
flash_1024k_L42,1,gvr_pr,19.0624,16.755200000000002,1
flash_1024k_L42,1,bsx,10.332799999999999,9.6256,1
flash_1024k_L42,2,gvr_pr,18.8255,16.864,1
flash_1024k_L42,2,bsx,10.528,9.747200000000001,1
flash_1024k_L42,4,gvr_pr,19.139200000000002,16.8448,1
flash_1024k_L42,4,bsx,11.2768,10.144,1
flash_1024k_L42,8,gvr_pr,20.8352,18.6816,1
flash_1024k_L42,8,bsx,15.5328,13.9006,1
flash_1024k_L42,16,gvr_pr,21.7248,18.9696,1
flash_1024k_L42,16,bsx,20.0768,16.2688,1
flash_1024k_L42,32,gvr_pr,24.7744,19.5326,1
flash_1024k_L42,32,bsx,22.336,17.5872,1
flash_1024k_L42,64,gvr_pr,36.7936,24.729599999999998,1
flash_1024k_L42,64,bsx,32.5056,23.302400000000002,1
flash_1024k_L42,128,gvr_pr,62.6719,53.126400000000004,1
flash_1024k_L42,128,bsx,52.0608,41.7536,1
flash_1024k_L42,256,gvr_pr,107.00139999999999,93.875,1
flash_1024k_L42,256,bsx,76.64,59.923199999999994,1
flash_1024k_L42,512,gvr_pr,197.2158,183.5902,1
flash_1024k_L42,512,bsx,133.3215,118.8096,1
flash_1024k_L42,1024,gvr_pr,375.3246,361.7214,1
flash_1024k_L42,1024,bsx,243.9582,228.0446,1
flash_128k_L02,1,gvr_pr,13.478399999999999,10.8928,1
flash_128k_L02,1,bsx,8.428799999999999,7.8464,1
flash_128k_L02,2,gvr_pr,12.6656,10.8736,1
flash_128k_L02,2,bsx,8.4224,7.763199999999999,1
flash_128k_L02,4,gvr_pr,12.6592,10.9184,1
flash_128k_L02,4,bsx,8.4672,7.808,1
flash_128k_L02,8,gvr_pr,12.6784,10.8672,1
flash_128k_L02,8,bsx,8.6144,7.897600000000001,1
flash_128k_L02,16,gvr_pr,12.8,10.9824,1
flash_128k_L02,16,bsx,15.1359,13.0176,1
flash_128k_L02,32,gvr_pr,13.1232,10.9632,1
flash_128k_L02,32,bsx,15.5296,13.3056,1
flash_128k_L02,64,gvr_pr,13.702399999999999,11.0528,1
flash_128k_L02,64,bsx,16.9823,14.483,1
flash_128k_L02,128,gvr_pr,14.6048,11.3472,1
flash_128k_L02,128,bsx,17.8432,14.3232,1
flash_128k_L02,256,gvr_pr,20.1504,15.2,1
flash_128k_L02,256,bsx,21.3824,17.376,1
flash_128k_L02,512,gvr_pr,37.4528,28.3008,1
flash_128k_L02,512,bsx,40.8255,32.9728,1
flash_128k_L02,1024,gvr_pr,63.593599999999995,58.0032,1
flash_128k_L02,1024,bsx,75.1678,69.9838,1
flash_128k_L22,1,gvr_pr,13.1328,10.6432,1
flash_128k_L22,1,bsx,7.904,7.392,1
flash_128k_L22,2,gvr_pr,12.2944,10.6624,1
flash_128k_L22,2,bsx,7.8751999999999995,7.3408,1
flash_128k_L22,4,gvr_pr,12.3232,10.688,1
flash_128k_L22,4,bsx,7.9808,7.392,1
flash_128k_L22,8,gvr_pr,12.416,10.6304,1
flash_128k_L22,8,bsx,8.1248,7.4752,1
flash_128k_L22,16,gvr_pr,12.556799999999999,10.7648,1
flash_128k_L22,16,bsx,14.8256,12.6784,1
flash_128k_L22,32,gvr_pr,12.9695,10.72,1
flash_128k_L22,32,bsx,15.232,12.9536,1
flash_128k_L22,64,gvr_pr,13.5968,10.784,1
flash_128k_L22,64,bsx,17.0688,14.208,1
flash_128k_L22,128,gvr_pr,14.368,11.1168,1
flash_128k_L22,128,bsx,18.2272,14.412799999999999,1
flash_128k_L22,256,gvr_pr,19.776,15.1488,1
flash_128k_L22,256,bsx,22.192,17.5872,1
flash_128k_L22,512,gvr_pr,37.008,28.198400000000003,1
flash_128k_L22,512,bsx,42.307199999999995,33.3632,1
flash_128k_L22,1024,gvr_pr,64.0064,57.3568,1
flash_128k_L22,1024,bsx,77.4623,72.224,1
flash_128k_L42,1,gvr_pr,17.1552,14.0544,1
flash_128k_L42,1,bsx,8.4,7.865600000000001,1
flash_128k_L42,2,gvr_pr,15.9904,13.964799999999999,1
flash_128k_L42,2,bsx,8.4832,7.7888,1
flash_128k_L42,4,gvr_pr,15.699200000000001,14.016,1
flash_128k_L42,4,bsx,8.528,7.833399999999999,1
flash_128k_L42,8,gvr_pr,15.766399999999999,13.971200000000001,1
flash_128k_L42,8,bsx,8.6368,7.929600000000001,1
flash_128k_L42,16,gvr_pr,15.798399999999999,14.0736,1
flash_128k_L42,16,bsx,14.409600000000001,12.300799999999999,1
flash_128k_L42,32,gvr_pr,16.1375,14.0416,1
flash_128k_L42,32,bsx,14.8,12.5504,1
flash_128k_L42,64,gvr_pr,16.704,14.099200000000002,1
flash_128k_L42,64,bsx,15.9583,13.651200000000001,1
flash_128k_L42,128,gvr_pr,17.7888,14.4254,1
flash_128k_L42,128,bsx,16.2272,12.6272,1
flash_128k_L42,256,gvr_pr,23.3216,18.6688,1
flash_128k_L42,256,bsx,19.3888,15.1488,1
flash_128k_L42,512,gvr_pr,44.0736,35.116800000000005,1
flash_128k_L42,512,bsx,36.88,28.665599999999998,1
flash_128k_L42,1024,gvr_pr,76.2367,70.5408,1
flash_128k_L42,1024,bsx,68.1631,62.604800000000004,1
flash_16k_L02,1,gvr_pr,9.686399999999999,7.7568,1
flash_16k_L02,1,bsx,5.936,5.2543999999999995,1
flash_16k_L02,2,gvr_pr,9.168,7.712,1
flash_16k_L02,2,bsx,6.1088000000000005,5.376,1
flash_16k_L02,4,gvr_pr,9.2768,7.68,1
flash_16k_L02,4,bsx,6.2016,5.4336,1
flash_16k_L02,8,gvr_pr,9.2512,7.7888,1
flash_16k_L02,8,bsx,6.3104,5.4656,1
flash_16k_L02,16,gvr_pr,9.3568,7.6736,1
flash_16k_L02,16,bsx,6.252800000000001,5.5552,1
flash_16k_L02,32,gvr_pr,9.3696,7.776,1
flash_16k_L02,32,bsx,6.2976,5.4336,1
flash_16k_L02,64,gvr_pr,9.526399999999999,7.84,1
flash_16k_L02,64,bsx,6.4384,5.568,1
flash_16k_L02,128,gvr_pr,9.904,7.8464,1
flash_16k_L02,128,bsx,6.6688,5.6832,1
flash_16k_L02,256,gvr_pr,11.264,9.0624,1
flash_16k_L02,256,bsx,10.1184,8.4544,1
flash_16k_L02,512,gvr_pr,20.544,16.6398,1
flash_16k_L02,512,bsx,18.3712,15.5456,1
flash_16k_L02,1024,gvr_pr,37.036699999999996,30.5408,1
flash_16k_L02,1024,bsx,33.539199999999994,29.247799999999998,1
flash_16k_L22,1,gvr_pr,9.555200000000001,7.833600000000001,1
flash_16k_L22,1,bsx,6.064,5.4272,1
flash_16k_L22,2,gvr_pr,8.8576,7.7568,1
flash_16k_L22,2,bsx,6.284800000000001,5.5744,1
flash_16k_L22,4,gvr_pr,9.1008,7.699199999999999,1
flash_16k_L22,4,bsx,6.304,5.5424,1
flash_16k_L22,8,gvr_pr,8.9536,7.7951999999999995,1
flash_16k_L22,8,bsx,6.4768,5.6064,1
flash_16k_L22,16,gvr_pr,9.1616,7.724600000000001,1
flash_16k_L22,16,bsx,6.4544,5.664,1
flash_16k_L22,32,gvr_pr,9.2352,7.8208,1
flash_16k_L22,32,bsx,6.4576,5.6448,1
flash_16k_L22,64,gvr_pr,9.2224,7.8464,1
flash_16k_L22,64,bsx,6.5888,5.747199999999999,1
flash_16k_L22,128,gvr_pr,9.5456,7.8848,1
flash_16k_L22,128,bsx,6.768,5.8688,1
flash_16k_L22,256,gvr_pr,11.168,9.1584,1
flash_16k_L22,256,bsx,10.9536,9.344,1
flash_16k_L22,512,gvr_pr,20.175900000000002,16.704,1
flash_16k_L22,512,bsx,20.0096,17.3566,1
flash_16k_L22,1024,gvr_pr,35.8016,30.7008,1
flash_16k_L22,1024,bsx,37.052699999999994,32.8128,1
flash_16k_L42,1,gvr_pr,9.4816,7.68,1
flash_16k_L42,1,bsx,5.8591999999999995,5.2096,1
flash_16k_L42,2,gvr_pr,9.0112,7.6224,1
flash_16k_L42,2,bsx,6.0768,5.3888,1
flash_16k_L42,4,gvr_pr,9.008,7.5712,1
flash_16k_L42,4,bsx,6.1312,5.3248,1
flash_16k_L42,8,gvr_pr,9.0816,7.6672,1
flash_16k_L42,8,bsx,6.268800000000001,5.4208,1
flash_16k_L42,16,gvr_pr,9.1872,7.552,1
flash_16k_L42,16,bsx,6.2463999999999995,5.5104,1
flash_16k_L42,32,gvr_pr,9.2416,7.6928,1
flash_16k_L42,32,bsx,6.2623999999999995,5.4272,1
flash_16k_L42,64,gvr_pr,9.424,7.7376000000000005,1
flash_16k_L42,64,bsx,6.3456,5.5552,1
flash_16k_L42,128,gvr_pr,9.6736,7.7696000000000005,1
flash_16k_L42,128,bsx,6.6144,5.6701999999999995,1
flash_16k_L42,256,gvr_pr,11.030299999999999,9.0112,1
flash_16k_L42,256,bsx,10.7552,9.1904,1
flash_16k_L42,512,gvr_pr,20.064,16.390400000000003,1
flash_16k_L42,512,bsx,19.7952,17.043200000000002,1
flash_16k_L42,1024,gvr_pr,36.3776,30.1758,1
flash_16k_L42,1024,bsx,36.406400000000005,32.224,1
flash_256k_L02,1,gvr_pr,14.672,12.6782,1
flash_256k_L02,1,bsx,10.6336,10.1056,1
flash_256k_L02,2,gvr_pr,14.2687,12.7424,1
flash_256k_L02,2,bsx,10.5664,10.048,1
flash_256k_L02,4,gvr_pr,14.4543,12.7424,1
flash_256k_L02,4,bsx,10.6112,10.092799999999999,1
flash_256k_L02,8,gvr_pr,14.6848,12.7872,1
flash_256k_L02,8,bsx,11.0016,10.176,1
flash_256k_L02,16,gvr_pr,15.056,12.9408,1
flash_256k_L02,16,bsx,14.620700000000001,12.7296,1
flash_256k_L02,32,gvr_pr,15.852799999999998,13.3248,1
flash_256k_L02,32,bsx,15.603200000000001,13.0496,1
flash_256k_L02,64,gvr_pr,18.3104,14.8096,1
flash_256k_L02,64,bsx,17.584,14.2784,1
flash_256k_L02,128,gvr_pr,20.815900000000003,15.552,1
flash_256k_L02,128,bsx,21.244799999999998,15.6736,1
flash_256k_L02,256,gvr_pr,32.2432,22.112,1
flash_256k_L02,256,bsx,28.0415,19.846400000000003,1
flash_256k_L02,512,gvr_pr,60.4512,50.4704,1
flash_256k_L02,512,bsx,51.9552,44.652800000000006,1
flash_256k_L02,1024,gvr_pr,102.0702,86.6238,1
flash_256k_L02,1024,bsx,91.7952,82.9438,1
flash_256k_L22,1,gvr_pr,14.304,12.409799999999999,1
flash_256k_L22,1,bsx,11.44,10.56,1
flash_256k_L22,2,gvr_pr,14.0224,12.4672,1
flash_256k_L22,2,bsx,11.456,10.6944,1
flash_256k_L22,4,gvr_pr,14.3521,12.8896,1
flash_256k_L22,4,bsx,11.6896,11.0528,1
flash_256k_L22,8,gvr_pr,14.7264,12.8256,1
flash_256k_L22,8,bsx,11.9616,11.085,1
flash_256k_L22,16,gvr_pr,15.0656,12.96,1
flash_256k_L22,16,bsx,15.984,14.4384,1
flash_256k_L22,32,gvr_pr,15.987200000000001,13.3696,1
flash_256k_L22,32,bsx,17.408,15.0528,1
flash_256k_L22,64,gvr_pr,18.5984,15.0272,1
flash_256k_L22,64,bsx,19.4848,16.0832,1
flash_256k_L22,128,gvr_pr,20.892799999999998,15.7568,1
flash_256k_L22,128,bsx,23.5712,17.7664,1
flash_256k_L22,256,gvr_pr,32.508900000000004,22.1568,1
flash_256k_L22,256,bsx,30.822400000000002,22.6496,1
flash_256k_L22,512,gvr_pr,60.8928,50.381,1
flash_256k_L22,512,bsx,57.0496,50.368,1
flash_256k_L22,1024,gvr_pr,102.04480000000001,87.5072,1
flash_256k_L22,1024,bsx,101.488,91.8592,1
flash_256k_L42,1,gvr_pr,14.019200000000001,12.032,1
flash_256k_L42,1,bsx,10.0384,9.491200000000001,1
flash_256k_L42,2,gvr_pr,13.670399999999999,12.1536,1
flash_256k_L42,2,bsx,10.1536,9.619200000000001,1
flash_256k_L42,4,gvr_pr,14.0256,12.5632,1
flash_256k_L42,4,bsx,10.524899999999999,10.0096,1
flash_256k_L42,8,gvr_pr,14.3072,12.544,1
flash_256k_L42,8,bsx,10.8736,10.028799999999999,1
flash_256k_L42,16,gvr_pr,14.7744,12.6656,1
flash_256k_L42,16,bsx,15.9136,14.1056,1
flash_256k_L42,32,gvr_pr,15.606399999999999,13.056,1
flash_256k_L42,32,bsx,17.3376,14.9632,1
flash_256k_L42,64,gvr_pr,18.2048,14.5984,1
flash_256k_L42,64,bsx,20.9696,17.6896,1
flash_256k_L42,128,gvr_pr,20.8384,15.4368,1
flash_256k_L42,128,bsx,23.107200000000002,17.3696,1
flash_256k_L42,256,gvr_pr,32.1505,21.664,1
flash_256k_L42,256,bsx,30.288,21.7152,1
flash_256k_L42,512,gvr_pr,60.1248,50.144,1
flash_256k_L42,512,bsx,56.1312,48.512,1
flash_256k_L42,1024,gvr_pr,100.5632,86.4576,1
flash_256k_L42,1024,bsx,99.89760000000001,91.99380000000001,1
flash_32k_L02,1,gvr_pr,9.6,7.4816,1
flash_32k_L02,1,bsx,8.0832,7.6224,1
flash_32k_L02,2,gvr_pr,9.1264,7.4304,1
flash_32k_L02,2,bsx,8.0992,7.5456,1
flash_32k_L02,4,gvr_pr,9.088,7.4688,1
flash_32k_L02,4,bsx,8.064,7.616,1
flash_32k_L02,8,gvr_pr,9.1104,7.4304,1
flash_32k_L02,8,bsx,8.16,7.6416,1
flash_32k_L02,16,gvr_pr,9.3536,7.7951999999999995,1
flash_32k_L02,16,bsx,8.505600000000001,8.0832,1
flash_32k_L02,32,gvr_pr,9.424,7.8784,1
flash_32k_L02,32,bsx,8.5184,8.0256,1
flash_32k_L02,64,gvr_pr,9.7216,7.9872,1
flash_32k_L02,64,bsx,8.7584,8.1216,1
flash_32k_L02,128,gvr_pr,10.1024,8.1408,1
flash_32k_L02,128,bsx,9.2256,8.256,1
flash_32k_L02,256,gvr_pr,12.124799999999999,9.843200000000001,1
flash_32k_L02,256,bsx,14.992,12.115200000000002,1
flash_32k_L02,512,gvr_pr,21.8432,18.1312,1
flash_32k_L02,512,bsx,27.4784,22.924799999999998,1
flash_32k_L02,1024,gvr_pr,38.8512,32.6336,1
flash_32k_L02,1024,bsx,51.062400000000004,43.2128,1
flash_32k_L22,1,gvr_pr,9.9264,7.7696000000000005,1
flash_32k_L22,1,bsx,7.0848,6.739199999999999,1
flash_32k_L22,2,gvr_pr,9.4048,7.7504,1
flash_32k_L22,2,bsx,7.168,6.6368,1
flash_32k_L22,4,gvr_pr,9.398399999999999,7.7698,1
flash_32k_L22,4,bsx,7.1328000000000005,6.707199999999999,1
flash_32k_L22,8,gvr_pr,9.488,7.7248,1
flash_32k_L22,8,bsx,7.260800000000001,6.7456000000000005,1
flash_32k_L22,16,gvr_pr,9.5936,8.1216,1
flash_32k_L22,16,bsx,7.4592,7.142399999999999,1
flash_32k_L22,32,gvr_pr,9.648,8.204799999999999,1
flash_32k_L22,32,bsx,7.6704,7.0912,1
flash_32k_L22,64,gvr_pr,9.900799999999998,8.300799999999999,1
flash_32k_L22,64,bsx,7.7888,7.2,1
flash_32k_L22,128,gvr_pr,10.464,8.4032,1
flash_32k_L22,128,bsx,8.3969,7.3408,1
flash_32k_L22,256,gvr_pr,12.5632,10.195200000000002,1
flash_32k_L22,256,bsx,14.2784,11.2384,1
flash_32k_L22,512,gvr_pr,22.64,18.9632,1
flash_32k_L22,512,bsx,25.8721,21.1264,1
flash_32k_L22,1024,gvr_pr,40.128,33.888,1
flash_32k_L22,1024,bsx,47.843199999999996,39.7824,1
flash_32k_L42,1,gvr_pr,11.3344,9.1264,1
flash_32k_L42,1,bsx,7.056,6.707199999999999,1
flash_32k_L42,2,gvr_pr,10.7424,9.056,1
flash_32k_L42,2,bsx,7.1296,6.624,1
flash_32k_L42,4,gvr_pr,10.736,9.1328,1
flash_32k_L42,4,bsx,7.078399999999999,6.707199999999999,1
flash_32k_L42,8,gvr_pr,10.7072,9.0624,1
flash_32k_L42,8,bsx,7.184,6.7328,1
flash_32k_L42,16,gvr_pr,10.8832,9.44,1
flash_32k_L42,16,bsx,7.4752,7.1616,1
flash_32k_L42,32,gvr_pr,11.056,9.5488,1
flash_32k_L42,32,bsx,7.5936,7.0912,1
flash_32k_L42,64,gvr_pr,11.2928,9.6576,1
flash_32k_L42,64,bsx,7.8368,7.1872,1
flash_32k_L42,128,gvr_pr,11.8176,9.8176,1
flash_32k_L42,128,bsx,8.432,7.2832,1
flash_32k_L42,256,gvr_pr,14.0256,11.6608,1
flash_32k_L42,256,bsx,14.067200000000001,11.0848,1
flash_32k_L42,512,gvr_pr,25.5137,21.9328,1
flash_32k_L42,512,bsx,25.497700000000002,20.819200000000002,1
flash_32k_L42,1024,gvr_pr,45.6097,39.4816,1
flash_32k_L42,1024,bsx,47.4944,39.5136,1
flash_4k_L02,1,gvr_pr,9.7536,7.9168,1
flash_4k_L02,1,bsx,4.0896,3.52,1
flash_4k_L02,2,gvr_pr,9.0304,7.8528,1
flash_4k_L02,2,bsx,4.1856,3.4368000000000003,1
flash_4k_L02,4,gvr_pr,9.1712,7.929600000000001,1
flash_4k_L02,4,bsx,4.0736,3.5071999999999997,1
flash_4k_L02,8,gvr_pr,9.3792,7.910399999999999,1
flash_4k_L02,8,bsx,4.1536,3.552,1
flash_4k_L02,16,gvr_pr,9.6096,8.300799999999999,1
flash_4k_L02,16,bsx,4.4768,3.9616,1
flash_4k_L02,32,gvr_pr,9.536,8.377600000000001,1
flash_4k_L02,32,bsx,4.5696,3.8912,1
flash_4k_L02,64,gvr_pr,9.6928,8.505600000000001,1
