hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,bf16,4096,1,9.29,8.207,9.221,8.07,8.874,7.421,9.382,8.276,8.637,7.67,8.173,6.465,,,,,13.909,13.301,36.003,31.452,5.099,4.447,5.176,4.571,12.67,11.841,,,0.993,0.955,1.01,0.93,0.88,,,1.497,3.876,0.549,0.557,1.364,
B300,512,bf16,4096,2,9.258,8.168,9.032,8.011,8.507,7.418,9.357,8.236,8.742,7.665,7.882,6.42,,,,,14.258,13.285,35.674,31.448,5.33,4.45,5.382,4.565,12.976,11.793,,,0.976,0.919,1.011,0.944,0.851,,,1.54,3.853,0.576,0.581,1.402,
B300,512,bf16,4096,4,9.181,8.169,8.979,8.018,8.318,7.473,9.208,8.233,8.646,7.724,7.864,6.422,,,,,14.059,13.284,35.28,31.355,5.117,4.445,5.187,4.55,12.816,11.918,,,0.978,0.906,1.003,0.942,0.857,,,1.531,3.843,0.557,0.565,1.396,
B300,512,bf16,4096,8,9.187,8.181,8.998,8.056,8.568,7.469,9.242,8.272,8.79,7.707,7.896,6.452,,,,,14.088,13.327,34.848,31.519,5.144,4.472,5.243,4.587,13.066,12.089,,,0.979,0.933,1.006,0.957,0.859,,,1.533,3.793,0.56,0.571,1.422,
B300,512,bf16,4096,16,9.275,8.189,9.029,8.048,8.568,7.469,9.27,8.268,8.803,7.713,7.905,6.444,,,,,14.045,13.345,33.987,31.804,5.219,4.493,5.314,4.602,13.23,12.108,,,0.973,0.924,0.999,0.949,0.852,,,1.514,3.664,0.563,0.573,1.426,
B300,512,bf16,4096,32,9.282,8.238,9.058,8.088,8.611,7.548,9.309,8.303,8.885,7.811,9.058,8.089,,,,,14.15,13.372,33.982,31.837,5.269,4.515,5.371,4.615,13.462,12.359,,,0.976,0.928,1.003,0.957,0.976,,,1.525,3.661,0.568,0.579,1.45,
B300,512,bf16,4096,64,9.392,8.301,9.229,8.159,8.792,7.683,9.453,8.364,8.928,7.894,9.46,8.156,,,,,14.24,13.404,34.008,31.924,5.414,4.544,5.454,4.642,13.618,12.274,,,0.983,0.936,1.006,0.951,1.007,,,1.516,3.621,0.576,0.581,1.45,
B300,512,bf16,4096,128,9.677,8.402,9.45,8.252,9.085,7.796,9.715,8.462,9.138,8.01,9.532,8.253,,,,,14.4,13.548,40.016,38.748,5.65,4.707,5.653,4.707,24.402,22.691,,,0.977,0.939,1.004,0.944,0.985,,,1.488,4.135,0.584,0.584,2.522,
B300,512,bf16,4096,256,11.79,10.599,11.261,10.047,10.582,9.45,11.141,10.061,10.616,9.46,11.349,10.05,,,,,21.499,20.768,74.019,72.341,9.781,8.226,9.733,8.223,46.285,43.632,,,0.955,0.898,0.945,0.9,0.963,,,1.823,6.278,0.83,0.825,3.926,
B300,512,bf16,4096,512,20.272,18.672,19.291,17.32,18.483,16.41,19.35,17.339,18.595,16.419,19.518,17.316,,,,,38.355,37.523,132.214,130.699,17.949,15.241,17.986,15.238,79.371,75.612,,,0.952,0.912,0.955,0.917,0.963,,,1.892,6.522,0.885,0.887,3.915,
